energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.243514686513016,2.2111408551374874,2.182908315666028,0.0,0.0,0.0,2.2125212857721768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5256
0.0142,2.2435168402292858,2.211142932503023,2.1829103211759944,0.0,0.0,0.0,2.2125233646361013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0285,2.243523362211051,2.211149223275524,2.182916394351702,0.0,0.0,0.0,2.2125296599460924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0427,2.2435341614145234,2.211159639637419,2.1829264504116157,0.0,0.0,0.0,2.2125400838211857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0569,2.243549268567028,2.211174211224421,2.1829405179638024,0.0,0.0,0.0,2.2125546659184168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0712,2.243568836076334,2.2111930850380217,2.1829587389212977,0.0,0.0,0.0,2.212573553345218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0854,2.243592590789392,2.2112159976046843,2.182980858919611,0.0,0.0,0.0,2.212596482437896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0996,2.2436206550012487,2.211243066878889,2.183006991827529,0.0,0.0,0.0,2.212623571235889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1138,2.2436530294563815,2.2112742935727994,2.1830371383259073,0.0,0.0,0.0,2.212654820451696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1281,2.2436899886518074,2.2113099424446707,2.183071554006538,0.0,0.0,0.0,2.2126904950343387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1423,2.2437310166552664,2.2113495158458867,2.1831097584270713,0.0,0.0,0.0,2.212730096976075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1565,2.24377635783047,2.2113932494680357,2.1831519791162424,0.0,0.0,0.0,2.2127738621382496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1708,2.2438263783693673,2.2114414965098406,2.1831985570428736,0.0,0.0,0.0,2.212822143974027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.185,2.243880380010408,2.2114935834562464,2.1832488419804523,0.0,0.0,0.0,2.2128742684823686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1992,2.2439386987884946,2.2115498344166094,2.183303146813045,0.0,0.0,0.0,2.2129305600060496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2135,2.244001792679002,2.211610691114718,2.1833618979673997,0.0,0.0,0.0,2.2129914605870398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2277,2.244068780924028,2.2116753040093027,2.183424275280058,0.0,0.0,0.0,2.2130561200711294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2419,2.244140091310973,2.2117440857052246,2.183490677064741,0.0,0.0,0.0,2.213124951360313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2562,2.244216273709348,2.2118175665572095,2.1835616153073736,0.0,0.0,0.0,2.21319848519131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2704,2.244296264654045,2.2118947207961304,2.1836360997147284,0.0,0.0,0.0,2.213275695054968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2846,2.2443805837885415,2.2119760496213496,2.1837146141248542,0.0,0.0,0.0,2.213357082511582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2989,2.244469873009466,2.2120621721458473,2.183797756204503,0.0,0.0,0.0,2.213443267119939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3131,2.2445628858898212,2.212151886128868,2.183884365297689,0.0,0.0,0.0,2.213533045772126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3273,2.244660234054945,2.2122457814846914,2.1839750108818627,0.0,0.0,0.0,2.2136270088071663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3415,2.244761920097128,2.2123438606928785,2.1840696953275867,0.0,0.0,0.0,2.213725158705864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3558,2.2448687087895904,2.212446861376245,2.1841691307003077,0.0,0.0,0.0,2.213828233622048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.37,2.2449791094267724,2.212553345684701,2.1842719288949155,0.0,0.0,0.0,2.213934794668796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3842,2.245093856439018,2.2126640219739158,2.184378773722085,0.0,0.0,0.0,2.214045550711673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3985,2.245213807024438,2.2127797170052785,2.1844904632917572,0.0,0.0,0.0,2.214161329107158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4127,2.2453372867494803,2.2128988157243814,2.1846054384354723,0.0,0.0,0.0,2.2142805136364445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4269,2.245465122407195,2.21302211556597,2.1847244689514937,0.0,0.0,0.0,2.2144039023082196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
