energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,1.9908150376647462,1.9790460741946974,1.9823870145478022,-0.007219270455904779,0.013863748902596031,0.0012801127951081158,1.984082708802415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5004
0.0143,1.9908163540579777,1.9790473749688218,1.982388327165232,-0.0072192868250850585,0.013863768379029641,0.0012801118982834945,1.9840840187306774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.14781518939756,0.0,0.0,0.0,
0.0286,1.9908203032674188,1.9790512773205444,1.9823922650472812,-0.00721933593327304,0.013863826808495221,0.0012801092075602606,1.9840879485450813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.29646807314356,0.0,0.0,0.0,
0.0428,1.990826830211708,1.9790577268218792,1.9823987732707655,-0.007219417096353549,0.013863923375236654,0.0012801047597901895,1.984094443434784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.58559753448816,0.0,0.0,0.0,
0.0571,1.9908360269673842,1.979066814456619,1.982407943648489,-0.007219531460681328,0.013864059440166691,0.0012800984910904254,1.9841035950241641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.7384186339055,0.0,0.0,0.0,
0.0714,1.9908478569841248,1.979078504107711,1.9824197397354393,-0.007219678573689054,0.013864234460590246,0.0012800904247645874,1.984115366942425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.8945851072411,0.0,0.0,0.0,
0.0857,1.9908623205294538,1.9790927960390317,1.9824341617990089,-0.00721985844119402,0.013864448437987224,0.0012800805585706002,1.9841297594558316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.0549351044896,0.0,0.0,0.0,
0.1,1.9908794179304832,1.9791096905732222,1.9824512101661305,-0.007220071070309574,0.013864701374166583,0.0012800688897669167,1.9841467728899456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861.2203070039478,0.0,0.0,0.0,
0.1142,1.9908990024431823,1.9791290427067447,1.9824707385145137,-0.007220314639567229,0.013864991094747566,0.0012800555156186355,1.98416626122148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983.5301798849932,0.0,0.0,0.0,
0.1285,1.9909213503493017,1.9791511254423266,1.9824930223346233,-0.007220592589166947,0.01386532168275237,0.0012800402440389042,1.984188499375417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1106.708062102384,0.0,0.0,0.0,
0.1428,1.9909463334464577,1.979175812097846,1.9825179337929297,-0.007220903329420955,0.013865691236917168,0.0012800231586543517,1.9842133597790779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1229.893477313976,0.0,0.0,0.0,
0.1571,1.9909739522999437,1.9792031032308732,1.9825454734544365,-0.0072212468726271664,0.013866099760361876,0.001280004254723947,1.9842408429950844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1353.0872652666094,0.0,0.0,0.0,
0.1714,1.991004207534813,1.9792329994578979,1.982575641943853,-0.007221623232385035,0.013866547256534066,0.0012799835270046185,1.984270949645521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1476.290266164541,0.0,0.0,0.0,
0.1856,1.991036860662092,1.979265265118673,1.9826082014575208,-0.007222029448090797,0.013867030191963997,0.0012799611338597965,1.984303442412762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1598.6416541164533,0.0,0.0,0.0,
0.1999,1.9910723723251216,1.9793003553891322,1.982643611319872,-0.007222471257200625,0.013867555372635348,0.0012799367536815661,1.9843387796780416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1721.8655244672857,0.0,0.0,0.0,
0.2142,1.9911105225977668,1.9793380529513511,1.982681652237196,-0.007222945931358154,0.013868119538305862,0.0012799105310137362,1.984376742595438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1845.1011256922661,0.0,0.0,0.0,
0.2285,1.9911513123441344,1.9793783586575995,1.9827223250731398,-0.007223453489376252,0.013868722693726394,0.001279882458600306,1.984417332024958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1968.3493002819132,0.0,0.0,0.0,
0.2428,1.9911947424883445,1.9794212734193561,1.9827656307513126,-0.00722399395137824,0.013869364843972803,0.0012798525286789248,1.9844605488863376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2091.6108914148654,0.0,0.0,0.0,
0.257,1.9912404826626784,1.9794664707876959,1.9828112398529552,-0.007224563214727536,0.013870041095731839,0.0012798209618254033,1.9845060644344432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2214.0246226511745,0.0,0.0,0.0,
0.2713,1.991289178133013,1.979514588369124,1.9828597957972809,-0.007225169319832268,0.013870760979365881,0.0012797873047105909,1.9845545207664728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2337.3154708265442,0.0,0.0,0.0,
0.2856,1.9913405171263672,1.9795653180884774,1.9829109877073319,-0.007225808397004633,0.01387151987495454,0.0012797517638182777,1.9846056076407255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2460.622263759474,0.0,0.0,0.0,
