energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,1.84428532671466,1.8597694079624973,1.828147482413374,-0.0013640265671852508,0.0018479524559613285,-0.006713932719714568,1.844067405696844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3159
0.0147,1.8442862137783482,1.8597703201998639,1.8281483473631268,-0.0013640305781530365,0.00184794426865831,-0.006713951050764116,1.8440682937804465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.02662963793026,0.0,122.08152492614771,0.0,
0.0293,1.8442888508875876,1.8597730321468615,1.8281509187308527,-0.0013640425022529573,0.0018479199286898316,-0.0067140055465711255,1.8440709339217676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.67940785727784,0.0,243.3335508272082,0.0,
0.044,1.8442932742123141,1.8597775810001496,1.8281552317845686,-0.0013640625032913527,0.0018478791012275717,-0.006714096955511004,1.844075362332344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.70748555560206,0.0,365.4180587050182,0.0,
0.0586,1.844299423645762,1.859783904947697,1.8281612279156034,-0.0013640903099088044,0.0018478223394291359,-0.006714224036991111,1.8440815188363542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.36265978058157,0.0,486.67502026824775,0.0,
0.0733,1.8443073835320178,1.859792090727861,1.8281689893648854,-0.0013641263040965284,0.001847748862461,-0.00671438853618546,1.8440894878749212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.39411437139904,0.0,608.7664843434741,0.0,
0.088,1.8443171179228046,1.8598021013730746,1.8281784810796784,-0.0013641703240842718,0.0018476589991548013,-0.006714589712998236,1.8440992334585191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.4279899726789,0.0,730.8629354887667,0.0,
0.1026,1.8443285426960085,1.8598138503749337,1.8281896210342454,-0.0013642219903903206,0.001847553522540941,-0.006714825832230225,1.844110671368396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.09036158210205,0.0,852.1347230019339,0.0,
0.1173,1.8443418145509853,1.8598274988811103,1.828202562020543,-0.0013642820127770904,0.0018474309816480451,-0.0067151001364418456,1.8441239584842128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.13051199259337,0.0,974.2440994444639,0.0,
0.1319,1.8443567531419536,1.8598428614291151,1.8282171281877797,-0.0013643495769060238,0.0018472930367393382,-0.006715408902808358,1.8441389142529496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.8000745906512,0.0,1095.5306992332994,0.0,
0.1466,1.8443735633629852,1.8598601487295507,1.8282335193207553,-0.001364425610935605,0.0018471377901972065,-0.006715756371535558,1.8441557438044303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.8484310351333,0.0,1217.656978477068,0.0,
0.1612,1.844392016786949,1.8598791258742895,1.828251512685843,-0.0013645090832943732,0.0018469673454001947,-0.006716137826821597,1.8441742184490273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603.5271034693637,0.0,1338.9623423406824,0.0,
0.1759,1.8444123665165821,1.859900053151323,1.8282713550742336,-0.0013646011406804493,0.0018467793576486058,-0.006716558507093479,1.844194591580713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658.5855987997451,0.0,1461.1095047849149,0.0,
0.1906,1.8444344925467093,1.8599228071519311,1.828292929470943,-0.0013647012422781824,0.0018465749276650532,-0.006717015938905972,1.8442167430565277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713.6499096123512,0.0,1583.2686450114638,0.0,
0.2052,1.8444582266496319,1.8599472148761693,1.828316071840749,-0.0013648086290621076,0.0018463556018838538,-0.006717506651708345,1.8442405044555166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.3458708038529,0.0,1704.6096173588262,0.0,
0.2199,1.8444838943567765,1.8599736110973306,1.8283410995971054,-0.001364924776256848,0.0018461183631749915,-0.006718037384341923,1.8442662016837374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823.4232269775202,0.0,1826.7956251130388,0.0,
0.2345,1.844511146880627,1.8600016371312298,1.8283676726464972,-0.0013650481080716395,0.0018458664257881385,-0.0067186009337862895,1.8442934855527848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,878.1331071499067,0.0,1948.1652633450387,0.0,
0.2492,1.844540358010621,1.8600316773796126,1.8283961554566643,-0.001365180318778609,0.0018455963239698897,-0.006719205039139394,1.8443227302822993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,933.225447291839,0.0,2070.3821292628295,0.0,
0.2639,1.8445713476324341,1.8600635466192328,1.8284263724016192,-0.001365320596184703,0.0018453097116560861,-0.006719845986279909,1.8443537555510954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,988.3260361965031,0.0,2192.615981861252,0.0,
0.2785,1.8446038873497996,1.860097009974168,1.828458100777472,-0.0013654679092784156,0.001845008690342021,-0.006720519061536462,1.84438633270048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043.0604389888688,0.0,2314.036119420642,0.0,
0.2932,1.8446384234704452,1.8601325264241644,1.828491775761162,-0.00136562428178088,0.0018446891190440791,-0.006721233508118057,1.8444209085519239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1098.1789287944375,0.0,2436.306833103951,0.0,
0.3078,1.8446744866983669,1.8601696133557253,1.8285269397555726,-0.0013657875921673306,0.0018443553274819977,-0.006721979629698105,1.8444570132698883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152.9320770164827,0.0,2557.7655691250193,0.0,
0.3225,1.8447125716692936,1.8602087794494913,1.8285640750598506,-0.0013659600839275275,0.0018440027238600576,-0.006722767672631466,1.844495142059545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1208.070414507162,0.0,2680.077149062841,0.0,
0.3371,1.8447521608637945,1.860249492499293,1.8286026770561405,-0.001366139416850266,0.0018436360854264438,-0.006723586941772859,1.8445347768064095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1262.8442436131684,0.0,2801.5784648684603,0.0,
0.3518,1.844793797279366,1.8602923109216114,1.8286432751985666,-0.001366328054542278,0.001843250368516213,-0.006724448688017864,1.8445764611331814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1318.0043795244142,0.0,2923.93492324899,0.0,
0.3665,1.844837216531536,1.8603369628313493,1.828685611691927,-0.0013665248035935828,0.0018428480055509388,-0.006725347455150927,1.8446199303516042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373.1761880513168,0.0,3046.3154112540064,0.0,
0.3811,1.8448821058360685,1.860383126568839,1.8287293815488284,-0.001366728250566976,0.0018424318801810139,-0.006726276782555352,1.844664871317912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1427.9847184989476,0.0,3167.888164201389,0.0,
0.3958,1.844929080886386,1.8604314353123836,1.8287751851049567,-0.001366941190350349,0.0018419962679511795,-0.006727249432574309,1.8447119004345753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1483.1812631620492,0.0,3290.3195704846503,0.0,
0.4104,1.8449775033609577,1.8604812326226698,1.828822399953932,-0.0013671607339903883,0.001841547070711963,-0.006728252204675233,1.8447603786458533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1538.015335332195,0.0,3411.9448968747024,0.0,
0.4251,1.8450280374140515,1.8605332015163523,1.8288716736825654,-0.0013673898975149383,0.0018410781090346603,-0.006729298869836093,1.8448109708709897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1593.238578476234,0.0,3534.4312542294338,0.0,
0.4398,1.845080358326088,1.8605870080600357,1.8289226896653874,-0.0013676272138323303,0.001840592375551352,-0.006730382721892469,1.8448633520171704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1648.475957312596,0.0,3656.946703023107,0.0,
0.4544,1.8451340928686757,1.8606422684328736,1.828975083978907,-0.0013678709947023732,0.001840093317526748,-0.0067314960457822695,1.8449171484268188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1703.3520532697376,0.0,3778.6585147142005,0.0,
0.4691,1.8451899780564849,1.8606997405835557,1.829029575251094,-0.001368124589133818,0.001839574069583839,-0.006732654130731415,1.8449730979637116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1758.6190876012042,0.0,3901.2349886458865,0.0,
0.4837,1.845247254494021,1.8607586435583012,1.8290854230232458,-0.0013683845566406043,0.001839041666646964,-0.006733841259622372,1.8450304403585227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1813.5256180528772,0.0,4023.0094240789626,0.0,
0.4984,1.8453067077767698,1.8608197852683341,1.8291433932908625,-0.0013686544686129884,0.001838488784598521,-0.00673507373528036,1.8450899621119887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1868.82428432603,0.0,4145.650980938229,0.0,
0.513,1.8453675300250045,1.8608823348973158,1.829202698321434,-0.0013689306632004396,0.0018379229140205917,-0.006736334831024679,1.8451508544145847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1923.7632153732156,0.0,4267.492075788298,0.0,
0.5277,1.8454305554689048,1.8609471503747463,1.8292641515302683,-0.0013692169347328455,0.001837336270361547,-0.006737641865510214,1.8452139524579731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1979.0954963780473,0.0,4390.202784597185,0.0,
0.5424,1.84549537469883,1.8610138106708614,1.8293273537152381,-0.001369511430610499,0.0018367326377688822,-0.006738986373225825,1.8452788463616432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2034.4453911493267,0.0,4512.9497239454695,0.0,
0.557,1.8455615296085717,1.8610818446741264,1.8293918581939534,-0.0013698120751484367,0.0018361162608998912,-0.00674035887200706,1.845345077492217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2089.4366859021793,0.0,4634.898527777181,0.0,
0.5717,1.8456299275718848,1.8611521855391602,1.8294585496977036,-0.0013701229985931044,0.0018354786603484332,-0.0067417782104864064,1.8454135542695829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2144.823185784751,0.0,4757.720752218881,0.0,
0.5863,1.8456996391669822,1.8612238774507064,1.8295265219873924,-0.0013704399827420657,0.0018348284743971168,-0.006743225126084308,1.8454833462016937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2199.85182911525,0.0,4879.746363520586,0.0,
0.601,1.8457716205518722,1.8612979037364483,1.8295967073592405,-0.0013707673823343501,0.0018341567584949172,-0.0067447194894632466,1.845555410549187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2255.276934562785,0.0,5002.647973317352,0.0,
0.6157,1.845845401607288,1.861373780930713,1.8296686474173958,-0.0013711030672510503,0.0018334678686504594,-0.006746251569751117,1.845629276651799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2310.722164689101,0.0,5125.590960154778,0.0,
0.6303,1.8459204633578232,1.8614509753209496,1.8297418361309363,-0.0013714446826377468,0.001832766626389942,-0.006747810612822597,1.8457044249365697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2365.810636383915,0.0,5247.739580364953,0.0,
0.645,1.845997835345693,1.861530545708964,1.829817277345542,-0.001371796921651913,0.0018320433847187196,-0.006749418029300241,1.8457818861333994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2421.297490928164,0.0,5370.7681360120605,0.0,
0.6596,1.8460764662093656,1.861611410869041,1.829893945929626,-0.0013721550056323424,0.0018313079420825995,-0.006751052004269481,1.8458606076693442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2476.428306297889,0.0,5493.003794993341,0.0,
