energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.716897820570671,2.8660698491354366,2.723343575593522,0.0,0.0,0.10065836114888448,2.768770415099876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4337999999999997
0.0127,2.7169043422575387,2.866076758159898,2.723350423848962,0.0,0.0,0.10065927057141776,2.7687771747554657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0253,2.7169237027816324,2.8660972685081845,2.723370753859011,0.0,0.0,0.10066197034962071,2.768797241716276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.038,2.7169562108657974,2.866131707114859,2.7234048898733225,0.0,0.0,0.1006665036321993,2.768830935951326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0507,2.717001766579574,2.8661799679075015,2.723452727070525,0.0,0.0,0.10067285664867219,2.7688781538525333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0634,2.7170603732439838,2.8662420541143483,2.7235142690964085,0.0,0.0,0.10068103009267816,2.768938898818247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.076,2.717131419858787,2.8663173180962254,2.72358887454668,0.0,0.0,0.10069093904108288,2.7690125375005636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0887,2.717216039336597,2.8664069595628217,2.7236777333309172,0.0,0.0,0.10070274186262913,2.7691002440767782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1014,2.717313725393401,2.866510441634337,2.723780314100902,0.0,0.0,0.10071636837639064,2.769201493709547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1141,2.7174244851583205,2.866627771239756,2.7238966246832783,0.0,0.0,0.1007318200718918,2.769316293693785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1267,2.717547300466941,2.866757869143913,2.724025596257351,0.0,0.0,0.10074895544662839,2.7694435886227353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1394,2.717684129751092,2.8669028091223536,2.7241692858527187,0.0,0.0,0.10076804836795046,2.7695854082420546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1521,2.7178340597993014,2.867061622928331,2.724326734965042,0.0,0.0,0.10078897212559569,2.7697408058975577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1647,2.717995766535597,2.8672329071227156,2.724496553611034,0.0,0.0,0.10081154265675625,2.769908409089782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1774,2.7181718285796816,2.8674193920124065,2.7246814503315084,0.0,0.0,0.10083612070090073,2.770090890307865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1901,2.7183610270693253,2.8676197853990284,2.724880145746396,0.0,0.0,0.10086253704261794,2.7702869860715835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2028,2.7185633758645515,2.8678341007474115,2.7250926550745995,0.0,0.0,0.10089079458135157,2.770496710562188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2154,2.718777141376066,2.8680605007352,2.725317158339228,0.0,0.0,0.10092065218645496,2.7707182668168318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2281,2.7190057324118135,2.868302594266944,2.7255572363296996,0.0,0.0,0.10095258707511393,2.7709551876694856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
