energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.694125338325863,4.830864381486721,5.065278063250063,0.0,0.0,0.0,4.8634225943542155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7444999999999995
0.0132,4.694146330341452,4.830887690324671,5.065305306582824,0.0,0.0,0.0,4.863446442416316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0265,4.694209945891755,4.830958327260003,5.065387867606661,0.0,0.0,0.0,4.8635187135861395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0397,4.694315234826598,4.831075238277667,5.0655245164213865,0.0,0.0,0.0,4.8636383298418835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0529,4.694462527145369,4.831238791465352,5.0657156866332445,0.0,0.0,0.0,4.863805668414655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0661,4.694651837863567,4.831449005829494,5.065961405197711,0.0,0.0,0.0,4.864020749630257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0794,4.694885099423223,4.831708030272448,5.066264190216162,0.0,0.0,0.0,4.864285773303944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0926,4.695158827898102,4.832011999779702,5.066619531223205,0.0,0.0,0.0,4.8645967863003365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1058,4.69547464581027,4.8323627204048005,5.067029548201307,0.0,0.0,0.0,4.864955638138793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1191,4.695835457924725,4.8327634231506895,5.067498029037533,0.0,0.0,0.0,4.865365636704316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1323,4.6962358753169635,4.833208129055324,5.068017995153031,0.0,0.0,0.0,4.86582066650844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1455,4.696678492206816,4.833699725498225,5.068592835263652,0.0,0.0,0.0,4.866323684322897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1587,4.697163353886759,4.834238269880055,5.069222630968106,0.0,0.0,0.0,4.866874751578307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.172,4.69769466517637,4.834828440767257,5.069912870316815,0.0,0.0,0.0,4.867478658753481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1852,4.698264490829583,4.835461432388761,5.0706532719380375,0.0,0.0,0.0,4.868126398385461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1984,4.6988767238674445,4.836141578134141,5.071448922598728,0.0,0.0,0.0,4.868822408200105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2116,4.699531427181498,4.836868957807673,5.072299936020806,0.0,0.0,0.0,4.869566773669992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2249,4.700234112760819,4.837649706640457,5.073213513588841,0.0,0.0,0.0,4.870365777663372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2381,4.700974286171764,4.838472175820992,5.074176048268731,0.0,0.0,0.0,4.871207503420496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2513,4.7017571458658765,4.839342153246472,5.075194337225544,0.0,0.0,0.0,4.8720978787792975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
