energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.590391539500055,4.648331908295434,3.894201368472332,0.0,0.0,-0.13243465577718183,3.7109749387559408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4329
0.0142,2.5903943572895938,4.648346495710156,3.894212697095578,0.0,0.0,-0.13243530737914808,3.710984516698442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.7617291425277,0.0,
0.0285,2.5904028902686953,4.648390670506096,3.894247003489823,0.0,0.0,-0.13243728061935942,3.7110135214215383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051.2197524839403,0.0,
0.0427,2.590417019381957,4.648463817577478,3.894303810364166,0.0,0.0,-0.13244054803995198,3.711061549107867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1575.0048120178815,0.0,
0.057,2.5904369441139523,4.64856697174932,3.8943839220557304,0.0,0.0,-0.13244515589643427,3.711129279306334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2102.502013981291,0.0,
0.0712,2.590462386467166,4.648698696666991,3.89448622400485,0.0,0.0,-0.1324510400700238,3.7112157690463357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2626.341556082349,0.0,
0.0854,2.5904934667848876,4.64885961905832,3.894611204145124,0.0,0.0,-0.13245822861076675,3.71132142999611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3150.2198772792467,0.0,
0.0997,2.590530464699036,4.649051191397756,3.8947599920549165,0.0,0.0,-0.13246678647039767,3.7114472160505696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3677.8345145181383,0.0,
0.1139,2.5905728640011514,4.649270746171731,3.8949305177201414,0.0,0.0,-0.13247659456583405,3.7115913759643413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4201.814034053912,0.0,
0.1281,2.590620904989438,4.649519533756621,3.8951237542710286,0.0,0.0,-0.13248770884393857,3.7117547310056955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4725.855627248821,0.0,
0.1424,2.590674987356314,4.649799631278641,3.895341317412753,0.0,0.0,-0.13250022220485738,3.711938645349236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5253.658243019242,0.0,
0.1566,2.5907343565261174,4.650107138587053,3.895580180314465,0.0,0.0,-0.13251396052540515,3.7121405584758786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5777.847836172121,0.0,
0.1709,2.590799850717092,4.650446406081091,3.895843725119557,0.0,0.0,-0.13252911829545658,3.7123633273059133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6305.815249142964,0.0,
0.1851,2.590870556133388,4.6508127097282035,3.896128285301737,0.0,0.0,-0.13254548459588902,3.712603850387776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6830.184147349928,0.0,
0.1993,2.5909469132756713,4.651208341564628,3.89643564467373,0.0,0.0,-0.13256316198081555,3.712863633171343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7354.654088693629,0.0,
0.2136,2.591029522323341,4.651636423084586,3.896768232135406,0.0,0.0,-0.13258229009695027,3.7131447258477777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7882.9274920371445,0.0,
