energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.243704355214228,2.1879420264390714,2.2786265636987997,0.0,0.0,0.0,2.2367576484506997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3457
0.0151,2.2437058168691237,2.1879433988296206,2.2786281201488205,0.0,0.0,0.0,2.2367591119491883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0303,2.2437102406456395,2.1879475524430068,2.2786328308285677,0.0,0.0,0.0,2.2367635413057383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0454,2.2437175684207205,2.187954432706319,2.2786406338476466,0.0,0.0,0.0,2.2367708783248954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0605,2.2437278197583064,2.1879640579896393,2.278651550042513,0.0,0.0,0.0,2.23678114259682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0757,2.243741091852734,2.187976519552875,2.2786656829163676,0.0,0.0,0.0,2.236794431440659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0908,2.243757210324782,2.187991653667834,2.278682846787053,0.0,0.0,0.0,2.2368105702598897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.106,2.2437763889769267,2.1880096610820576,2.2787032693318947,0.0,0.0,0.0,2.236829773130293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1211,2.2437983758249755,2.1880303052023664,2.278726682233131,0.0,0.0,0.0,2.236851787753491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1362,2.2438232877813857,2.188053695804087,2.2787532099969203,0.0,0.0,0.0,2.236876731194131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1514,2.2438513194300875,2.18808001559123,2.2787830598410643,0.0,0.0,0.0,2.2369047982874606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1665,2.2438821024694526,2.1881089187574014,2.278815839589153,0.0,0.0,0.0,2.236935620272002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1816,2.243915812219454,2.188140569919743,2.278851735948167,0.0,0.0,0.0,2.2369693726957878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1968,2.24395270171416,2.188175206664411,2.2788910183831907,0.0,0.0,0.0,2.2370063089205874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2119,2.2439922862709696,2.1882123739117127,2.2789331707898732,0.0,0.0,0.0,2.2370459436575185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2271,2.2440350909575555,2.188252564670009,2.27897875231725,0.0,0.0,0.0,2.2370888026482714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
