energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.081574276679506,3.7802737320718784,4.311090913085251,0.0,0.0,0.0,3.390979640612212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8861
0.0144,2.0815760746114185,3.7802885943565783,4.311112836462236,0.0,0.0,0.0,3.3909925018100773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0288,2.08158146848169,3.7803331825337323,4.311178608841699,0.0,0.0,0.0,3.3910310866190403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0432,2.0815904585139435,3.780407500572631,4.311288236969455,0.0,0.0,0.0,3.391095398685343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0576,2.0816030450809335,3.7805115550900177,4.311441732090726,0.0,0.0,0.0,3.3911854440872258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.072,2.081619228704658,3.78064535535155,4.311639109953099,0.0,0.0,0.0,3.391301231336436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0864,2.081639010056472,3.7808089132741274,4.311880390810911,0.0,0.0,0.0,3.3914427713805035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1008,2.0816623899572413,3.78100224342893,4.312165599430816,0.0,0.0,0.0,3.3916100776056624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1152,2.0816893693775684,3.7812253630449777,4.312494765098608,0.0,0.0,0.0,3.3918031658403844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1296,2.081719949437999,3.7814782920133716,4.312867921627257,0.0,0.0,0.0,3.392022054359542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1439,2.081753881611558,3.7817589863551424,4.313282058329899,0.0,0.0,0.0,3.3922649754322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1583,2.0817916418866877,3.7820713969411495,4.313743009961263,0.0,0.0,0.0,3.3925353495963666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1727,2.0818330070547946,3.782413692375326,4.314248080809819,0.0,0.0,0.0,3.3928315934133138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1871,2.0818779788383015,3.782785903234777,4.314797322871394,0.0,0.0,0.0,3.3931537349814906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2015,2.0819265591113325,3.7831880627900434,4.315390792728113,0.0,0.0,0.0,3.3935018048764967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2159,2.081978749900153,3.7836202070134055,4.316028551564116,0.0,0.0,0.0,3.393875836159225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2303,2.082034553383691,3.784082374588032,4.316710665182489,0.0,0.0,0.0,3.394275864384737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2447,2.082093971894041,3.784574606917401,4.317437204023537,0.0,0.0,0.0,3.39470192761166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2591,2.0821570079170875,3.7850969481358874,4.318208243184298,0.0,0.0,0.0,3.3951540664124242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
