energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.651531676031092,2.6944632435744484,2.6754428493349143,0.0,0.0,-0.029923260306938922,2.6738125896468183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8495
0.015,2.65153459457807,2.6944662269504445,2.6754459505248294,0.0,0.0,-0.02992328541816691,2.6738155906844483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.9901131648704,0.0,
0.03,2.6515433503172656,2.6944751771752893,2.6754552542038796,0.0,0.0,-0.02992336074859155,2.673824593898812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.9808883942219,0.0,
0.045,2.651557943543464,2.6944900945395,2.67547076070003,0.0,0.0,-0.029923486288434917,2.673839599594331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788.9729876065309,0.0,
0.06,2.651578374747995,2.6945109795273527,2.67549247055991,0.0,0.0,-0.029923662021396662,2.673860608278419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051.9670724282,0.0,
0.075,2.6516046446188186,2.6945378328168816,2.675520384548904,0.0,0.0,-0.02992388792464977,2.6738876206615347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1314.9638040473853,0.0,
0.09,2.6516367540405823,2.6945706552799438,2.6755545036512522,0.0,0.0,-0.029924163968833635,2.6739206376572593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1577.963843067646,0.0,
0.105,2.6516747040947286,2.694609447982434,2.675594829070123,0.0,0.0,-0.029924490118044978,2.6739596603824283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1840.967849361359,0.0,
0.1199,2.6517181847668465,2.694653893980801,2.675641031448741,0.0,0.0,-0.029924863656090872,2.6740043700654628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2102.223074272864,0.0,
0.1349,2.6517677811566913,2.6947045913110412,2.6756937325849535,0.0,0.0,-0.029925289548176644,2.6740553683508956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2365.2369536669203,0.0,
0.1499,2.651823222593591,2.6947612632314986,2.675752644949392,0.0,0.0,-0.02992576539860238,2.674112376924827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2628.256769719679,0.0,
0.1649,2.6518845109463305,2.6948239115838817,2.6758177706212942,0.0,0.0,-0.02992629114521394,2.674175397717169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2891.2831779157937,0.0,
0.1799,2.6519516482813446,2.694892538404618,2.675889111899808,0.0,0.0,-0.02992686671924084,2.6742444328619235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3154.316832271363,0.0,
0.1949,2.6520246368629388,2.694967145925124,2.675966671304323,0.0,0.0,-0.029927492045278243,2.674319484697462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3417.3583851848857,0.0,
0.2099,2.6521034791535913,2.695047736571987,2.676050451574718,0.0,0.0,-0.029928167041262402,2.674400555766765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3680.4084872873796,0.0,
0.2249,2.6521881778141996,2.695134312967325,2.6761404556717263,0.0,0.0,-0.029928891618447185,2.6744876488177503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3943.4677872919456,0.0,
0.2399,2.652278735704389,2.695226877928934,2.676236686777262,0.0,0.0,-0.029929665681377626,2.6745807668035284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4206.536931842538,0.0,
0.2549,2.65237515588288,2.6953254344707305,2.6763391482948133,0.0,0.0,-0.029930489127861695,2.6746799128828083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4469.616565361952,0.0,
0.2699,2.652477441607785,2.6954299858030355,2.676447843849855,0.0,0.0,-0.029931361848938888,2.6747850904202255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4732.707329898835,0.0,
0.2849,2.652585596337067,2.6955405353328716,2.6765627772903,0.0,0.0,-0.029932283728848826,2.674896302986746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4995.809864973933,0.0,
0.2999,2.6526996237288367,2.6956570866644296,2.676683952686898,0.0,0.0,-0.029933254644995685,2.675013554360055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5258.924807425172,0.0,
0.3149,2.6528195276418973,2.695779643599396,2.676811374333808,0.0,0.0,-0.02993427446791213,2.6751368485250335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5522.052791251804,0.0,
0.3299,2.6529453121360675,2.695908210137424,2.6769450467490605,0.0,0.0,-0.029935343061220893,2.675266189674184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5785.19444745744,0.0,
0.3449,2.6530769814727657,2.6960427904764845,2.6770849746751257,0.0,0.0,-0.029936460281592917,2.6754015822081256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6048.350403891749,0.0,
0.3598,2.6532136035475116,2.6961824317529546,2.6772301677496486,0.0,0.0,-0.029937618047222184,2.6755420676833714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6309.766761763944,0.0,
0.3748,2.6533570168531093,2.696329012916396,2.6773825800364923,0.0,0.0,-0.029938831742120777,2.675689536601999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6572.953083103398,0.0,
0.3898,2.6535063289666914,2.6964816216372736,2.6775412633770985,0.0,0.0,-0.029940093593069726,2.675843071327021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6836.155563592673,0.0,
0.4048,2.653661544959684,2.696640262910639,2.677706223416146,0.0,0.0,-0.02994140342853243,2.67600267709549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7099.37481688406,0.0,
0.4198,2.653822670107844,2.6968049419324283,2.677877466025879,0.0,0.0,-0.029942761069785353,2.6761683593553833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7362.611452666164,0.0,
0.4348,2.653989709891757,2.6969756641000693,2.6780549973068,0.0,0.0,-0.02994416633086486,2.676340123766209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7625.866076497362,0.0,
0.4498,2.654162669997576,2.6971524350130727,2.6782388235884786,0.0,0.0,-0.029945619018510155,2.6765179761997095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7889.139289637416,0.0,
0.4648,2.6543415563176396,2.697335260473664,2.678428951430213,0.0,0.0,-0.029947118932104982,2.676701922740506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8152.431688877493,0.0,
0.4798,2.654526374951212,2.697524146487412,2.678625387621949,0.0,0.0,-0.029948665863618457,2.676891969686858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8415.743866368579,0.0,
0.4948,2.6547171322051413,2.697719099263913,2.6788281391850033,0.0,0.0,-0.02995025959754059,2.677088123551352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8679.076409447676,0.0,
0.5098,2.654913834594616,2.6979201252174727,2.679037213373007,0.0,0.0,-0.029951899910818154,2.6772903910616983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8942.429900462415,0.0,
0.5248,2.65511648884401,2.698127230967817,2.679252617672719,0.0,0.0,-0.029953586572786836,2.6774987791615152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9205.804916593494,0.0,
0.5398,2.655325101887552,2.698340423340861,2.679474359805009,0.0,0.0,-0.029955319345101313,2.67771329501114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9469.202029675076,0.0,
0.5548,2.655539680870283,2.698559709369421,2.6797024477257736,0.0,0.0,-0.029957097981662673,2.6779339459884923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9732.621806013049,0.0,
0.5698,2.655760233148782,2.6987850962940696,2.6799368896268856,0.0,0.0,-0.02995892222854346,2.6781607396899125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9996.064806201004,0.0,
0.5848,2.655986766292148,2.6990165915638817,2.6801776939372672,0.0,0.0,-0.02996079182391208,2.6783936839310987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10259.53158493428,0.0,
0.5997,2.6562177180909776,2.6992525984941924,2.680423200373163,0.0,0.0,-0.029962693584803024,2.6786311723194447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10521.26600170169,0.0,
0.6147,2.6564561965210904,2.699496292787646,2.6806767131788893,0.0,0.0,-0.02996465276189146,2.6788764008292083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10784.781809493315,0.0,
0.6297,2.65670067975178,2.6997461189786662,2.6809366150515053,0.0,0.0,-0.029966656455660545,2.6791278045939837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11048.323019075659,0.0,
0.6447,2.6569511762098426,2.700002085357707,2.681202915377108,0.0,0.0,-0.029968704371887495,2.679385392314886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11311.890159683742,0.0,
