energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.6486075425518987,2.5855255406683932,2.573032862165018,0.0,0.0,0.01090900640811541,2.60238864846177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.974200000000001
0.0146,2.648610391809835,2.585528267986353,2.5730355071528903,0.0,0.0,0.0109089921395739,2.602391388983026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0291,2.648618861743583,2.5855363754325946,2.57304336985603,0.0,0.0,0.01090894972155953,2.6023995356774026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0437,2.6486330694463036,2.58554997509242,2.57305655897001,0.0,0.0,0.010908878561013666,2.6024132011695777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0583,2.6486529764671647,2.58556903016623,2.573075038795757,0.0,0.0,0.01090877883935297,2.602432348476384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0728,2.6486783886533223,2.5855933548179517,2.5730986290932005,0.0,0.0,0.01090865151386669,2.602456790854825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0874,2.648709657317441,2.5856232853356387,2.573127655979466,0.0,0.0,0.010908494804377788,2.6024868662108482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.102,2.648746627707233,2.5856586736022287,2.5731619757862987,0.0,0.0,0.010908309461632125,2.6025224256985866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1165,2.6487889893028296,2.5856992224005984,2.5732013002441985,0.0,0.0,0.010908097014205446,2.602563170649209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1311,2.6488373277358432,2.5857454923180296,2.573246172983129,0.0,0.0,0.010907854491797979,2.6026096643456675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1457,2.6488913719096496,2.585797223878393,2.5732963423262505,0.0,0.0,0.010907583215741092,2.6026616460380976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
