energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.231076410215751,2.2247005710419376,2.23865714861384,0.0,0.0,0.00609720683275242,2.2314780432905095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.989
0.0153,2.231077826674575,2.2247019640393333,2.2386585659749763,0.0,0.0,0.006097197667317527,2.231479452229628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0307,2.231082113170309,2.224706179535107,2.238662855201369,0.0,0.0,0.0060971699300311445,2.231483715968928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.046,2.231089214114993,2.2247131628594383,2.238669960669898,0.0,0.0,0.006097123978227132,2.2314907792147767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0613,2.231099148219008,2.224722932408511,2.238679901103256,0.0,0.0,0.006097059686908914,2.231500660576925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0767,2.231112008437588,2.224735579591663,2.238692769516474,0.0,0.0,0.006096976448889236,2.2315134525152414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.092,2.2311276279974104,2.224750940390483,2.2387083990306986,0.0,0.0,0.006096875336505543,2.2315289891395307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1073,2.2311460814417416,2.2247690881039697,2.238726864237562,0.0,0.0,0.006096755858664036,2.2315473445944245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1227,2.231167517577715,2.224790169062387,2.2387483140401363,0.0,0.0,0.006096617041397,2.2315686668934127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.138,2.2311916584182923,2.2248139098717328,2.2387724702753493,0.0,0.0,0.006096460673054596,2.2315926795217913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1533,2.2312186343524307,2.224840438746022,2.238799463416664,0.0,0.0,0.006096285895979259,2.2316195121717057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1687,2.2312486500647246,2.2248699569607173,2.23882949828082,0.0,0.0,0.006096091368500402,2.2316493684354204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.184,2.2312813163071015,2.224902081701221,2.2388621853730806,0.0,0.0,0.006095879596663869,2.2316818611271345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1993,2.231316819336657,2.2249369961178704,2.2388977110712327,0.0,0.0,0.006095649355434448,2.2317171755085865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2147,2.231355419750564,2.2249749564647794,2.2389363361409607,0.0,0.0,0.00609539893416728,2.2317555707854346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.23,2.2313966169734902,2.2250154704436644,2.238977559689381,0.0,0.0,0.006095131558962684,2.231796549035512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2453,2.231440653162696,2.225058776171691,2.2390216240307588,0.0,0.0,0.006094845636245585,2.2318403511217153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2607,2.23148784487273,2.2251051849241654,2.2390688459246726,0.0,0.0,0.006094539084774447,2.231887291907189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.276,2.2315375801157247,2.2251540948380324,2.2391186129945355,0.0,0.0,0.0060942158537423815,2.231936762649431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2913,2.231590156990786,2.2252057990368557,2.239171223532922,0.0,0.0,0.006093873979521652,2.2319890598535213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3067,2.231645948064267,2.2252606638689176,2.2392270503479548,0.0,0.0,0.006093511008299486,2.2320445540937133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.322,2.231704229831503,2.225317977807157,2.2392853694746764,0.0,0.0,0.006093131616082275,2.2321025257044456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3373,2.2317653563847397,2.225378089030335,2.2393465352354847,0.0,0.0,0.006092733467325363,2.2321633268835197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3527,2.2318297563662632,2.225441419020633,2.2394109765513956,0.0,0.0,0.006092313733314677,2.232227383979431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.368,2.2318965946312335,2.2255071464696288,2.2394778577452863,0.0,0.0,0.0060918778212782475,2.2322938662820495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3834,2.231966746166938,2.2255761317813034,2.239548054370358,0.0,0.0,0.006091419986756383,2.2323636441062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3987,2.2320393012427306,2.2256474803057653,2.239620656115334,0.0,0.0,0.006090946127782899,2.23243581255461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.414,2.232114707453766,2.225721632153797,2.2396961108671807,0.0,0.0,0.0060904532835710425,2.2325108168249144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4294,2.2321934871119082,2.2257991008981,2.239774941278818,0.0,0.0,0.006089937994144062,2.2325891764296086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4447,2.232274618597977,2.22587888187112,2.239856125077515,0.0,0.0,0.006089406897650476,2.232669875182204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.46,2.232358605684568,2.2259614704140045,2.239940166365062,0.0,0.0,0.006088856654672294,2.2327534141545446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4754,2.2324460269782005,2.22604743544128,2.2400276441268456,0.0,0.0,0.006088283422356512,2.2328403688487755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4907,2.2325357487964816,2.2261356621015587,2.2401174239533654,0.0,0.0,0.00608769458523657,2.232929611617135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.506,2.2326283311764428,2.2262267010490504,2.2402100662485687,0.0,0.0,0.006087086422084632,2.233021699491354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5214,2.232724409119248,2.2263211766351088,2.24030620643069,0.0,0.0,0.006086454703510534,2.2331172640616823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5367,2.2328227366852476,2.226417863639962,2.240404597758701,0.0,0.0,0.006085807567414522,2.23321506602797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.552,2.232923930272708,2.2265173681228516,2.240505857035884,0.0,0.0,0.006085140907213001,2.2333157184771477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5674,2.233028681387354,2.2266203699764127,2.2406106762236697,0.0,0.0,0.006084450102945684,2.233419909195812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5827,2.233135631618703,2.2267255334093834,2.2407176960351256,0.0,0.0,0.006083744053581096,2.233526287021071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.598,2.2332454538329687,2.226833519987423,2.240827589779993,0.0,0.0,0.006083018263263225,2.2336355212001284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6134,2.233358896160299,2.2269450652583216,2.2409411060832385,0.0,0.0,0.006082267717050276,2.2337483558339533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6287,2.233474487486186,2.227058722637583,2.2410567728779918,0.0,0.0,0.0060815020834106516,2.2338633276672533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.644,2.2335929572614512,2.227175209308114,2.2411753200975237,0.0,0.0,0.00608071647292279,2.233981162222363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6594,2.2337151103705466,2.227295316596239,2.2412975531607833,0.0,0.0,0.0060799054708687034,2.234102660042523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6747,2.2338393627420414,2.227417486883771,2.2414218869670344,0.0,0.0,0.006079079524388443,2.2342262455309485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.69,2.2339665005379676,2.22754249309115,2.241549108200278,0.0,0.0,0.006078233345820138,2.2343527006097985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
