energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.7608931541365878,3.545977307863653,3.716052409569782,0.0,0.0,0.051875374209307414,3.674307623856674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1551
0.0153,3.7609017277576484,3.54598471513238,3.7160604492244373,0.0,0.0,0.051875360828610495,3.6743156307048217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0305,3.76092722529146,3.546006743974913,3.7160843587422954,0.0,0.0,0.0518753210161792,3.674339442669556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0458,3.7609699835966155,3.546043685375284,3.7161244539240954,0.0,0.0,0.051875254188932685,3.674379374298665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0611,3.761029893251439,3.546095444716904,3.716180632032592,0.0,0.0,0.05187516042199344,3.674435323333645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0763,3.761106398069168,3.5461615413676166,3.716252371344489,0.0,0.0,0.05187504045439818,3.674506770260425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0916,3.7612005087879608,3.5462428484142685,3.7163406194051025,0.0,0.0,0.05187489252975614,3.6745946588691107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1069,3.7613117831850422,3.5463389836182824,3.7164449612493953,0.0,0.0,0.051874717130005146,3.674698576017573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1222,3.7614402272134217,3.5464499519126265,3.7165654021197163,0.0,0.0,0.05187451399646722,3.6748185270819214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1374,3.7615848401964147,3.5465748885349737,3.7167010033100762,0.0,0.0,0.05187428443297239,3.674953577347155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
