energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.5973816493403445,3.5560463864351224,3.4632472060181616,0.0,0.0,0.048018373530417914,3.538891747264543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.104000000000001
0.0187,3.597390140265923,3.556054753719698,3.463254985384376,0.0,0.0,0.04801868945517088,3.538899959789999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0375,3.5974157953737493,3.5560800352551856,3.4632784905237526,0.0,0.0,0.048019644020680416,3.5389247737175626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0562,3.5974583431212066,3.5561219634700034,3.4633174726179305,0.0,0.0,0.04802122714494044,3.5389659264030464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.075,3.5975182408886996,3.556180989113222,3.463372350664023,0.0,0.0,0.048023455882266086,3.539023860221981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0937,3.5975948546979315,3.556256487477148,3.4634425437400504,0.0,0.0,0.04802630669303748,3.53909796197171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1125,3.5976890081342012,3.556349270207673,3.4635288063136374,0.0,0.0,0.048029810287872066,3.539189028218504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1312,3.597799704647184,3.556458355324908,3.463630225237414,0.0,0.0,0.048033929662373055,3.5392960950698353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.15,3.597928134207729,3.5565849155518983,3.4637478906108634,0.0,0.0,0.048038709193014964,3.53942031345683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1687,3.598072937479085,3.55672761142281,3.4638805568696274,0.0,0.0,0.048044098399364334,3.5395603685905073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1874,3.5982347599534426,3.5568870791303873,3.464028815226076,0.0,0.0,0.04805012142430378,3.5397168847699683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2062,3.5984146125912497,3.557064315035221,3.464193591693936,0.0,0.0,0.04805681603577847,3.5398908397734687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2249,3.5986105917877746,3.5572574433485857,3.46437314201534,0.0,0.0,0.048064111527208304,3.5400803923839006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2437,3.598824804306821,3.557468540319895,3.4645693960985255,0.0,0.0,0.0480720864911911,3.5402875802417473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2624,3.599054982879532,3.5576953717989763,3.464780276484372,0.0,0.0,0.04808065669898623,3.5405102103876267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2812,3.5993036019219216,3.5579403763764934,3.465008049844007,0.0,0.0,0.04808991447606689,3.5407506760474736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2999,3.599568030012226,3.558200961053332,3.4652503050803314,0.0,0.0,0.04809976204583854,3.5410064320486296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3186,3.599849558270354,3.5584783983544477,3.4655082247323845,0.0,0.0,0.04811024770574896,3.541278727119062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3374,3.6001498450317224,3.5587743227163866,3.465783327700932,0.0,0.0,0.0481214334706508,3.54156916514968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3561,3.6004657120429857,3.5590856022599118,3.4660727019048005,0.0,0.0,0.04813320120301718,3.5418746720692327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3749,3.600800554918168,3.5594155834988888,3.4663794577571996,0.0,0.0,0.04814567767764844,3.5421985320580855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3936,3.6011508296835375,3.5597607741414223,3.4667003481385033,0.0,0.0,0.048158731126704095,3.542537317321154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4124,3.6015203018676316,3.5601248853008687,3.46703882224482,0.0,0.0,0.04817250217769688,3.54289466980444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4311,3.6019050610093877,3.560504063507599,3.4673912972328225,0.0,0.0,0.048186845392101614,3.5432668072499367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4499,3.602309243383776,3.5609023853049693,3.4677615618242217,0.0,0.0,0.04820191529425278,3.5436577301709886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4686,3.602728571194958,3.5613156352001325,3.4681456966949944,0.0,0.0,0.04821755273030682,3.5440633010300284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4873,3.603165171148904,3.561745909343774,3.468545649565927,0.0,0.0,0.0482338373445544,3.5444855766862013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5061,3.603621540878587,3.5621956695026133,3.468963707833571,0.0,0.0,0.048250862695162426,3.5449269727382577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5248,3.604092850311949,3.562660155871973,3.4693954463258296,0.0,0.0,0.048268448980639415,3.5453828175032505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5436,3.604584166279689,3.5631443622599237,3.4698455058607593,0.0,0.0,0.04828678567087299,3.5458580114667906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5623,3.6050902889019425,3.563643164371067,3.4703091225764533,0.0,0.0,0.04830567911867286,3.5463475252831542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
