energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.8672716287400917,2.8672716287400917,2.989452177137828,0.0,0.0,0.0,2.9079984782060038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.390499999999999
0.0179,2.867276638524209,2.867276638524209,2.9894579871881994,0.0,0.0,0.0,2.9080037547455393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0358,2.8672916680926077,2.8672916680926077,2.9894754176140035,0.0,0.0,0.0,2.90801958459974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0537,2.8673167180933974,2.8673167180933974,2.989504469239331,0.0,0.0,0.0,2.9080459684753754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0716,2.867351789606851,2.867351789606851,2.989545143437827,0.0,0.0,0.0,2.9080829075505097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0895,2.8673968841455677,2.8673968841455677,2.9895974421328195,0.0,0.0,0.0,2.9081304034746513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1073,2.867451667873895,2.867451667873895,2.989660978369561,0.0,0.0,0.0,2.908188104705784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1252,2.8675167587049315,2.8675167587049315,2.9897364690464237,0.0,0.0,0.0,2.908256662152096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1431,2.8675918796780095,2.8675918796780095,2.989823593269639,0.0,0.0,0.0,2.908335784208553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.161,2.867677034034928,2.867677034034928,2.9899223551617804,0.0,0.0,0.0,2.9084254744105453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1789,2.867772225451283,2.867772225451283,2.990032759397164,0.0,0.0,0.0,2.908525736766576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1968,2.867877458036916,2.867877458036916,2.9901548112026024,0.0,0.0,0.0,2.9086365757588113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2147,2.8679927363364452,2.8679927363364452,2.9902885163580293,0.0,0.0,0.0,2.90875799634364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2326,2.8681180653298135,2.8681180653298135,2.9904338811974243,0.0,0.0,0.0,2.9088900039523504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2505,2.8682534504329062,2.8682534504329062,2.990590912609514,0.0,0.0,0.0,2.9090326044917756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2684,2.8683988974983095,2.8683988974983095,2.9907596180388762,0.0,0.0,0.0,2.909185804345165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2862,2.868553516036597,2.868553516036597,2.990938965271247,0.0,0.0,0.0,2.9093486657814807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3041,2.8687190500302977,2.8687190500302977,2.9911309779620234,0.0,0.0,0.0,2.9095230260075398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.322,2.8688946661302537,2.8688946661302537,2.9913346902968065,0.0,0.0,0.0,2.909708007519105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3399,2.8690803719410654,2.8690803719410654,2.9915501119513324,0.0,0.0,0.0,2.9099036186111547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
