energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.574623923012457,2.574623923012457,2.457816172197262,0.0,0.0,0.0,2.5356880060740585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8126
0.015,2.574626559064967,2.574626559064967,2.457818409071144,0.0,0.0,0.0,2.535690509067026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.03,2.5746344672989228,2.5746344672989228,2.4578251197541645,0.0,0.0,0.0,2.5356980181173365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.045,2.5746476479436877,2.5746476479436877,2.457836304430482,0.0,0.0,0.0,2.535710533439286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.06,2.574666101381526,2.574666101381526,2.4578519634070677,0.0,0.0,0.0,2.53572805539004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0751,2.5746900040225205,2.5746900040225205,2.4578722463547877,0.0,0.0,0.0,2.5357507514666096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0901,2.574719039967984,2.574719039967984,2.45789688518144,0.0,0.0,0.0,2.5357783217058025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1051,2.5747533507774287,2.5747533507774287,2.4579259999712546,0.0,0.0,0.0,2.535810900508704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1201,2.5747929374463405,2.5747929374463405,2.4579595915235783,0.0,0.0,0.0,2.53584848880542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1351,2.5748378011234783,2.5748378011234783,2.4579976607607907,0.0,0.0,0.0,2.535891087669249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1501,2.5748879431108986,2.5748879431108986,2.4580402087284354,0.0,0.0,0.0,2.5359386983167442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1651,2.5749433648641844,2.5749433648641844,2.45808723659528,0.0,0.0,0.0,2.535991322107883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1801,2.5750040679925252,2.5750040679925252,2.458138745653411,0.0,0.0,0.0,2.536048960546154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1952,2.5750705118993835,2.5750705118993835,2.458195125641172,0.0,0.0,0.0,2.536112049813313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2102,2.575141818461071,2.575141818461071,2.4582556313518626,0.0,0.0,0.0,2.5361797560913346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2252,2.575218412162953,2.575218412162953,2.4583206228829146,0.0,0.0,0.0,2.5362524824029404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2402,2.575300295231366,2.575300295231366,2.4583901020218804,0.0,0.0,0.0,2.536330230828204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2552,2.575387470047156,2.575387470047156,2.458464070680378,0.0,0.0,0.0,2.5364130035915635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2702,2.5754799391458967,2.5754799391458967,2.4585425308942552,0.0,0.0,0.0,2.536500803062016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2852,2.5755777052181896,2.5755777052181896,2.4586254848237665,0.0,0.0,0.0,2.536593631753382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3002,2.575680771109819,2.575680771109819,2.45871293475376,0.0,0.0,0.0,2.536691492324466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3153,2.575789880081119,2.575789880081119,2.4588055111831526,0.0,0.0,0.0,2.5367950904484635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3303,2.5759035901553364,2.5759035901553364,2.458901990483312,0.0,0.0,0.0,2.5369030569313282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3453,2.576022609543127,2.576022609543127,2.459002973406511,0.0,0.0,0.0,2.537016064164255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3603,2.5761469417151357,2.5761469417151357,2.459108462739142,0.0,0.0,0.0,2.5371341153898044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3753,2.5762765902987574,2.5762765902987574,2.459218461393322,0.0,0.0,0.0,2.5372572139969454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3903,2.576411559078432,2.576411559078432,2.459332972407272,0.0,0.0,0.0,2.5373853635213783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4053,2.5765518519960584,2.5765518519960584,2.4594519989455295,0.0,0.0,0.0,2.5375185676458822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4203,2.5766974731513113,2.5766974731513113,2.4595755442992635,0.0,0.0,0.0,2.537656830200629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4354,2.5768494510631,2.5768494510631,2.4597044808529738,0.0,0.0,0.0,2.5378011276597245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4504,2.577005777220572,2.577005777220572,2.4598371044032423,0.0,0.0,0.0,2.537949552948129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4654,2.577167444896658,2.577167444896658,2.459974257430296,0.0,0.0,0.0,2.5381030490745373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4804,2.577334458827477,2.577334458827477,2.4601159437358633,0.0,0.0,0.0,2.5382616204636057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
