energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.931932951547934,2.931932951547934,2.7373850746375332,0.0,0.0,0.0,2.8670836592444666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.516
0.0146,2.93193656187562,2.93193656187562,2.7373879751667243,0.0,0.0,0.0,2.867087032972655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0292,2.9319473929608675,2.9319473929608675,2.737396676829679,0.0,0.0,0.0,2.8670971542504713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0438,2.9319654451102997,2.9319654451102997,2.737411179852562,0.0,0.0,0.0,2.8671140233577206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0583,2.9319905211637325,2.9319905211637325,2.737431325804659,0.0,0.0,0.0,2.8671374560440412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0729,2.932022967708504,2.932022967708504,2.737457393085432,0.0,0.0,0.0,2.8671677761674794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0875,2.9320626374570873,2.9320626374570873,2.7374892633043584,0.0,0.0,0.0,2.8672048460728443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1021,2.9321095315327614,2.9321095315327614,2.7375269372899704,0.0,0.0,0.0,2.8672486667851644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1167,2.932163651263469,2.932163651263469,2.7375704160217724,0.0,0.0,0.0,2.8672992395162367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1313,2.932224998182007,2.932224998182007,2.73761970063033,0.0,0.0,0.0,2.8673565656647817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1459,2.9322935740260574,2.9322935740260574,2.7376747923973235,0.0,0.0,0.0,2.867420646816479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1604,2.9323688369159733,2.9323688369159733,2.7377352558702794,0.0,0.0,0.0,2.867490976567409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.175,2.932451827095628,2.932451827095628,2.7378019266028497,0.0,0.0,0.0,2.867568526931368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1896,2.932542052628171,2.932542052628171,2.737874409234398,0.0,0.0,0.0,2.8676528381635804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2042,2.9326395160711556,2.9326395160711556,2.73795270565124,0.0,0.0,0.0,2.8677439125978506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2188,2.9327442201879874,2.9327442201879874,2.7380368178913757,0.0,0.0,0.0,2.8678417527557833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
