energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.315573659417009,3.315573659417009,3.2821571499774977,0.0,0.0,0.0,3.304434822937172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4332
0.0198,3.3155832397937606,3.3155832397937606,3.2821664952584095,0.0,0.0,0.0,3.3044443249486437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0395,3.3156117883694187,3.3156117883694187,3.282194343265096,0.0,0.0,0.0,3.304472640001311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0593,3.3156595972224876,3.3156595972224876,3.282240978888823,0.0,0.0,0.0,3.3045200577779332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.079,3.315726187151548,3.315726187151548,3.2823059346549623,0.0,0.0,0.0,3.3045861029860197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0988,3.315812239435044,3.315812239435044,3.2823898750766802,0.0,0.0,0.0,3.3046714513155897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1185,3.3159168915495543,3.3159168915495543,3.282491958739205,0.0,0.0,0.0,3.3047752472794376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1383,3.316041214189922,3.316041214189922,3.2826132299867536,0.0,0.0,0.0,3.3048985527888655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.158,3.3161839612452124,3.3161839612452124,3.28275247320751,0.0,0.0,0.0,3.3050401318993115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1778,3.316346593167134,3.316346593167134,3.28291111290582,0.0,0.0,0.0,3.305201433080029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
