energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.824184799086663,2.824184799086663,2.806187566639322,0.0,0.0,0.0,2.818185721604216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7579
0.0195,2.8241896659728303,2.8241896659728303,2.8061922681137617,0.0,0.0,0.0,2.8181905333531407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.039,2.8242042668616394,2.8242042668616394,2.806206372750774,0.0,0.0,0.0,2.818204968824684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0586,2.824228752332398,2.824228752332398,2.8062300259851334,0.0,0.0,0.0,2.81822917688331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0781,2.8242628736911346,2.8242628736911346,2.8062629875314804,0.0,0.0,0.0,2.8182629116379165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0976,2.8243067325170994,2.8243067325170994,2.806305355454861,0.0,0.0,0.0,2.818306273496353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1171,2.82436033088633,2.82436033088633,2.8063571316814246,0.0,0.0,0.0,2.8183592644846946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1366,2.8244236713363566,2.8244236713363566,2.8064183185653944,0.0,0.0,0.0,2.8184218870793694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1562,2.8244971567853803,2.8244971567853803,2.8064893052085886,0.0,0.0,0.0,2.8184945395931162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1757,2.8245800408594954,2.8245800408594954,2.8065693704838086,0.0,0.0,0.0,2.8185764840676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1952,2.824672677421108,2.824672677421108,2.8066588560712007,0.0,0.0,0.0,2.818668070304472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2147,2.8247750708603596,2.8247750708603596,2.80675776604353,0.0,0.0,0.0,2.8187693025880827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2342,2.8248872260314695,2.8248872260314695,2.806866104903939,0.0,0.0,0.0,2.818880185655626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2538,2.8250097986775238,2.8250097986775238,2.8069845058714593,0.0,0.0,0.0,2.819001367742169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2733,2.825141543867703,2.825141543867703,2.8071117661628495,0.0,0.0,0.0,2.8191316179660855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2928,2.825283068177516,2.825283068177516,2.807248471471497,0.0,0.0,0.0,2.819271535942176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3123,2.825434378327688,2.825434378327688,2.8073946280312043,0.0,0.0,0.0,2.81942112822886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3318,2.825595481507367,2.825595481507367,2.8075502425099614,0.0,0.0,0.0,2.819580401841565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3514,2.8257672870778574,2.8257672870778574,2.8077161929789733,0.0,0.0,0.0,2.8197502557115626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3709,2.8259480500862724,2.8259480500862724,2.807890793638715,0.0,0.0,0.0,2.819928964603753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
