energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.0930344665757796,3.0930344665757796,3.066121159492347,0.0,0.0,0.0,3.084063364214636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.170299999999999
0.0195,3.0930413312930014,3.0930413312930014,3.0661279205247127,0.0,0.0,0.0,3.084070194370238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0389,3.0930617852065465,3.0930617852065465,3.0661480655053386,0.0,0.0,0.0,3.0840905453061436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0584,3.093096040376852,3.093096040376852,3.0661818033022312,0.0,0.0,0.0,3.0841246280186447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0779,3.0931440285771394,3.0931440285771394,3.066229066736704,0.0,0.0,0.0,3.0841723746303273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0973,3.0932054010312573,3.0932054010312573,3.0662895123244707,0.0,0.0,0.0,3.084233438128995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1168,3.093280794032923,3.093280794032923,3.0663637667812718,0.0,0.0,0.0,3.084308451615706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1363,3.093369930856741,3.093369930856741,3.066451557599777,0.0,0.0,0.0,3.0843971397710863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1557,3.0934722540088124,3.0934722540088124,3.066552335749266,0.0,0.0,0.0,3.084498947922297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1752,3.0935888243532474,3.0935888243532474,3.0666671461282418,0.0,0.0,0.0,3.084614931611579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
