energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.767365016146519,3.8644072847502025,3.7443179681935286,0.0,0.0,0.0,3.79203008969675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3473
0.015,3.767374439800416,3.8644170445297297,3.744327125898291,0.0,0.0,0.0,3.7920395367428124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0301,3.7674029630563917,3.8644465851577494,3.744354844174655,0.0,0.0,0.0,3.7920681307962654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0451,3.767450209843896,3.864495517138651,3.7444007575292306,0.0,0.0,0.0,3.7921154948372595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0601,3.767516309085064,3.8645639739741724,3.7444649911856276,0.0,0.0,0.0,3.7921817580816217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0751,3.767601264773065,3.8646519597735627,3.744547548940245,0.0,0.0,0.0,3.792266924495624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0902,3.767705837460724,3.864760262181684,3.744649169768143,0.0,0.0,0.0,3.7923717564701835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1052,3.7678286483920638,3.864887453225828,3.7447685136996665,0.0,0.0,0.0,3.792494871772519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1202,3.767970334646777,3.865034192659304,3.744906199675405,0.0,0.0,0.0,3.792636908993829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1353,3.768132038646694,3.8652016635894375,3.745063337676266,0.0,0.0,0.0,3.792799013304132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1503,3.768311628386767,3.8653876579120108,3.7452378556922556,0.0,0.0,0.0,3.7929790473303444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1653,3.768510122664062,3.8655932306868466,3.7454307435254806,0.0,0.0,0.0,3.7931780322921296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1804,3.7687290464034415,3.865819961136328,3.7456434827652947,0.0,0.0,0.0,3.7933974967683546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1954,3.768965513195528,3.8660648598356806,3.7458732682626286,0.0,0.0,0.0,3.793634547097946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2104,3.769220924123564,3.86632937773637,3.746121461221658,0.0,0.0,0.0,3.793890587693864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2254,3.769495294669828,3.8666135307702976,3.7463880763601463,0.0,0.0,0.0,3.794165633933424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2405,3.769790660835739,3.8669194274147722,3.746675091758315,0.0,0.0,0.0,3.7944617266696086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2555,3.7701031283919972,3.8672430344837134,3.7469787229083273,0.0,0.0,0.0,3.7947749619280127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2705,3.7704346091073058,3.8675863317808328,3.747300827133068,0.0,0.0,0.0,3.795107256007069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2856,3.770787523799512,3.8679518262785697,3.7476437563192033,0.0,0.0,0.0,3.7954610354657614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3006,3.771157219539452,3.868334699049599,3.7480029887354873,0.0,0.0,0.0,3.7958316357748463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3156,3.7715459925415877,3.868737328011156,3.748380755158487,0.0,0.0,0.0,3.79622135857041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3306,3.7719538664845027,3.8691597375282742,3.7487770780944567,0.0,0.0,0.0,3.7966302273690773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3457,3.7723837771315414,3.8696049678086277,3.7491948095969034,0.0,0.0,0.0,3.7970611848456906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3607,3.7728300565023827,3.870067148721851,3.7496284417001418,0.0,0.0,0.0,3.797508548974792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3757,3.773295515159043,3.8705491908049856,3.7500807047786573,0.0,0.0,0.0,3.7979751369142285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
