energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.8171081559301143,3.8171081559301143,3.6723338843415183,0.0,0.0,0.0,3.7688500654005828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1069
0.0139,3.8171200939097316,3.8171200939097316,3.67234551566255,0.0,0.0,0.0,3.768861901160671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0278,3.8171559089800575,3.8171559089800575,3.672380410862446,0.0,0.0,0.0,3.7688974096075203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0417,3.8172156045360137,3.8172156045360137,3.672438573651899,0.0,0.0,0.0,3.7689565942413084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0556,3.817299186236989,3.817299186236989,3.672520010216978,0.0,0.0,0.0,3.7690394608969853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0695,3.8174066620089055,3.8174066620089055,3.672624729221476,0.0,0.0,0.0,3.7691460177464293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0834,3.817538042046887,3.817538042046887,3.672752741810195,0.0,0.0,0.0,3.769276275301323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0973,3.817693338818732,3.817693338818732,3.6729040616130435,0.0,0.0,0.0,3.7694302464168357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1112,3.8178725670692257,3.8178725670692257,3.6730787047503286,0.0,0.0,0.0,3.76960794629626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1251,3.8180757438251423,3.8180757438251423,3.6732766898388416,0.0,0.0,0.0,3.7698093924963754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.139,3.8183028884011945,3.8183028884011945,3.6734980379988245,0.0,0.0,0.0,3.7700346049337377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1529,3.818554022406558,3.818554022406558,3.6737427728620364,0.0,0.0,0.0,3.7702836058917177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1668,3.8188291697524583,3.8188291697524583,3.6740109205808342,0.0,0.0,0.0,3.7705564200285835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1807,3.8191283566602774,3.8191283566602774,3.674302509837956,0.0,0.0,0.0,3.7708530743861703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1946,3.8194516116707344,3.8194516116707344,3.6746175718575853,0.0,0.0,0.0,3.7711735983996846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2085,3.8197989656536984,3.8197989656536984,3.6749561404172333,0.0,0.0,0.0,3.7715180239082096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2224,3.8201704518189485,3.8201704518189485,3.675318251860686,0.0,0.0,0.0,3.7718863851661943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2363,3.820566105727681,3.820566105727681,3.6757039451119624,0.0,0.0,0.0,3.772278718855775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2502,3.8209859653049625,3.8209859653049625,3.676113261690241,0.0,0.0,0.0,3.7726950641000556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2641,3.821430070852933,3.821430070852933,3.6765462457259144,0.0,0.0,0.0,3.77313546247726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.278,3.821898465064992,3.821898465064992,3.6770029439776937,0.0,0.0,0.0,3.7735999580358928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2919,3.8223911930407253,3.8223911930407253,3.6774834058505603,0.0,0.0,0.0,3.7740885973106706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3058,3.8229083023018458,3.8229083023018458,3.6779876834152354,0.0,0.0,0.0,3.774601429339642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3197,3.823449842809023,3.823449842809023,3.678515831428312,0.0,0.0,0.0,3.77513850568212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3336,3.8240158669795656,3.8240158669795656,3.679067907353739,0.0,0.0,0.0,3.775699880437623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3475,3.824606429706114,3.824606429706114,3.6796439713853664,0.0,0.0,0.0,3.7762856102658646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3614,3.8252215883762366,3.8252215883762366,3.6802440864707844,0.0,0.0,0.0,3.7768957544077524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3753,3.825861402893007,3.825861402893007,3.6808683183360835,0.0,0.0,0.0,3.777530374707366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3892,3.8265259356966053,3.8265259356966053,3.6815167355120497,0.0,0.0,0.0,3.778189535635087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4031,3.827215251786885,3.827215251786885,3.682189409361528,0.0,0.0,0.0,3.778873304311766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4169,3.8279241919417,3.8279241919417,3.682881312612548,0.0,0.0,0.0,3.7795765654986493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4308,3.828663100417498,3.828663100417498,3.683602549490277,0.0,0.0,0.0,3.7803095834417575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4447,3.829427002245439,3.829427002245439,3.6843482738281113,0.0,0.0,0.0,3.7810674261063295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4586,3.8302159728914145,3.8302159728914145,3.685118568594379,0.0,0.0,0.0,3.7818501714590695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4725,3.831030090509557,3.831030090509557,3.685913519745208,0.0,0.0,0.0,3.7826579002547738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4864,3.831869435971201,3.831869435971201,3.6867332162597792,0.0,0.0,0.0,3.783490696067394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5003,3.8327340928951994,3.8327340928951994,3.687577750177008,0.0,0.0,0.0,3.784348645322469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5142,3.83362414767931,3.83362414767931,3.6884472166337217,0.0,0.0,0.0,3.7852318373307803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
