energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.363960901982094,2.3031438145538767,2.29564365977766,0.0,0.0,0.0,2.320916125437877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.627599999999999
0.0218,2.363964107645412,2.3031468547625975,2.2956465127839705,0.0,0.0,0.0,2.3209191583973268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0436,2.3639737247539228,2.303155975502883,2.295655071900728,0.0,0.0,0.0,2.320928257385845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0654,2.3639897536632546,2.3031711771171306,2.2956693374214114,0.0,0.0,0.0,2.3209434227339325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0872,2.3640121949661816,2.3031924601760583,2.2956893098352076,0.0,0.0,0.0,2.3209646549924825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.109,2.3640410494926565,2.3032198254787084,2.2957149898270206,0.0,0.0,0.0,2.3209919549327953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1309,2.3640764948745923,2.3032534415047516,2.2957465354157343,0.0,0.0,0.0,2.3210254905983594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1527,2.364118208720052,2.3032930025199594,2.2957836595949552,0.0,0.0,0.0,2.321064956944989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1745,2.3641663397107964,2.303338649554681,2.2958264945884306,0.0,0.0,0.0,2.3211104946179693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1963,2.36422088962781,2.303390384323642,2.2958750418658154,0.0,0.0,0.0,2.3211621052724225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2181,2.3642818604899865,2.3034482087706634,2.2959293030930192,0.0,0.0,0.0,2.321219790784556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2399,2.36434925455435,2.303512125068832,2.2959892801324,0.0,0.0,0.0,2.321283553251861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2617,2.364423074316275,2.3035821356207715,2.2960549750429458,0.0,0.0,0.0,2.3213533949933307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2835,2.3645033225097594,2.303658243058874,2.2961263900804774,0.0,0.0,0.0,2.3214293185497037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3053,2.3645900021077457,2.3037404502456518,2.296203527697861,0.0,0.0,0.0,2.321511326683753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3271,2.364683116322408,2.3038287602739937,2.2962863905452666,0.0,0.0,0.0,2.321599422380556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.349,2.364783140106913,2.3039236236439447,2.29637540105351,0.0,0.0,0.0,2.321694054934789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3708,2.3648891637084786,2.3040241775922774,2.2964697493989252,0.0,0.0,0.0,2.3217943635665605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3926,2.365001633020932,2.304130845064787,2.2965698321267936,0.0,0.0,0.0,2.321900770070837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4144,2.365120552218321,2.30424363008076,2.2966756526802294,0.0,0.0,0.0,2.3220132783264367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4362,2.365245925715876,2.304362536891886,2.2967872147011983,0.0,0.0,0.0,2.32213189243632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.458,2.365377758170594,2.3044875699827028,2.2969045220308653,0.0,0.0,0.0,2.322256616728054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4798,2.3655160544816924,2.3046187340711333,2.2970275787099306,0.0,0.0,0.0,2.322387455754252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5016,2.3656608197911457,2.3047560341089834,2.2971563889790994,0.0,0.0,0.0,2.322524414293076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5234,2.3658120594842558,2.304899475282509,2.297290957279479,0.0,0.0,0.0,2.322667497348748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5452,2.3659697791902268,2.3050490630130067,2.297431288253021,0.0,0.0,0.0,2.3228167101520847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5671,2.3661347529729078,2.3052055315451296,2.2975780702161797,0.0,0.0,0.0,2.3229727849114057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5889,2.366305480365288,2.3053674578587957,2.2977299677592398,0.0,0.0,0.0,2.3231343019944415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6107,2.3664827061576226,2.3055355484383897,2.297887643135745,0.0,0.0,0.0,2.3233019659105856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6325,2.3666664369622876,2.305709809652793,2.29805110179682,0.0,0.0,0.0,2.3234757828039667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
