energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.4580200918656625,3.294886788388959,3.6207415240788126,0.0,0.0,0.07930962764897122,3.457882801444478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4841
0.0194,3.458029374532569,3.29489564764502,3.6207521858587897,0.0,0.0,0.07931021264707708,3.4578924026787927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0387,3.458057031987514,3.2949220436014435,3.6207839523749374,0.0,0.0,0.07931195564608629,3.457921009321298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0581,3.458103352655491,3.2949662516566307,3.62083715499734,0.0,0.0,0.07931487486199489,3.457968919769821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0774,3.458167862014494,3.2950278191440896,3.6209112488586275,0.0,0.0,0.0793189404543691,3.45803564333907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0968,3.458251232799551,3.2951073884202953,3.6210070068646347,0.0,0.0,0.07932419491259748,3.45812187602816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1161,3.4583526109384244,3.295204144740917,3.62112344832481,0.0,0.0,0.07933058452538004,3.45822673466805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1355,3.458473053654294,3.29531909760351,3.6212617878945994,0.0,0.0,0.07933817607061375,3.4583513130508012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1549,3.4586120914874785,3.29545179951507,3.62142148676974,0.0,0.0,0.07934694013074489,3.4584951259240966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1742,3.4587688732791433,3.2956014387366874,3.621601567769134,0.0,0.0,0.07935682324630904,3.458657293261655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1936,3.458945034039501,3.2957695765250477,3.62180390941337,0.0,0.0,0.07936792870668444,3.458839506659306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2129,3.459138769148662,3.295954491263742,3.622026439473139,0.0,0.0,0.0793801429929588,3.459039899961848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2323,3.459352098997659,3.296158112267305,3.622271479290216,0.0,0.0,0.07939359375875442,3.4592605635183933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2516,3.45958283821293,3.2963783546095,3.6225365193681873,0.0,0.0,0.07940814351283122,3.4594992373968725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
