energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.096717802144974,4.052201106303471,4.041011187076808,0.0,0.0,0.0,4.063310031841751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1837999999999997
0.0182,4.096745407447537,4.052226238308863,4.041036856487814,0.0,0.0,0.0,4.063336167414739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0365,4.09682883525012,4.052302190972226,4.041114433430163,0.0,0.0,0.0,4.063415153217503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0547,4.096967186746587,4.052428144753625,4.041243081312416,0.0,0.0,0.0,4.0635461376042095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0729,4.097160787667066,4.0526043940950185,4.041423101661042,0.0,0.0,0.0,4.063729427807709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0912,4.097411188403576,4.052832347439953,4.0416559341760205,0.0,0.0,0.0,4.063966490006517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1094,4.097715691309091,4.053109545165342,4.0419390680149085,0.0,0.0,0.0,4.064254768163114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1276,4.098075560255282,4.053437133214016,4.042273675382295,0.0,0.0,0.0,4.064595456283865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1459,4.098493286396257,4.0538173736552565,4.042662068924212,0.0,0.0,0.0,4.064990909658575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1641,4.098964369552908,4.054246163768825,4.043100060338563,0.0,0.0,0.0,4.0654368645534325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
