energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.553218716518571,2.553218716518571,2.3931729264776935,0.0,0.0,0.0,2.4998701198382784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8518
0.0159,2.553222568303121,2.553222568303121,2.3931757287380457,0.0,0.0,0.0,2.499873621781429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0318,2.5532341238434224,2.5532341238434224,2.393184135619991,0.0,0.0,0.0,2.4998841277689454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0477,2.553253383699461,2.553253383699461,2.3931981474261144,0.0,0.0,0.0,2.4999016382750123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0636,2.5532803488046305,2.5532803488046305,2.3932177646608093,0.0,0.0,0.0,2.4999261540900233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0795,2.553315020465887,2.553315020465887,2.3932429880302912,0.0,0.0,0.0,2.4999576763206885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0954,2.5533574003639146,2.5533574003639146,2.3932738184426805,0.0,0.0,0.0,2.4999962063901697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1113,2.5534074905534485,2.5534074905534485,2.393310257008092,0.0,0.0,0.0,2.5000417460383297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1272,2.553465293463507,2.553465293463507,2.3933523050387984,0.0,0.0,0.0,2.500094297321937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1431,2.5535308118977733,2.5535308118977733,2.3933999640493404,0.0,0.0,0.0,2.500153862614962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.159,2.5536040490350613,2.5536040490350613,2.3934532357566827,0.0,0.0,0.0,2.500220444608935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1749,2.5536850084297655,2.5536850084297655,2.3935121220804696,0.0,0.0,0.0,2.5002940463133334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
