energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.1307349742444477,3.1268677977614057,2.959704912767724,0.0,0.0,0.0018110096724614276,3.0724358949245256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7524999999999995
0.0192,3.1307443867684692,3.1268771380683553,2.9597121246680347,0.0,0.0,0.001811012800503495,3.072444549834953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0384,3.1307726252651227,3.126905159905359,2.959733760959807,0.0,0.0,0.001811022186047522,3.072470515376763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0576,3.130819692508437,3.126951866021242,2.9597698234158036,0.0,0.0,0.0018110378333481012,3.072513793981828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0768,3.1308855931227213,3.1270172609983837,2.959820314991145,0.0,0.0,0.0018110597494998002,3.0725743897040836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.096,3.1309703335841266,3.1271013512540633,2.959885239824149,0.0,0.0,0.0018110879444423005,3.0726523082207797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1152,3.131073922222639,3.1272041450426764,2.959964603237531,0.0,0.0,0.0018111224309678893,3.072747556834282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1344,3.1311963692247566,3.1273256524582487,2.960058411739819,0.0,0.0,0.0018111632247309346,3.0728601444742747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1536,3.1313376866367255,3.1274658854377155,2.9601666730272136,0.0,0.0,0.0018112103442594614,3.0729900817005515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1728,3.1314978883684015,3.127624857764732,2.960289395985749,0.0,0.0,0.00181126381096906,3.073137380706294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
