energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.18402855461187,2.1728139213486912,2.1868990480374633,-0.00712615006721798,0.014546907410793702,0.0036841991205550624,2.1812471746660083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5939000000000005
0.0175,2.1840301335704457,2.1728154657137244,2.1869006325081464,-0.007126168138704571,0.014546963832787358,0.0036842131145742134,2.1812487439307726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.7302696200295,0.0,0.0,0.0,
0.035,2.1840348704809376,2.172820098842772,2.186905385955562,-0.007126222353750673,0.014547133100878861,0.0036842550970695087,2.181253451759757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.46167836811117,0.0,0.0,0.0,
0.0525,2.1840427654476624,2.172827820837759,2.1869133084857872,-0.007126312714115468,0.014547415221401044,0.0036843250693545174,2.1812612982570694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.19536541945644,0.0,0.0,0.0,
0.07,2.184053818644493,2.172838631868499,2.1869244002756507,-0.007126439222731063,0.014547810204909235,0.003684423033618567,2.1812722835962144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.9324700436009,0.0,0.0,0.0,
0.0875,2.184068030314865,2.172852532172791,2.186938661572734,-0.007126601883702695,0.01454831806618216,0.003684548992927065,2.18128640802013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748.674131651574,0.0,0.0,0.0,
0.105,2.1840854007717896,2.1728695220563785,2.1869560926953624,-0.00712680070230936,0.014548938824223095,0.0036847029512215392,2.1813036718411767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898.4214898431029,0.0,0.0,0.0,
0.1225,2.184105930397881,2.172889601893029,2.1869766940326434,-0.007127035685004168,0.014549672502261815,0.0036848849133200657,2.1813240754411845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1048.1756844538231,0.0,0.0,0.0,
0.14,2.1841296196453843,2.1729127721244796,2.1870004660445312,-0.007127306839414859,0.014550519127756689,0.003685094884917629,2.1813476192714654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1197.9378556025158,0.0,0.0,0.0,
0.1575,2.1841564690362043,2.1729390332605365,2.187027409261783,-0.007127614174344647,0.014551478732396896,0.003685332872586605,2.181374303852841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1347.7091437383906,0.0,0.0,0.0,
0.175,2.184186479161931,2.1729683858790816,2.187057524286061,-0.007127957699773232,0.014552551352105403,0.0036855988837770776,2.181404129775691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1497.4906896884233,0.0,0.0,0.0,
0.1925,2.184219650683897,2.173000830626102,2.1870908117899446,-0.007128337426857397,0.014553737027042263,0.0036858929268176873,2.1814370976999817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647.2836347046882,0.0,0.0,0.0,
0.21,2.1842559843332006,2.17303636821577,2.18712727251698,-0.007128753367932318,0.014555035801608027,0.0036862150109160203,2.181473208355317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1797.0891205117969,0.0,0.0,0.0,
0.2275,2.184295480910782,2.173074999430442,2.187166907281722,-0.007129205536512716,0.01455644772444771,0.0036865651461594467,2.181512462540982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1946.9082893543707,0.0,0.0,0.0,
0.245,2.184338141287454,2.173116725120753,2.187209716969819,-0.007129693947293994,0.0145579728484551,0.0036869433435159243,2.1815548611260085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2096.7422840445574,0.0,0.0,0.0,
0.2625,2.184383966403958,2.173161546205662,2.1872557025380526,-0.007130218616153832,0.014559611230777968,0.003687349614834827,2.1816004050492244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2246.59224800966,0.0,0.0,0.0,
0.28,2.1844329572710617,2.173209463672504,2.1873048650143927,-0.007130779560153718,0.014561362932822121,0.00368778397284774,2.1816490953193193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2396.4593253398257,0.0,0.0,0.0,
0.2975,2.184485114969589,2.173260478577066,2.1873572054981025,-0.007131376797540367,0.014563228020258157,0.0036882464311696023,2.1817009330149193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2546.3446608357667,0.0,0.0,0.0,
0.315,2.1845404406505136,2.1733145920436603,2.1874127251597786,-0.007132010347747721,0.014565206563026253,0.0036887370042996788,2.1817559192846505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2696.249400056661,0.0,0.0,0.0,
0.3325,2.184598935535023,2.173371805265199,2.187471425241459,-0.007132680231398541,0.014567298635343182,0.003689255707622695,2.181814055347227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2846.1746893680324,0.0,0.0,0.0,
0.3501,2.184660962401127,2.1734324730692682,2.187533669812301,-0.007133390610466923,0.0145695172462026,0.0036898057631765398,2.1818757017608985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2996.978580465195,0.0,0.0,0.0,
0.3676,2.184725817766658,2.1734959073859077,2.187598752939608,-0.007134133435583368,0.01457183726731402,0.0036903809375735557,2.181940159364058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3146.948546366198,0.0,0.0,0.0,
0.3851,2.184793846429927,2.1735624454568576,2.187667020651004,-0.007134912663307882,0.014574271066860264,0.0036909842937484206,2.1820077708459293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3296.942513342479,0.0,0.0,0.0,
0.4026,2.184865049894308,2.173632088750701,2.1877384744755783,-0.007135728319046803,0.014576818736257944,0.003691615850645419,2.1820785377068623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3446.961631472363,0.0,0.0,0.0,
0.4201,2.1849394297338325,2.1737048388050555,2.187813116014301,-0.007136580429406855,0.014579480371237274,0.00369227562810089,2.1821524615177297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3597.0070518822095,0.0,0.0,0.0,
0.4376,2.1850169875933405,2.17378069722671,2.18789094694018,-0.007137469022197088,0.014582256071850335,0.003692963646844937,2.182229543920077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3747.0799267948896,0.0,0.0,0.0,
0.4551,2.185097725188567,2.1738596656917206,2.1879719689983523,-0.007138394126432077,0.014585145942480253,0.0036936799285027747,2.182309786626213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3897.1814095786667,0.0,0.0,0.0,
0.4726,2.185181644306269,2.1739417459455304,2.18805618400622,-0.007139355772334213,0.014588150091850284,0.0036944244955967103,2.1823931914193397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4047.31265479596,0.0,0.0,0.0,
0.4901,2.1852687468043372,2.1740269398030883,2.1881435938535603,-0.0071403539913371126,0.014591268633033996,0.0036951973715475574,2.182479760153662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4197.4748182525245,0.0,0.0,0.0,
0.5076,2.185359034611944,2.1741152491489726,2.1882342005026736,-0.007141388816088216,0.01459450168346513,0.003695998580676872,2.18256949475453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4347.669057046524,0.0,0.0,0.0,
0.5251,2.1854525097296333,2.1742066759375156,2.1883280059885064,-0.007142460280452336,0.014597849364948345,0.00369682814820835,2.182662397218552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4497.896529617992,0.0,0.0,0.0,
0.5426,2.185549174229495,2.1743012221929545,2.1884250124187914,-0.007143568419514668,0.014601311803670053,0.003697686100270262,2.1827584696137468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4648.158395798282,0.0,0.0,0.0,
0.5601,2.185649030255319,2.174398890009553,2.1885252219742193,-0.007144713269584266,0.014604889130209813,0.0036985724638971666,2.182857714079697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4798.45581685978,0.0,0.0,0.0,
0.5776,2.1857520800226533,2.1744996815517506,2.188628636908563,-0.007145894868197573,0.014608581479552065,0.0036994872670321724,2.1829601328276556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4948.7899555657705,0.0,0.0,0.0,
0.5951,2.1858583258190842,2.17460359905431,2.1887352595488188,-0.007147113254122126,0.014612388991098657,0.0037004305385289937,2.183065728140738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5099.161976220528,0.0,0.0,0.0,
0.6126,2.1859677700042806,2.1747106448224853,2.188845092295442,-0.007148368467360208,0.01461631180868067,0.0037014023081544,2.183174502374069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5249.573044719503,0.0,0.0,0.0,
0.6301,2.1860804150102187,2.1748208212321583,2.188958137622432,-0.007149660549152768,0.014620350080572317,0.0037024026065903613,2.1832864579549365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.024328599785,0.0,0.0,0.0,
0.6476,2.186196263341329,2.174934130730027,2.189074398077545,-0.00715098954198358,0.014624503959503862,0.003703431465436477,2.183401597382967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5550.516997090803,0.0,0.0,0.0,
0.6651,2.1863153175746657,2.175050575833733,2.1891938762824728,-0.007152355489583253,0.0146287736026752,0.0037044889172125417,2.1835199232302904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5701.0522211651305,0.0,0.0,0.0,
0.6826,2.18643758036008,2.175170159132109,2.1893165749330086,-0.0071537584369333615,0.014633159171770776,0.003705574995361025,2.183641438141733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5851.631173589501,0.0,0.0,0.0,
0.7001,2.186563054420419,2.175292883285275,2.1894424967992716,-0.007155198430271271,0.014637660832973744,0.0037066897342496767,2.1837661448349883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6002.255028976281,0.0,0.0,0.0,
0.7176,2.1866917425516945,2.1754187510248766,2.1895716447258344,-0.00715667551709428,0.014642278756981245,0.003707833169174212,2.183894046100802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6152.924963834845,0.0,0.0,0.0,
0.7351,2.1868236476232785,2.1755477651542554,2.189704021632009,-0.007158189746164426,0.014647013119019675,0.0037090053363612353,2.184025144803181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6303.642156623398,0.0,0.0,0.0,
0.7526,2.1869587725781074,2.1756799285486625,2.1898396305119805,-0.007159741167513297,0.01465186409886129,0.003710206272970891,2.1841594438795835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6454.407787801,0.0,0.0,0.0,
0.7701,2.1870971204328833,2.175815244155415,2.189978474435061,-0.0071613298324468555,0.014656831880839728,0.0037114360170998778,2.18429694634112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6605.223039879791,0.0,0.0,0.0,
0.7876,2.18723869427827,2.1759537149941535,2.1901205565458706,-0.007162955793550591,0.01466191665386715,0.0037126946077844633,2.184437655272765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6756.089097477547,0.0,0.0,0.0,
0.8051,2.1873834972791197,2.1760953441570154,2.190265880064599,-0.007164619104694753,0.014667118611451863,0.003713982085003579,2.184581573833578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6907.0071473705,0.0,0.0,0.0,
0.8226,2.187531532674698,2.176240134808867,2.1904144482871946,-0.007166319821039531,0.014672437951715389,0.0037152984896818815,2.1847287052569198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7057.978378546323,0.0,0.0,0.0,
0.8401,2.1876828037788734,2.1763880901875265,2.1905662645856285,-0.007168057999040605,0.014677874877410851,0.0037166438636930905,2.184879052850676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7209.00398225752,0.0,0.0,0.0,
0.8576,2.187837313980386,2.1765392136039674,2.1907213324081214,-0.007169833696454644,0.014683429595941778,0.003718018249863225,2.1850326199974917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7360.085152074998,0.0,0.0,0.0,
0.8751,2.1879950667430625,2.1766935084425905,2.1908796552793603,-0.007171646972345278,0.014689102319380793,0.003719421691974184,2.1851894101550045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7511.223083942118,0.0,0.0,0.0,
