energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.6496174154176986,3.6496174154176986,3.6496174154176986,0.0,0.0,0.0,3.649617415417699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8916000000000004
0.015,3.6496333550317277,3.6496333550317277,3.6496333550317277,0.0,0.0,0.0,3.6496333550317277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.03,3.6496811757377894,3.6496811757377894,3.6496811757377894,0.0,0.0,0.0,3.6496811757377894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.045,3.6497608831283306,3.6497608831283306,3.6497608831283306,0.0,0.0,0.0,3.6497608831283306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0601,3.6498733376051624,3.6498733376051624,3.6498733376051624,0.0,0.0,0.0,3.6498733376051624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0751,3.65001706284719,3.65001706284719,3.65001706284719,0.0,0.0,0.0,3.65001706284719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0901,3.650192714074271,3.650192714074271,3.650192714074271,0.0,0.0,0.0,3.650192714074271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1051,3.6504003118520574,3.6504003118520574,3.6504003118520574,0.0,0.0,0.0,3.650400311852058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1201,3.650639880498881,3.650639880498881,3.650639880498881,0.0,0.0,0.0,3.650639880498881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1351,3.650911448094333,3.650911448094333,3.650911448094333,0.0,0.0,0.0,3.6509114480943325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1501,3.651215046489818,3.651215046489818,3.651215046489818,0.0,0.0,0.0,3.6512150464898183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1652,3.651553056772738,3.651553056772738,3.651553056772738,0.0,0.0,0.0,3.651553056772738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1802,3.651921041649083,3.651921041649083,3.651921041649083,0.0,0.0,0.0,3.6519210416490835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1952,3.6523211759349556,3.6523211759349556,3.6523211759349556,0.0,0.0,0.0,3.6523211759349556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2102,3.6527535067251984,3.6527535067251984,3.6527535067251984,0.0,0.0,0.0,3.652753506725199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2252,3.6532180849591827,3.6532180849591827,3.6532180849591827,0.0,0.0,0.0,3.653218084959183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2402,3.653714965439624,3.653714965439624,3.653714965439624,0.0,0.0,0.0,3.653714965439624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2552,3.654244206852894,3.654244206852894,3.654244206852894,0.0,0.0,0.0,3.654244206852894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2703,3.6548097251698164,3.6548097251698164,3.6548097251698164,0.0,0.0,0.0,3.6548097251698164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2853,3.655404096985428,3.655404096985428,3.655404096985428,0.0,0.0,0.0,3.655404096985428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3003,3.6560310298037715,3.6560310298037715,3.6560310298037715,0.0,0.0,0.0,3.656031029803772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3153,3.656690598105723,3.656690598105723,3.656690598105723,0.0,0.0,0.0,3.656690598105723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3303,3.6573828803803057,3.6573828803803057,3.6573828803803057,0.0,0.0,0.0,3.6573828803803057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3453,3.658107959154172,3.658107959154172,3.658107959154172,0.0,0.0,0.0,3.658107959154172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3603,3.6588659210228553,3.6588659210228553,3.6588659210228553,0.0,0.0,0.0,3.6588659210228553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3754,3.6596622404438026,3.6596622404438026,3.6596622404438026,0.0,0.0,0.0,3.6596622404438026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3904,3.6604864655145692,3.6604864655145692,3.6604864655145692,0.0,0.0,0.0,3.6604864655145692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4054,3.661343858889919,3.661343858889919,3.661343858889919,0.0,0.0,0.0,3.661343858889919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4204,3.6622345238134493,3.6622345238134493,3.6622345238134493,0.0,0.0,0.0,3.6622345238134493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4354,3.6631585677787606,3.6631585677787606,3.6631585677787606,0.0,0.0,0.0,3.6631585677787606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4504,3.6641161025707727,3.6641161025707727,3.6641161025707727,0.0,0.0,0.0,3.6641161025707727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4654,3.6651072443090507,3.6651072443090507,3.6651072443090507,0.0,0.0,0.0,3.6651072443090507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4805,3.666139059406307,3.666139059406307,3.666139059406307,0.0,0.0,0.0,3.666139059406307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4955,3.6671980070732983,3.6671980070732983,3.6671980070732983,0.0,0.0,0.0,3.667198007073298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5105,3.668290937391212,3.668290937391212,3.668290937391212,0.0,0.0,0.0,3.668290937391212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
