energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.4880252702005556,2.4935261368439017,2.5175441839720474,0.0,0.0,0.0,2.499698530338835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1608
0.0163,2.4880282335520207,2.49352915493255,2.5175473491592664,0.0,0.0,0.0,2.4997015792146127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0326,2.4880371237229255,2.493538209319871,2.517556844853777,0.0,0.0,0.0,2.4997107259655245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.049,2.4880520502609524,2.4935534115851663,2.517572788090183,0.0,0.0,0.0,2.4997260833121007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0653,2.4880728317215635,2.4935745769456465,2.5175949851073014,0.0,0.0,0.0,2.4997474645915037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0816,2.4880995417556457,2.4936017804313853,2.5176235146312926,0.0,0.0,0.0,2.499774945606108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0979,2.4881321814138824,2.493635023136507,2.5176583778599224,0.0,0.0,0.0,2.4998085274701043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1143,2.488171006917214,2.4936745660460446,2.517699848563759,0.0,0.0,0.0,2.499848473842339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1306,2.488215546310136,2.493719928518785,2.517747422742514,0.0,0.0,0.0,2.4998942991904785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1469,2.4882660198920874,2.4937713349647517,2.5178013358301823,0.0,0.0,0.0,2.499946230229007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
