energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.4692439174698384,2.4692439174698384,2.5796259409269418,0.0,0.0,0.0,2.5060379252888727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.067
0.0167,2.4692467476877837,2.4692467476877837,2.5796293050583374,0.0,0.0,0.0,2.5060409334779683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0335,2.4692553063519016,2.4692553063519016,2.5796394783035312,0.0,0.0,0.0,2.506050030335778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0502,2.4692694919282987,2.4692694919282987,2.579656340006353,0.0,0.0,0.0,2.5060651079543166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.067,2.4692894749007874,2.4692894749007874,2.5796800928662345,0.0,0.0,0.0,2.5060863475559363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0837,2.4693150182057693,2.4693150182057693,2.579710455171014,0.0,0.0,0.0,2.506113497194184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1005,2.469346428825707,2.469346428825707,2.579747791915155,0.0,0.0,0.0,2.5061468831888565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1172,2.4693833341280493,2.4693833341280493,2.5797916602802404,0.0,0.0,0.0,2.506186109512113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.134,2.469426177645645,2.469426177645645,2.5798425876219415,0.0,0.0,0.0,2.506231647637744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1507,2.4694744511151843,2.4694744511151843,2.579899969936632,0.0,0.0,0.0,2.506282957389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1675,2.469528734694711,2.469528734694711,2.5799644970368476,0.0,0.0,0.0,2.506340655475423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1842,2.469588384405906,2.469588384405906,2.580035403626059,0.0,0.0,0.0,2.5064040574792905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.201,2.469654117129827,2.469654117129827,2.580113542098828,0.0,0.0,0.0,2.5064739254528274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2177,2.469725153066303,2.469725153066303,2.5801979857291366,0.0,0.0,0.0,2.506549430620581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2345,2.4698023459404195,2.4698023459404195,2.580289749648351,0.0,0.0,0.0,2.50663148050973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2512,2.469884780000691,2.469884780000691,2.580387745535508,0.0,0.0,0.0,2.50671910184563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.268,2.4699734459604548,2.4699734459604548,2.5804931514432266,0.0,0.0,0.0,2.506813347788045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2847,2.4700672919647317,2.4700672919647317,2.5806047172610893,0.0,0.0,0.0,2.506913100396851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3015,2.4701674458826144,2.4701674458826144,2.58072378417729,0.0,0.0,0.0,2.507019558647506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3182,2.4702727195807075,2.4702727195807075,2.5808489400682886,0.0,0.0,0.0,2.5071314597432344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.335,2.470384378274719,2.470384378274719,2.5809816895020377,0.0,0.0,0.0,2.5072501486838252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3517,2.470501097355041,2.470501097355041,2.581120458089022,0.0,0.0,0.0,2.5073742175997014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
