energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.761398238597913,2.7333365975444117,2.7503306004065777,0.0,0.0,0.021595635700873028,2.748355145516301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.151199999999999
0.0169,2.761402850630409,2.733340997299324,2.750334984025729,0.0,0.0,0.021595833137638774,2.748359610651821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0338,2.7614166870221,2.7333541968263706,2.7503481351308654,0.0,0.0,0.02159642547242417,2.7483730063264455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0508,2.7614399125727767,2.7333763532842372,2.750370210262567,0.0,0.0,0.021597419796439712,2.7483954920398603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0677,2.761472255521053,2.7334072073286464,2.750400950959703,0.0,0.0,0.021598804534987144,2.748426804603134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0846,2.7615138272569046,2.7334468650937556,2.750440462871028,0.0,0.0,0.021600584540198333,2.748467051740563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1015,2.7615646304337567,2.733495328945418,2.7504887482303104,0.0,0.0,0.02160276003299729,2.7485162358698285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1185,2.7616250510394087,2.733552966890926,2.75054617353508,0.0,0.0,0.021605347676404374,2.7485747304884716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1354,2.7616943820984723,2.7336191042740148,2.750612066438696,0.0,0.0,0.021608317348643866,2.748641850937061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1523,2.761772956131131,2.7336940580256788,2.7506867424977512,0.0,0.0,0.02161168346899789,2.7487179188848536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1692,2.761860778160351,2.7337778326238222,2.7507702059396935,0.0,0.0,0.021615446455981395,2.7488029389079554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1862,2.7619584557669494,2.7338710072847885,2.7508630335587334,0.0,0.0,0.021619632578531934,2.748897498870157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2031,2.7620648460477093,2.733972491402984,2.750964138520361,0.0,0.0,0.021624193108774125,2.7490004919903512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.22,2.7621805030065687,2.7340828130203914,2.751074046584838,0.0,0.0,0.021629152063083322,2.749112454203933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2369,2.7623054340554622,2.7342019787432417,2.7511927639878033,0.0,0.0,0.02163451005975907,2.7492333922621692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2538,2.762439647206863,2.734329995712499,2.7513202974692392,0.0,0.0,0.02164026776743946,2.749363313462867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2708,2.762584027879036,2.734467707903006,2.751457487394142,0.0,0.0,0.021646463537226882,2.7495030743920617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2877,2.7627368867426014,2.734613503428947,2.751602727556335,0.0,0.0,0.021653025251654846,2.7496510392426274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3046,2.7628990554292607,2.7347681749028507,2.751756807108634,0.0,0.0,0.021659988992319752,2.749808012480248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3215,2.7630705443781265,2.7349317316252932,2.7519197348270934,0.0,0.0,0.02166735563188184,2.749974003610171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3385,2.7632524623761325,2.735105230358876,2.7520925628606214,0.0,0.0,0.021675173277408578,2.7501500851985434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3554,2.7634426809363015,2.735286640385997,2.75227326779167,0.0,0.0,0.02168335093775693,2.750334196371323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3723,2.763642254832111,2.735476966903523,2.7524628503641457,0.0,0.0,0.021691934432117404,2.750527357366593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3892,2.763851196970316,2.7356762214057904,2.752661321420559,0.0,0.0,0.02170092484180343,2.7507295799322216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4062,2.764070840687542,2.7358856744924482,2.752869945881811,0.0,0.0,0.02171038012998394,2.750942153687267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4231,2.7642986161690795,2.736102874678339,2.753086281290616,0.0,0.0,0.021720190251573825,2.7511625907126778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.44,2.764535802457698,2.7363290407462024,2.7533115409247437,0.0,0.0,0.02173041085912522,2.7513921280428817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4569,2.764782414978989,2.7365641864265715,2.753545737731038,0.0,0.0,0.021741043248390293,2.7516307797121993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4738,2.765038469796497,2.7368083260158595,2.7537888851884023,0.0,0.0,0.021752088769696015,2.7518785603335867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4908,2.7653055828884954,2.737062999140303,2.754042515806882,0.0,0.0,0.021763617875974688,2.7521370326118935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5077,2.765580629187306,2.7373252251617224,2.7543036603224254,0.0,0.0,0.021775496398920388,2.7524031715571518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5246,2.765865169950365,2.737596491507026,2.754573799239667,0.0,0.0,0.021787792446125973,2.7526784868990197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5415,2.7661592238389088,2.737876814774301,2.7548529482000825,0.0,0.0,0.021800507591304325,2.752962995604431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5585,2.766464634951671,2.73816795159647,2.7551428554679145,0.0,0.0,0.021813722447746063,2.7532584806720184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5754,2.7667778303031567,2.7384664946940687,2.7554401271952638,0.0,0.0,0.021827283243443598,2.753561484064163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5923,2.7671005988668185,2.7387741481386714,2.7557464592981358,0.0,0.0,0.021841268213357287,2.753873735434542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6092,2.7674329619773372,2.7390909308928153,2.756061869636424,0.0,0.0,0.021855679163214188,2.754195254168859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6262,2.767776993862914,2.7394188183774824,2.756388323903219,0.0,0.0,0.021870607038792886,2.7545280453812055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6431,2.76812866990526,2.7397539733638414,2.7567220005466027,0.0,0.0,0.021885878152938854,2.754868214605235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.66,2.7684900087454514,2.740098318298318,2.757064812520401,0.0,0.0,0.021901581035312864,2.7552177131880566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6769,2.768861034479448,2.7404518745806845,2.7574167799675164,0.0,0.0,0.02191771773369128,2.755576563009216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6938,2.7692417719077227,2.7408146642316424,2.757777923611906,0.0,0.0,0.02193429035801431,2.755944786583757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7108,2.7696345860730966,2.7411889389445987,2.758150483546988,0.0,0.0,0.02195140304453391,2.756324669521561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7277,2.770034881993177,2.741570318883312,2.7585300987250925,0.0,0.0,0.021968856715282984,2.75671176653386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7446,2.7704449684633627,2.741961002176355,2.7589189559420015,0.0,0.0,0.021986753036153477,2.7571083088605732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7615,2.77086487317337,2.742361013387434,2.7593170782985865,0.0,0.0,0.022005094373825435,2.7575143216197966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7785,2.7712971968218,2.742772827890847,2.759726927911859,0.0,0.0,0.0220239956739734,2.7579323175415014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7954,2.7717368825698743,2.7431916268087555,2.760143707462893,0.0,0.0,0.022043237080757155,2.758357405613841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8123,2.7721864742715328,2.7436198314171993,2.7605698252666664,0.0,0.0,0.022062931020208735,2.7587920436517996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8292,2.77264600262393,2.744057468920335,2.761005306887511,0.0,0.0,0.022083080129388574,2.759236259477259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8462,2.7731183069106224,2.7445072409626468,2.7614528388945674,0.0,0.0,0.022103810418192652,2.7596927955892787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8631,2.7735978630198153,2.7449638848142346,2.761907183169728,0.0,0.0,0.022124880792522006,2.7601563103345925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.88,2.7740874527294865,2.745430047431392,2.762370971922855,0.0,0.0,0.022146414687860983,2.7606294906945776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8969,2.7745871098778547,2.7459057587688007,2.7628442332792287,0.0,0.0,0.02216841502713942,2.761112367308628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9138,2.775096869110049,2.746391049486464,2.7633269960199303,0.0,0.0,0.022190884807298385,2.7616049715388145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9308,2.7756198724419416,2.746888908034646,2.7638222309928056,0.0,0.0,0.022213964266094285,2.7621103371564644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9477,2.776150003362832,2.747393509509168,2.764324142168766,0.0,0.0,0.02223738504462538,2.7626225516802556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9646,2.776690345463969,2.7479077868526427,2.764835645262827,0.0,0.0,0.02226128472966474,2.76314459252648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9815,2.77724093672214,2.748431773632202,2.765356771755692,0.0,0.0,0.022285666626260775,2.763676494036678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9985,2.7778051654808245,2.748968691398801,2.765890723344183,0.0,0.0,0.02231068271642235,2.7642215267412698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0154,2.7783764336571286,2.749512258719066,2.766431251284004,0.0,0.0,0.02233604217690916,2.7647733145533997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0323,2.778958070356391,2.7500656409116573,2.7669815014558004,0.0,0.0,0.02236189427058448,2.7653350709079496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0492,2.7795501170606647,2.75062887459321,2.7675415081656602,0.0,0.0,0.022388242630977884,2.765906833273178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0662,2.780156212432778,2.7512054179292367,2.768114707245009,0.0,0.0,0.022415251338573316,2.7664921125356745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0831,2.7807692694588884,2.7517885264453597,2.7686943911222515,0.0,0.0,0.02244260646886296,2.767084062342166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1,2.7813928666775505,2.7523816012863285,2.769283939069612,0.0,0.0,0.022470469308522638,2.7676861356778297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
