energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.533975190336972,2.6821600806809336,2.593935146411825,0.0,0.0,0.0,2.60335680580991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4795
0.0235,2.5339804686826417,2.682166254889596,2.5939408012494205,0.0,0.0,0.0,2.6033625082738863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0469,2.533996214284418,2.682184672895821,2.5939576699507247,0.0,0.0,0.0,2.6033795190436546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0704,2.5340225626650916,2.682215493208044,2.593985897713867,0.0,0.0,0.0,2.603407984529001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0939,2.5340594705782262,2.682258665213424,2.5940254382224675,0.0,0.0,0.0,2.603447858004706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1173,2.5341067158592017,2.68231392900448,2.594076053485539,0.0,0.0,0.0,2.60349889944974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1408,2.534164705150295,2.682381760191631,2.594138179177378,0.0,0.0,0.0,2.603561548173101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1642,2.5342329483733628,2.6824615854631744,2.5942112902944494,0.0,0.0,0.0,2.603635274710329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1877,2.5343120329027373,2.6825540918120234,2.5942960161475552,0.0,0.0,0.0,2.603720713620772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2112,2.534401694336661,2.6826589698825773,2.5943920735190913,0.0,0.0,0.0,2.6038175792461096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2346,2.5345014890629414,2.682775700687343,2.594498987201023,0.0,0.0,0.0,2.603925392317102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2581,2.5346122760277954,2.6829052888419094,2.5946176774691048,0.0,0.0,0.0,2.604045080779603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2816,2.5347336579361883,2.683047269512842,2.594747718749074,0.0,0.0,0.0,2.6041762153993684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.305,2.534865057979173,2.6832009678846416,2.5948884931482628,0.0,0.0,0.0,2.604318173004026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3285,2.535007607144583,2.6833677067362074,2.595041212414939,0.0,0.0,0.0,2.60447217543191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3519,2.5351601007492555,2.683546076811263,2.595204585997185,0.0,0.0,0.0,2.604636921185901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3754,2.5353238513477594,2.683737613231771,2.5953800201816213,0.0,0.0,0.0,2.604813828253717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3989,2.5354982397250936,2.6839415915362155,2.5955668516662183,0.0,0.0,0.0,2.605002227642509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4223,2.5356824664317603,2.6841570764499028,2.5957642240517886,0.0,0.0,0.0,2.605201255644484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4458,2.5358781171794473,2.684385922541547,2.595973836302746,0.0,0.0,0.0,2.605412625341247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4693,2.536084439152552,2.684627249053218,2.596194881995803,0.0,0.0,0.0,2.605635523400524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4927,2.5363004987383273,2.6848799637649936,2.5964263610025204,0.0,0.0,0.0,2.605868941168614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5162,2.5365281556766903,2.6851462416942686,2.5966702659062473,0.0,0.0,0.0,2.606114887759069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5396,2.5367654861156685,2.685423832371668,2.596924535674394,0.0,0.0,0.0,2.6063712847205767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5631,2.5370145329097324,2.6857151249379876,2.5971913591010267,0.0,0.0,0.0,2.6066403389829156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5866,2.537274319727376,2.68601897716091,2.5974696903099685,0.0,0.0,0.0,2.6069209957327515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.61,2.5375436882826827,2.686334034012135,2.5977582884693247,0.0,0.0,0.0,2.6072120035880473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6335,2.537824957250332,2.6866630071415125,2.5980596379282463,0.0,0.0,0.0,2.6075158674400303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.657,2.5381170154874253,2.6870045966200564,2.5983725483805604,0.0,0.0,0.0,2.6078313868293477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6804,2.5384185690683454,2.6873572887683643,2.598695633669329,0.0,0.0,0.0,2.608157163835346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7039,2.538732213770889,2.68772411921963,2.599031675084725,0.0,0.0,0.0,2.6084960026917483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7273,2.5390552992456517,2.688101987836361,2.599377833193427,0.0,0.0,0.0,2.608845040091813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7508,2.539390606664549,2.688494146994696,2.599737087959063,0.0,0.0,0.0,2.609207280539436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7743,2.5397367989238115,2.688899032464906,2.600108006979955,0.0,0.0,0.0,2.6095812794562243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7977,2.540092354529657,2.689314864415758,2.6004889602668313,0.0,0.0,0.0,2.6099653930707487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8212,2.5404603342471077,2.689745222066673,2.6008832274144096,0.0,0.0,0.0,2.6103629279093967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8447,2.5408392644333397,2.690188381494852,2.6012892297236814,0.0,0.0,0.0,2.6107722918839578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8681,2.5412274859518127,2.6906424019057456,2.601705189715538,0.0,0.0,0.0,2.6111916925243652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8916,2.541628340870904,2.6911111913250148,2.6021346884632695,0.0,0.0,0.0,2.6116247402197295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9151,2.5420402182236383,2.691592865230267,2.6025760001220526,0.0,0.0,0.0,2.6120696945253195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9385,2.542461320339192,2.6920853208352553,2.6030271987594786,0.0,0.0,0.0,2.6125246133113085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.962,2.5428952724649276,2.692592797123521,2.6034921689535016,0.0,0.0,0.0,2.6129934128473167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9854,2.543338408048478,2.693111005761605,2.6039669823092257,0.0,0.0,0.0,2.6134721320397696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0089,2.5437945421131403,2.693644407503699,2.6044557268114685,0.0,0.0,0.0,2.613964892142769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0324,2.54426183293094,2.6941908479842245,2.6049564293320246,0.0,0.0,0.0,2.61446970341573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0558,2.544738249811702,2.694747951977642,2.6054669142151106,0.0,0.0,0.0,2.614984372001485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0793,2.54522789445919,2.6953205152095294,2.6059915767324098,0.0,0.0,0.0,2.6155133288003762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1028,2.545728785349821,2.6959062198633106,2.6065282939389425,0.0,0.0,0.0,2.6160544330506914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1262,2.546238750493326,2.6965025255344393,2.60707473873682,0.0,0.0,0.0,2.6166053382548617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1497,2.5467621806074168,2.697114565592126,2.607635616204885,0.0,0.0,0.0,2.6171707874681425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1731,2.547294653593595,2.697737168585438,2.608206188159094,0.0,0.0,0.0,2.6177460034460425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1966,2.5478407540918875,2.698375694402377,2.608791367563529,0.0,0.0,0.0,2.6183359386859313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2201,2.548398265227968,2.6990275500915617,2.609388779229855,0.0,0.0,0.0,2.618938198183128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2435,2.5489647768974617,2.6996899169426456,2.6099958408317034,0.0,0.0,0.0,2.6195501782239368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.267,2.549545167042157,2.700368497392485,2.610617779771057,0.0,0.0,0.0,2.6201771480685663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2905,2.550137075946946,2.701060531530583,2.611252067752215,0.0,0.0,0.0,2.620816558409915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3139,2.550737948849519,2.70176303160431,2.611895967378634,0.0,0.0,0.0,2.621465649277488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3374,2.5513529598143165,2.702482045822939,2.6125550235364248,0.0,0.0,0.0,2.62213000972456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3608,2.5519769137085015,2.703211499530087,2.6132236693592836,0.0,0.0,0.0,2.622804027532624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3843,2.552615183531451,2.7039576731817174,2.6139076630316183,0.0,0.0,0.0,2.6234935065815956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4078,2.5532651686434136,2.7047175253166986,2.6146042179916167,0.0,0.0,0.0,2.6241956373172433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
