energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.5671295715097626,2.5840305534242898,2.5616320601385727,0.0,0.0,0.008301827234833234,2.5709307283575416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3286
0.0161,2.567133954384589,2.584035106730279,2.5616365745891545,0.0,0.0,0.008301849945922084,2.570935211901341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0321,2.567146994533196,2.5840486539591367,2.561650006215543,0.0,0.0,0.008301917518900359,2.570948551569292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0482,2.5671688557017696,2.5840713652393603,2.5616725237009463,0.0,0.0,0.008302030807757576,2.570970914880692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0642,2.567199267553047,2.584102959745623,2.561703848626994,0.0,0.0,0.008302188420592585,2.571002025308555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0803,2.5672386119714528,2.5841438342477403,2.561744374393146,0.0,0.0,0.008302392349329306,2.5710422735374463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0964,2.567286728358634,2.584193821946882,2.561793935643291,0.0,0.0,0.008302641778193705,2.571091495316269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1124,2.567343239011173,2.5842525305036785,2.5618521434084007,0.0,0.0,0.008302934768928738,2.5711493043077507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1285,2.5674088535405923,2.584320697193455,2.561919728702759,0.0,0.0,0.008303275024418362,2.5712164264789354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1445,2.56748276055497,2.5843974791379005,2.561995855869047,0.0,0.0,0.008303658364263788,2.5712920318539725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1606,2.567565888116701,2.5844838405847064,2.562081480968765,0.0,0.0,0.008304089633258379,2.5713770698900578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1767,2.5676578063318596,2.584579335012862,2.562176161330229,0.0,0.0,0.008304566636916023,2.5714711008916504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1927,2.5677578677413146,2.58468328987364,2.5622792301817614,0.0,0.0,0.008305086052531316,2.5715734625989053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2088,2.5678673288392826,2.5847970106665588,2.5623919819457748,0.0,0.0,0.008305654444828375,2.571685440483872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2248,2.5679848360376614,2.584919091251793,2.562513022517897,0.0,0.0,0.00830626483078276,2.5718056499357838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2409,2.5681118649082166,2.585051064764878,2.562643872031126,0.0,0.0,0.008306924925013682,2.5719356005680734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.257,2.5682477156649464,2.5851922043312716,2.562783809867055,0.0,0.0,0.008307631147094718,2.572074576621091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.273,2.5683914701873514,2.5853415562341233,2.562931890493009,0.0,0.0,0.0083083787787644,2.5722216389714947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2891,2.568544933657167,2.5855009961085456,2.5630899736502384,0.0,0.0,0.008309177269612876,2.5723786344719834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3051,2.5687062083820527,2.585668552533037,2.56325610476781,0.0,0.0,0.008310016810308149,2.5725436218942996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3212,2.5688773195646686,2.58584632977784,2.563432370296435,0.0,0.0,0.00831090801240382,2.572718673212981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3373,2.569057296552596,2.5860333195834575,2.563617770639865,0.0,0.0,0.00831184589766616,2.572902795591973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3533,2.569244949277159,2.5862282857026724,2.563811080142598,0.0,0.0,0.008312824336446511,2.5730947717074764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3694,2.5694426342078476,2.5864336766600586,2.564014726617728,0.0,0.0,0.008313855696515122,2.5732970124952117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3854,2.5696479068651286,2.5866469529117855,2.564226192188083,0.0,0.0,0.00831492730879075,2.5735070173216656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4015,2.569863345003946,2.5868707929568453,2.5644481327150412,0.0,0.0,0.008316052719266621,2.5737274235586107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4176,2.570087705749025,2.5871039057148875,2.5646792681891553,0.0,0.0,0.00831722553529576,2.573956959884356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4336,2.5703195254098925,2.587344770636493,2.564918091060842,0.0,0.0,0.008318438195152872,2.574194129035743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4497,2.570561715151319,2.5875964127447144,2.565167600822875,0.0,0.0,0.008319706028691075,2.5744419095729696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4657,2.570811280236984,2.5878557206996797,2.5654247126193215,0.0,0.0,0.00832101346358739,2.574697237851995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4818,2.5710713547084643,2.588125951184421,2.565692655676223,0.0,0.0,0.008322377028517096,2.574963320523036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4979,2.5713404217233675,2.588405528451176,2.5659698677249794,0.0,0.0,0.008323788894933638,2.5752386059665078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5139,2.571616741901722,2.588692645459104,2.566254557133444,0.0,0.0,0.008325240043308799,2.5755213148314233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.53,2.571903785333841,2.588990908210548,2.5665502995533664,0.0,0.0,0.008326748820471576,2.575814997699252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
