energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.77021219774734,2.77021219774734,2.7523572558281195,0.0,0.0,0.0,2.7642605504409334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6282
0.0161,2.770217877362282,2.770217877362282,2.7523627700086353,0.0,0.0,0.0,2.7642661749110666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0322,2.77023491666751,2.77023491666751,2.7523793129710765,0.0,0.0,0.0,2.7642830487686987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0483,2.770263317044443,2.770263317044443,2.7524068859781377,0.0,0.0,0.0,2.7643111733556744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0643,2.7703027987390825,2.7703027987390825,2.7524452172970073,0.0,0.0,0.0,2.764350271591724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0804,2.770353858477924,2.770353858477924,2.752494788998998,0.0,0.0,0.0,2.764400835318282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0965,2.7704162889352775,2.7704162889352775,2.752555399563338,0.0,0.0,0.0,2.764462659144631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1126,2.7704900951774194,2.7704900951774194,2.7526270536206674,0.0,0.0,0.0,2.7645357479918355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1287,2.7705752831963486,2.7705752831963486,2.752709756647582,0.0,0.0,0.0,2.764620107680093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1448,2.770671859911475,2.770671859911475,2.752803514968087,0.0,0.0,0.0,2.7647157449303457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1608,2.7707791273396527,2.7707791273396527,2.7529076505364745,0.0,0.0,0.0,2.76482196840526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1769,2.7708984350561363,2.7708984350561363,2.753023473027624,0.0,0.0,0.0,2.7649401143799657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.193,2.771029157750239,2.771029157750239,2.7531503748299406,0.0,0.0,0.0,2.765069563443473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2091,2.771171306068399,2.771171306068399,2.753288365671762,0.0,0.0,0.0,2.7652103259361867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2252,2.7713248915974242,2.7713248915974242,2.7534374561400092,0.0,0.0,0.0,2.7653624131116192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2413,2.7714899268678748,2.7714899268678748,2.7535976576830836,0.0,0.0,0.0,2.765525837139611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2573,2.77166529368583,2.77166529368583,2.7537678841274587,0.0,0.0,0.0,2.7656994904997063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2734,2.771853198488474,2.771853198488474,2.75395027641412,0.0,0.0,0.0,2.7658855577970223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2895,2.772052596226837,2.772052596226837,2.754143819233305,0.0,0.0,0.0,2.7660830038956603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3056,2.772263503240513,2.772263503240513,2.75434852750851,0.0,0.0,0.0,2.766291844663179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3217,2.772485936834296,2.772485936834296,2.7545644170432872,0.0,0.0,0.0,2.7665120969039596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3378,2.7727199152832824,2.7727199152832824,2.7547915045255915,0.0,0.0,0.0,2.7667437783640523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3539,2.7729654578383984,2.7729654578383984,2.755029807532548,0.0,0.0,0.0,2.7669869077364484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3699,2.7732209518749373,2.7732209518749373,2.7552777599054035,0.0,0.0,0.0,2.767239887885093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.386,2.7734896121757435,2.7734896121757435,2.7555384803165657,0.0,0.0,0.0,2.7675059015560173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4021,2.773769900108541,2.773769900108541,2.7558104742411835,0.0,0.0,0.0,2.767783424819422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4182,2.774061838882118,2.774061838882118,2.756093762859849,0.0,0.0,0.0,2.7680724802080285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4343,2.7743654527130666,2.7743654527130666,2.756388368269938,0.0,0.0,0.0,2.7683730912320237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4504,2.7746807668331437,2.7746807668331437,2.756694313491869,0.0,0.0,0.0,2.768685282386052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4664,2.775005739941388,2.775005739941388,2.757009616490018,0.0,0.0,0.0,2.7690070321242644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4825,2.7753444613429226,2.7753444613429226,2.757338243307129,0.0,0.0,0.0,2.769342388664325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4986,2.7756949647193156,2.7756949647193156,2.757678284440432,0.0,0.0,0.0,2.7696894046263547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5147,2.776057279436861,2.776057279436861,2.7580297666660893,0.0,0.0,0.0,2.7700481085132704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5308,2.7764314359188855,2.7764314359188855,2.758392717719453,0.0,0.0,0.0,2.770418529852408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5469,2.7768174656552214,2.7768174656552214,2.758767166303226,0.0,0.0,0.0,2.7708006992045564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.563,2.7772154012120556,2.7772154012120556,2.759153142095865,0.0,0.0,0.0,2.7711946481733256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
