energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.1910312312824463,2.1795292415046754,2.1890805843965238,0.0,0.0,-0.0003266851718907134,2.1865470190612153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7305
0.0168,2.191032746774084,2.1795307222194378,2.1890820905986015,0.0,0.0,-0.000326673012596767,2.1865485198640413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.775806018032846,0.0,
0.0335,2.1910372572539485,2.1795351291937357,2.1890865734298934,0.0,0.0,-0.00032663682300123156,2.186552986625859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.36502335213448,0.0,
0.0503,2.1910448168436236,2.17954251530435,2.1890940866786868,0.0,0.0,-0.00032657616730944416,2.18656047294222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.13056920844843,0.0,
0.067,2.1910553357196765,2.1795527927844565,2.189104541069609,0.0,0.0,-0.000326491763668499,2.1865708898579137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.70279148615093,0.0,
0.0838,2.191068940098926,2.1795660849477305,2.1891180620420894,0.0,0.0,-0.000326382595690249,2.186584362362915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.44439882032623,0.0,
0.1006,2.191085576329029,2.179582339364528,2.18913459626801,0.0,0.0,-0.00032624908919030686,2.1866008373205226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.16884312672573,0.0,
0.1173,2.1911051187469632,2.1796014332456863,2.189154018849253,0.0,0.0,-0.00032609224702828443,2.186620190280634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.68997933635393,0.0,
0.1341,2.1911278018438454,2.179623595687998,2.189176562832282,0.0,0.0,-0.00032591018050867886,2.1866426534547085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.369889105081,0.0,
0.1508,2.191153356098172,2.1796485633423344,2.189201960340837,0.0,0.0,-0.00032570504524427976,2.186667959927114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.8399147222276,0.0,
0.1676,2.1911820881377477,2.1796766357817696,2.189230516113103,0.0,0.0,-0.0003254743709893195,2.186696413344207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.4615105216837,0.0,
0.1844,2.191213854632516,2.179707672948192,2.1892620876882303,0.0,0.0,-0.00032521929834864637,2.186727871756313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0486533931253,0.0,
0.2011,2.191248440180023,2.1797414643653683,2.189296460974921,0.0,0.0,-0.0003249415463869223,2.186762121840104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.41612916635773,0.0,
0.2179,2.1912862597757767,2.179778415478173,2.1893340484098314,0.0,0.0,-0.0003246377703945882,2.1867995745545934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.92413337086606,0.0,
0.2346,2.191326864046524,2.1798180872091635,2.1893744033653286,0.0,0.0,-0.0003243115669682884,2.1868397848736723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.2060040829889,0.0,
0.2514,2.1913707402074536,2.1798609555582953,2.189418010051029,0.0,0.0,-0.00032395900793165443,2.1868832352722594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.62088589604883,0.0,
0.2682,2.1914176551695617,2.17990679276181,2.189464636793762,0.0,0.0,-0.0003235819505270429,2.1869296949083776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.9837684343249,0.0,
0.2849,2.191467303668446,2.1799553005399996,2.189513980189127,0.0,0.0,-0.0003231828328211066,2.1869788614658576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.1108620654811,0.0,
0.3017,2.1915202814429033,2.180007060912624,2.189566632297732,0.0,0.0,-0.0003227568485722452,2.1870313248844195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.3594109499942,0.0,
0.3184,2.191575959011427,2.1800614588303064,2.189621967489506,0.0,0.0,-0.0003223090412365365,2.18708646177708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.3657644970915,0.0,
0.3352,2.1916350044571713,2.180119146986261,2.18968064972005,0.0,0.0,-0.0003218340182230957,2.187144933721161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.4856840866348,0.0,
0.352,2.19169709479989,2.180179809785379,2.1897423579743505,0.0,0.0,-0.000321334356426596,2.1872064208532067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.535666503922,0.0,
0.3687,2.191761834739433,2.180243060979339,2.189806699364709,0.0,0.0,-0.0003208132168866978,2.187270531694494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669.3338500492273,0.0,
0.3855,2.191830001101234,2.180309659488792,2.1898744459117454,0.0,0.0,-0.0003202643238892029,2.1873380355005905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.2334390516822,0.0,
0.4022,2.1919007839357905,2.180378813950698,2.1899447926307194,0.0,0.0,-0.00031969417600125836,2.1874081301724027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728.8748313677174,0.0,
0.419,2.1919750325795118,2.1804513541173227,2.190018583600302,0.0,0.0,-0.0003190959073019322,2.187481656765712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.6093049102337,0.0,
0.4357,2.1920518648148963,2.1805264180245914,2.190094942015441,0.0,0.0,-0.00031847660090065583,2.1875577416183094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788.0791724251197,0.0,
0.4525,2.19213220256775,2.180604906330827,2.190174784089572,0.0,0.0,-0.00031782879885226963,2.1876372976627163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,817.633603912673,0.0,
0.4693,2.192215596711526,2.180686380193949,2.1902576634370754,0.0,0.0,-0.0003171560926970265,2.1877198801141833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.0920560427786,0.0,
0.486,2.192301525527424,2.180770329859988,2.190343061533044,0.0,0.0,-0.00031646266439473546,2.1878049723068185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,876.276237330762,0.0,
0.5028,2.1923910200957852,2.180857762606076,2.190432003059379,0.0,0.0,-0.0003157401633190079,2.1878935952537466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.5318057976014,0.0,
0.5195,2.192483017052829,2.180947639510271,2.19052343119238,0.0,0.0,-0.00031499714328165745,2.187984695918493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,934.5066256226784,0.0,
0.5363,2.1925786202941673,2.181041038970146,2.1906184429697304,0.0,0.0,-0.00031422465638852377,2.1880793674113477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963.5437802289737,0.0,
0.5531,2.1926772902744522,2.181137433811055,2.1907165021474464,0.0,0.0,-0.0003134270258893764,2.1881770754109846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.4654677721383,0.0,
0.5698,2.1927784146108555,2.1812362257136106,2.190817000102177,0.0,0.0,-0.0003126091711172702,2.1882772134755477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.0965944388523,0.0,
