energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.0829166540241277,3.395490853755418,3.80759410072231,0.0,0.0,0.0,3.0953338695006187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5919
0.0155,2.0829184284092372,3.395504150421232,3.807612300132157,0.0,0.0,0.0,3.0953449596542093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.031,2.0829237516242913,3.3955440417279545,3.8076669002592234,0.0,0.0,0.0,3.095378231203823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0465,2.0829326238485057,3.3956105316037495,3.807757906796609,0.0,0.0,0.0,3.0954336874162878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.062,2.082945045380602,3.3957036265967524,3.8078853292345647,0.0,0.0,0.0,3.0955113337373064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0775,2.0829610166388424,3.3958233358769006,3.8080491808632027,0.0,0.0,0.0,3.095611177792982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.093,2.0829805381610864,3.395969671238406,3.808249478776189,0.0,0.0,0.0,3.0957332293918935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1085,2.0830036106048837,3.3961426471030864,3.808486243875438,0.0,0.0,0.0,3.0958775005278025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.124,2.0830302347475333,3.396342280524229,3.80875950087713,0.0,0.0,0.0,3.0960440053829643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1395,2.083060411486228,3.3965685911914063,3.8090692783185354,0.0,0.0,0.0,3.096232760332056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1551,2.083094370992961,3.396823320496112,3.8094179617042427,0.0,0.0,0.0,3.0964452177311053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
