energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.4100746078936113,2.693627440871196,2.5843644618032044,0.0,0.0,0.0,2.562688836856004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.345400000000001
0.0156,2.4100770190776215,2.6936310991705907,2.5843677722416563,0.0,0.0,0.0,2.5626919634966225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0311,2.410084190974845,2.6936419805566105,2.5843776189344068,0.0,0.0,0.0,2.562701263488621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0467,2.41009621634144,2.693660225857704,2.5843941293114767,0.0,0.0,0.0,2.562716857170207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0622,2.4101129413621374,2.6936856018592232,2.584417092322359,0.0,0.0,0.0,2.5627385451812397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0778,2.410134582346417,2.693718436981073,2.584446805140805,0.0,0.0,0.0,2.5627666081560982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0933,2.4101608624866815,2.693758311519211,2.5844828879510056,0.0,0.0,0.0,2.562800687318966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1089,2.410192121671675,2.6938057415360612,2.5845258077157283,0.0,0.0,0.0,2.5628412236411546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1245,2.410228206753898,2.693860495084759,2.584575354512551,0.0,0.0,0.0,2.562888018783736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.14,2.4102688411861677,2.693922153017414,2.584631149016902,0.0,0.0,0.0,2.5629407144068277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1556,2.4103145505060355,2.6939915133219143,2.5846939132900335,0.0,0.0,0.0,2.5629999923726614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1711,2.410364750051272,2.694067689425616,2.5847628450251317,0.0,0.0,0.0,2.563065094834007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1867,2.4104200890685563,2.694151667214596,2.584838836299471,0.0,0.0,0.0,2.563136864194208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2022,2.410479859724161,2.6942423732753875,2.5849209157289548,0.0,0.0,0.0,2.5632143829095013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2178,2.4105448350518257,2.6943409815457593,2.58501014554313,0.0,0.0,0.0,2.563298654046905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2334,2.4106146468804477,2.6944469341872512,2.5851060208904784,0.0,0.0,0.0,2.563389200652726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2489,2.410688803368725,2.69455948562939,2.585207867045871,0.0,0.0,0.0,2.5634853853479953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2645,2.4107682636091754,2.6946800925425825,2.5853170020539915,0.0,0.0,0.0,2.56358845273525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.28,2.410852011240282,2.694807213324367,2.5854320308674366,0.0,0.0,0.0,2.5636970851440286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2956,2.4109411294020155,2.694942493209717,2.585554442138468,0.0,0.0,0.0,2.5638126882500667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3111,2.4110344782021036,2.695084203050483,2.5856826711166465,0.0,0.0,0.0,2.563933784123078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3267,2.4111332649582398,2.695234176902983,2.5858183772897756,0.0,0.0,0.0,2.5640619397169995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3423,2.4112369059420944,2.6953915299929943,2.5859607599501846,0.0,0.0,0.0,2.5641963986284244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3578,2.4113446933029934,2.6955551889258107,2.586108847727832,0.0,0.0,0.0,2.5643362433188788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3734,2.4114580211026895,2.6957272718409637,2.586264557124676,0.0,0.0,0.0,2.5644832833561098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3889,2.4115754397958957,2.6959055791922566,2.5864258977657593,0.0,0.0,0.0,2.5646356389179705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4045,2.4116984680141966,2.6960924187136417,2.5865949576749,0.0,0.0,0.0,2.5647952814675796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.42,2.4118255321406155,2.6962854022508416,2.5867695758309157,0.0,0.0,0.0,2.5649601700741242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4356,2.411958275559866,2.696487027493836,2.58695201210051,0.0,0.0,0.0,2.565132438384737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4511,2.41209500039521,2.6966947173104843,2.587139934487956,0.0,0.0,0.0,2.56530988406455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4667,2.4122374749829985,2.6969111597387267,2.5873357750508195,0.0,0.0,0.0,2.565494803257515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4823,2.4123848371874077,2.6971350471724627,2.587538350488682,0.0,0.0,0.0,2.565686078282851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4978,2.4125360998986283,2.697364881709296,2.5877463053509313,0.0,0.0,0.0,2.5658824289862854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5134,2.41269321948801,2.6976036380181556,2.5879623309711386,0.0,0.0,0.0,2.5660863961591014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5289,2.412854186306266,2.697848264402165,2.588183666029889,0.0,0.0,0.0,2.5662953722461066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5445,2.413021082240502,2.6981019269926927,2.588413175040994,0.0,0.0,0.0,2.5665120614247297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.56,2.413191772603496,2.6983613835837037,2.5886479243510276,0.0,0.0,0.0,2.5667336935127425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5756,2.413368465050814,2.6986299922685983,2.5888909520975614,0.0,0.0,0.0,2.5669631364723244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5912,2.413550079481769,2.6989061137844996,2.5891407749326363,0.0,0.0,0.0,2.567198989399635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6067,2.413735409945189,2.699187916843959,2.5893957358238433,0.0,0.0,0.0,2.567439687537664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6223,2.41392685346039,2.6994790487991205,2.5896591345175706,0.0,0.0,0.0,2.56768834559236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6378,2.4141219613861966,2.699775788582585,2.589927604222243,0.0,0.0,0.0,2.567941784730342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6534,2.414323257211256,2.700081976895964,2.590204619539711,0.0,0.0,0.0,2.5682032845489773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
