energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.069757214718623,2.069757214718623,1.9070205426932643,0.0,0.0,0.0,2.015511657376837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9612
0.0173,2.0697583984893035,2.0697583984893035,1.9070214553362832,0.0,0.0,0.0,2.0155127507716304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0345,2.069761922492297,2.069761922492297,1.9070241722087276,0.0,0.0,0.0,2.0155160057311075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0518,2.0697678277702547,2.0697678277702547,1.9070287249458273,0.0,0.0,0.0,2.015521460162112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.069,2.0697760461629873,2.0697760461629873,1.9070350609870075,0.0,0.0,0.0,2.0155290511043273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0863,2.0697866733868526,2.0697866733868526,1.907043254109073,0.0,0.0,0.0,2.015538866960926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1035,2.0697995867797894,2.0697995867797894,1.9070532097238488,0.0,0.0,0.0,2.0155507944278095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1208,2.0698149367389918,2.0698149367389918,1.9070650437544165,0.0,0.0,0.0,2.0155649724108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.138,2.0698325460914573,2.0698325460914573,1.9070786195789649,0.0,0.0,0.0,2.0155812372539597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1553,2.069852619926419,2.069852619926419,1.9070940952743067,0.0,0.0,0.0,2.015599778375715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1725,2.0698749265468157,2.0698749265468157,1.9071112921762805,0.0,0.0,0.0,2.015620381756637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1898,2.0698997257492104,2.0698997257492104,1.9071304105255633,0.0,0.0,0.0,2.015643287341328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.207,2.0699267312953205,2.0699267312953205,1.9071512296042596,0.0,0.0,0.0,2.0156682307316336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2243,2.0699562577084185,2.0699562577084185,1.9071739918297257,0.0,0.0,0.0,2.015695502415521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2415,2.069987964187791,2.069987964187791,1.907198434416288,0.0,0.0,0.0,2.01572478759729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2588,2.070022220006881,2.070022220006881,1.90722484197353,0.0,0.0,0.0,2.0157564273290975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.276,2.0700586297773,2.0700586297773,1.90725290963122,0.0,0.0,0.0,2.0157900563952733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2933,2.0700976175502057,2.0700976175502057,1.907282964209429,0.0,0.0,0.0,2.0158260664366137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
