energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.2725619081327886,3.0327832653572226,3.4190863393685986,0.0,0.0,-0.15602388209881704,3.24147717095287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6195000000000004
0.0151,3.2725694213200445,3.032789499193099,3.4190951956822606,0.0,0.0,-0.1560247246253979,3.241484705398468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.5290636249659,0.0,
0.0303,3.2725921606887733,3.032808366469749,3.419122000200881,0.0,0.0,-0.15602727460450913,3.241507509119801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1213.0715437357621,0.0,
0.0454,3.272629828384289,3.0328396200079855,3.41916640197462,0.0,0.0,-0.15603149861427654,3.2415452834556313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1817.63015055126,0.0,
0.0606,3.2726829255835064,3.032883675569588,3.4192289920357815,0.0,0.0,-0.1560374528213598,3.2415985310629587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2426.222219174024,0.0,
0.0757,3.272750756786256,3.0329399559854826,3.4193089508976753,0.0,0.0,-0.15604505918561176,3.241666554556472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3030.84981023403,0.0,
0.0909,3.2728342245026587,3.0330092099477066,3.4194073428948686,0.0,0.0,-0.156054418848862,3.241750259115078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3639.531176617203,0.0,
0.106,3.272932235422445,3.0330905301661297,3.419522879791292,0.0,0.0,-0.15606540913660855,3.2418485484599557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4244.267209189407,0.0,
0.1212,3.273046093606675,3.033184998436623,3.4196570995054207,0.0,0.0,-0.15607817618672076,3.24196273051624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4853.07760356805,0.0,
0.1363,3.2731743076761184,3.03329137714153,3.419808244717662,0.0,0.0,-0.15609255266504823,3.242091309845103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5457.961560403588,0.0,
