energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.0144457871464425,3.0144457871464425,2.939206915980715,0.0,0.0,0.0,2.9893661634245334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6726
0.0183,3.014451285135262,3.014451285135262,2.93921171487617,0.0,0.0,0.0,2.9893714283822312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0366,3.014467779369578,3.014467779369578,2.939226111779581,0.0,0.0,0.0,2.9893872235062453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0548,3.014495090542881,3.014495090542881,2.9392499501343154,0.0,0.0,0.0,2.9894133770733595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0731,3.014533520109928,3.014533520109928,2.9392834929793983,0.0,0.0,0.0,2.989450177733085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0914,3.0145829499295838,3.0145829499295838,2.939326637078511,0.0,0.0,0.0,2.989497512312559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1097,3.0146433824109287,3.0146433824109287,2.939379384383194,0.0,0.0,0.0,2.98955538306835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1279,3.0147144002160315,3.0147144002160315,2.939441370447292,0.0,0.0,0.0,2.9896233902931186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1462,3.014796787226049,3.014796787226049,2.939513279243733,0.0,0.0,0.0,2.989702284565277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1645,3.014890187323896,3.014890187323896,2.9395947996914913,0.0,0.0,0.0,2.9897917247797614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1828,3.0149946050657146,3.0149946050657146,2.939685935481098,0.0,0.0,0.0,2.9898917152041755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.201,3.0151093847622095,3.0151093847622095,2.939786114017365,0.0,0.0,0.0,2.990001627847261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2193,3.015235793336521,3.015235793336521,2.939896440705568,0.0,0.0,0.0,2.99012267579287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2376,3.0153732364252006,3.0153732364252006,2.940016396400428,0.0,0.0,0.0,2.990254289750277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
