energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.3153785647935266,3.3576501128740923,3.493376500861195,0.0,0.0,0.0823425584177717,3.3888017261762715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7984
0.0155,3.315396469639341,3.357672713843973,3.493398627798864,0.0,0.0,0.08234426965212595,3.388822603760726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.031,3.3154501885117957,3.357740523833743,3.493465014431988,0.0,0.0,0.08234940404554417,3.388885242259176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0465,3.315539734419698,3.3578535640916094,3.4935756782264424,0.0,0.0,0.08235796366993349,3.388989658912583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.062,3.315665129057195,3.358011870057135,3.4937306483101818,0.0,0.0,0.08236995198130305,3.389135882474837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0775,3.3158264028229367,3.3582154914001983,3.49392996550041,0.0,0.0,0.08238537382401709,3.3893239532411816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.093,3.3160235948471146,3.3584644920756648,3.4941736823418634,0.0,0.0,0.08240423543676055,3.3895539230882146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1085,3.3162567530260865,3.3587589503938227,3.4944618631560513,0.0,0.0,0.08242654446023853,3.38982585552532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.124,3.3165259340650293,3.3590989591069538,3.494794584101688,0.0,0.0,0.0824523099466232,3.3901398257578905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1395,3.3168312035284315,3.359484625511901,3.4951719332463926,0.0,0.0,0.08248154237077654,3.3904959207622416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.155,3.3171726358987064,3.359916071569404,3.4955940106498185,0.0,0.0,0.08251425364327152,3.3908942393726433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1705,3.3175503146428498,3.360393434039854,3.496060928458391,0.0,0.0,0.08255045712524808,3.3913348923803652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.186,3.317964332287543,3.3609168646364114,3.496572811011857,0.0,0.0,0.082590167645146,3.391818002645271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2015,3.3184147905025165,3.3614865301953922,3.497129794961791,0.0,0.0,0.08263340151734073,3.3923437052199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.217,3.3189018001926334,3.3621026128645943,3.4977320294024814,0.0,0.0,0.082680176562755,3.3929121474865696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2325,3.3194254815987936,3.3627653103099697,3.498379676014293,0.0,0.0,0.08273051213147678,3.3935234893076855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.248,3.319985964407682,3.3634748359412017,3.4990729092198816,0.0,0.0,0.08278442912745128,3.3941779031895885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2635,3.3205833878708915,3.3642314191565346,3.4998119163536683,0.0,0.0,0.08284195003531428,3.3948755744603645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.279,3.3212179009334455,3.3650353056078735,3.500596897844793,0.0,0.0,0.08290309894943285,3.3956167014620373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2945,3.3218896623720315,3.365886757486412,3.501428067414078,0.0,0.0,0.08296790160523063,3.396401495757507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.31,3.3225988409433014,3.366786053829887,3.5023056522853926,0.0,0.0,0.08303638541288126,3.3972301823528603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3255,3.3233456155424985,3.3677334908519363,3.503229893411851,0.0,0.0,0.08310857949346805,3.3981029999354284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.341,3.3241301753726455,3.3687293822946764,3.5042010457173327,0.0,0.0,0.08318451471769402,3.3990202011282182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3565,3.324952720124984,3.369774059805344,3.5052193783541186,0.0,0.0,0.08326422374726307,3.399982052761482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.372,3.3258134601705867,3.3708678733379793,3.506285174976714,0.0,0.0,0.08334774107903885,3.40098883616176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3875,3.3267126167640053,3.3720111915813535,3.507398734033085,0.0,0.0,0.08343510309211066,3.4020408474594817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.403,3.3276504222590737,3.373204402414122,3.5085603690736185,0.0,0.0,0.0835263480978971,3.4031383979156047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4185,3.3286271203375697,3.374447913388792,3.5097704090785564,0.0,0.0,0.08362151639342941,3.4042818142683067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.434,3.3296429662510967,3.3757421522455333,3.5110291988048288,0.0,0.0,0.08372065031798101,3.405471439100486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4495,3.330698227076892,3.377087567457542,3.5123370991531147,0.0,0.0,0.08382379431319238,3.406707631229183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.465,3.3317931819879614,3.3784846288095114,3.5136944875558203,0.0,0.0,0.08393099498689102,3.4079907661177646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4805,3.33292812253836,3.379933828010787,3.515101758387208,0.0,0.0,0.08404230118078976,3.4093212363121186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.496,3.3341033529641786,3.3814356793452287,3.5165593233965575,0.0,0.0,0.08415776404226832,3.4106994519019884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5115,3.335319190500959,3.382990720359702,3.518067612165471,0.0,0.0,0.0842774371004716,3.4121258410087107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.527,3.3365759657184952,3.3845995125932156,3.5196270725905507,0.0,0.0,0.08440137634696618,3.4136008503007536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5425,3.337874022873519,3.3862626423492674,3.5212381713927527,0.0,0.0,0.08452964032120544,3.4151249455385133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.558,3.3392137202813954,3.3879807215136477,3.5229013946546104,0.0,0.0,0.08466229020109164,3.4166986121498844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5735,3.3405954307078307,3.3897543884204535,3.5246172483870133,0.0,0.0,0.08479938989893958,3.4183223558384324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.589,3.342019541781354,3.3915843087692643,3.526386259126924,0.0,0.0,0.08494100616315334,3.419996703225847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6045,3.3434864564278817,3.393471176596501,3.528208974567891,0.0,0.0,0.08508720868598263,3.421722202530758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.62,3.3449965933283825,3.3954157153044133,3.5300859642247944,0.0,0.0,0.08523807021772838,3.4234994242858634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6355,3.3465503874010274,3.397418678751257,3.532017820135345,0.0,0.0,0.08539366668780723,3.4253289620958767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.651,3.348148290309016,3.3994808524066915,3.534005157599737,0.0,0.0,0.0855540773331079,3.4272114334384813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6665,3.349790770995621,3.401603054576437,3.5360486159613527,0.0,0.0,0.08571938483413882,3.429147480511137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.682,3.3514783162479023,3.403786137701235,3.538148859430231,0.0,0.0,0.08588967545944753,3.431137771126456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6975,3.3532114312907355,3.406030989734437,3.540306577952442,0.0,0.0,0.08606503921890024,3.433182999659205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.713,3.3549906404131242,3.408338535604322,3.5425224881279065,0.0,0.0,0.08624557002640318,3.435283888048451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7285,3.356816487628295,3.410709738766513,3.54479733417955,0.0,0.0,0.08643136587273285,3.4374411868581194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.744,3.3586895373699592,3.413145602853096,3.5471318889772174,0.0,0.0,0.08662252900916917,3.439655676400091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7595,3.360610375226947,3.415647173425421,3.5495269551196187,0.0,0.0,0.08681916614271898,3.4419281679239955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.775,3.362579608718166,3.418215539837806,3.551983366078259,0.0,0.0,0.08702138864374041,3.4442595048780773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7905,3.36459786811096,3.4208518372209045,3.5545019874072543,0.0,0.0,0.08722931276690589,3.4466505642463727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.806,3.366665807285318,3.4235572485931702,3.5570837180233013,0.0,0.0,0.08744305988646285,3.4491022579672634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8215,3.368784104646858,3.4263330071105544,3.5597294915609403,0.0,0.0,0.08766275674688667,3.4516155344394512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.837,3.3709534640919308,3.4291803984649927,3.5624402778077933,0.0,0.0,0.08788853573009105,3.4541913801215727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8525,3.3731746160282654,3.432100763443416,3.565217084225512,0.0,0.0,0.08812053514048215,3.4568308212323977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.868,3.3754483184548,3.435095500660145,3.568060957562542,0.0,0.0,0.08835889950924687,3.4595349255591628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8835,3.3777753581048766,3.438166069476844,3.570972985565241,0.0,0.0,0.0886037799194203,3.4623048043823204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.899,3.380156551657038,3.4413139931251684,3.5739542987942423,0.0,0.0,0.08885533435339003,3.4651416145254834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
