energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.5678057182061265,2.5678057182061265,2.6526671708843423,0.0,0.0,0.0,2.596092869098865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9433
0.0186,2.56781023803314,2.56781023803314,2.6526725826044917,0.0,0.0,0.0,2.5960976862235907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0373,2.5678238950835715,2.5678238950835715,2.652688934634182,0.0,0.0,0.0,2.5961122416004416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0559,2.567846544002837,2.567846544002837,2.652716053074532,0.0,0.0,0.0,2.5961363803600688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0745,2.5678782347008937,2.5678782347008937,2.652753997914794,0.0,0.0,0.0,2.5961701557721937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0932,2.56791921227261,2.56791921227261,2.6528030629470187,0.0,0.0,0.0,2.5962138291640797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1118,2.5679690405865716,2.5679690405865716,2.6528627263805427,0.0,0.0,0.0,2.596266935851229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1304,2.5680279170567166,2.5680279170567166,2.6529332250977324,0.0,0.0,0.0,2.5963296864037217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1491,2.5680962344202043,2.5680962344202043,2.653015029976727,0.0,0.0,0.0,2.596402499605712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1677,2.568173265565778,2.568173265565778,2.6531072710528627,0.0,0.0,0.0,2.5964846007281395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1863,2.568259355506658,2.568259355506658,2.65321036223524,0.0,0.0,0.0,2.596576357749519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.205,2.5683550448101027,2.5683550448101027,2.653324951750654,0.0,0.0,0.0,2.59667834712362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2236,2.568459315046282,2.568459315046282,2.6534498209896134,0.0,0.0,0.0,2.5967894836940593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2422,2.568572658993875,2.568572658993875,2.6535855611207295,0.0,0.0,0.0,2.59691029303616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2609,2.5686957653092986,2.5686957653092986,2.653732998081747,0.0,0.0,0.0,2.597041509566781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2795,2.568827323769203,2.568827323769203,2.6538905639581323,0.0,0.0,0.0,2.597181737165513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2981,2.5689679751551044,2.5689679751551044,2.6540590275103355,0.0,0.0,0.0,2.597331659273515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3168,2.569118556543102,2.569118556543102,2.6542393928497647,0.0,0.0,0.0,2.597492168645323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3354,2.569277465304662,2.569277465304662,2.6544297419060605,0.0,0.0,0.0,2.5976615575051283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.354,2.5694454905329254,2.5694454905329254,2.6546310214641204,0.0,0.0,0.0,2.5978406675099905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3727,2.5696236181263643,2.5696236181263643,2.6548444143727625,0.0,0.0,0.0,2.598030550208497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3913,2.569809952301778,2.569809952301778,2.6550676513632947,0.0,0.0,0.0,2.5982291853222836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4099,2.5700054308447133,2.5700054308447133,2.655301857778433,0.0,0.0,0.0,2.598437573155953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4286,2.570211188951361,2.570211188951361,2.655548395870376,0.0,0.0,0.0,2.5986569245910327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4472,2.570425036795717,2.570425036795717,2.6558046439358503,0.0,0.0,0.0,2.598884905842428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4658,2.5706480613088973,2.5706480613088973,2.656071906510797,0.0,0.0,0.0,2.599122676376197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4845,2.5708815475335585,2.5708815475335585,2.656351726019951,0.0,0.0,0.0,2.5993716070290227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5031,2.571123010572662,2.571123010572662,2.6566411268936454,0.0,0.0,0.0,2.599629049346323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5217,2.5713736870293897,2.5713736870293897,2.656941593599322,0.0,0.0,0.0,2.5998963225527003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5404,2.57163501241575,2.57163501241575,2.6572548496079658,0.0,0.0,0.0,2.600174958146489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.559,2.571904205594005,2.571904205594005,2.657577563853901,0.0,0.0,0.0,2.600461991680637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5776,2.5721826534397136,2.5721826534397136,2.6579114015784047,0.0,0.0,0.0,2.6007589028192775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5963,2.572471942632393,2.572471942632393,2.6582582682786677,0.0,0.0,0.0,2.6010673845144847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6149,2.572768994480657,2.572768994480657,2.658614475562625,0.0,0.0,0.0,2.601384154841313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6335,2.573075346807782,2.573075346807782,2.658981870393546,0.0,0.0,0.0,2.601710854669703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6522,2.5733927382350243,2.5733927382350243,2.6593625413825626,0.0,0.0,0.0,2.602049339284204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6708,2.5737177910594053,2.5737177910594053,2.6597524407770967,0.0,0.0,0.0,2.602396007631969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6894,2.574052194803066,2.574052194803066,2.6601535983179505,0.0,0.0,0.0,2.602752662641361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7081,2.574397840880664,2.574397840880664,2.6605682869276794,0.0,0.0,0.0,2.6031213228963357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7267,2.5747510509725267,2.5747510509725267,2.6609920972520023,0.0,0.0,0.0,2.6034980663990184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7453,2.575113667127794,2.575113667127794,2.661427242974011,0.0,0.0,0.0,2.603884859076533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.764,2.575487734484936,2.575487734484936,2.6618761826370356,0.0,0.0,0.0,2.6042838838689693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7826,2.5758692723528442,2.5758692723528442,2.662334142833074,0.0,0.0,0.0,2.6046908958462542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8012,2.576260276214239,2.576260276214239,2.6628035224635176,0.0,0.0,0.0,2.6051080249639984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8199,2.5766629459417723,2.5766629459417723,2.663286967116035,0.0,0.0,0.0,2.6055376196665265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8385,2.5770729965661845,2.5770729965661845,2.6637793366618494,0.0,0.0,0.0,2.605975109931406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8572,2.57749485960296,2.57749485960296,2.6642859568077126,0.0,0.0,0.0,2.6064252253378775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8758,2.577924045912141,2.577924045912141,2.6648014411337035,0.0,0.0,0.0,2.6068831776526618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8944,2.578362809023548,2.578362809023548,2.665328500495958,0.0,0.0,0.0,2.6073513728476847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9131,2.578813609261924,2.578813609261924,2.6658700958183275,0.0,0.0,0.0,2.6078324381140585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9317,2.5792716496841415,2.5792716496841415,2.666420469022788,0.0,0.0,0.0,2.608321256130357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9503,2.579739340065543,2.579739340065543,2.666982520149706,0.0,0.0,0.0,2.608820400093597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.969,2.580219298564274,2.580219298564274,2.66755940154325,0.0,0.0,0.0,2.6093326662239327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9876,2.58070641810722,2.58070641810722,2.6681449802033677,0.0,0.0,0.0,2.6098526054726023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0062,2.5812032659218507,2.5812032659218507,2.668742347060113,0.0,0.0,0.0,2.6103829596346046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0249,2.581712619318459,2.581712619318459,2.669354847744208,0.0,0.0,0.0,2.610926695460375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0435,2.582229058603393,2.582229058603393,2.6699759708358846,0.0,0.0,0.0,2.611478029347557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0621,2.5827553097489377,2.5827553097489377,2.6706089999842644,0.0,0.0,0.0,2.6120398731607133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0808,2.5832943106248187,2.5832943106248187,2.6712574761011885,0.0,0.0,0.0,2.6126153657836086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0994,2.5838403262589393,2.5838403262589393,2.671914505609524,0.0,0.0,0.0,2.6131983860424675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
