energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.9009797497186582,2.673326568610272,3.094782152968102,0.0,0.0,-0.10516509532528082,2.8896961570990105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.046200000000001
0.0156,2.9009854839699747,2.673330940193095,3.0947887454937035,0.0,0.0,-0.10516555745881602,2.889701723218925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.7490777086181,0.0,
0.0311,2.9010025402615307,2.6733439432503356,3.094808354664682,0.0,0.0,-0.10516693204479555,2.889718279392183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.217982834651,0.0,
0.0467,2.9010311396843713,2.673365746231399,3.0948412345981136,0.0,0.0,-0.10516923686805471,2.8897460401712944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1534.9872315259308,0.0,
0.0623,2.9010712106493504,2.6733962943887404,3.0948873028799406,0.0,0.0,-0.10517246610357417,2.8897849359726773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2047.7767167932657,0.0,
0.0779,2.901122755526897,2.6734355892903885,3.094946562081547,0.0,0.0,-0.1051766198645456,2.889834968966278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560.5931997522284,0.0,
0.0934,2.9011853368237306,2.673483297115286,3.0950185090397024,0.0,0.0,-0.10518166279744068,2.88989571432624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3070.155819122824,0.0,
0.109,2.901259765747977,2.6735400359006403,3.0951040761237603,0.0,0.0,-0.10518766014925401,2.889967959257459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3583.0463036866786,0.0,
0.1246,2.9013456797438097,2.6736055288113985,3.0952028462315844,0.0,0.0,-0.10519458255888865,2.8900513515955972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4095.9840328034356,0.0,
0.1401,2.901442422909608,2.6736792753513625,3.095314064992288,0.0,0.0,-0.10520237701569055,2.890145254417753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4605.687178067983,0.0,
0.1557,2.9015512492808573,2.6737622308828244,3.0954391737081783,0.0,0.0,-0.10521114436648193,2.890250884623953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5118.739286614941,0.0,
0.1713,2.9016715779898425,2.6738539519590567,3.0955775041734177,0.0,0.0,-0.10522083759726861,2.8903676780407728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5631.858901971016,0.0,
