energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.34970849577767,4.3092808199490005,4.205339135598119,0.0,0.0,-0.16562526902233363,4.288109483774931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5134
0.0171,4.3497247715570335,4.309296110117613,4.205354114767464,0.0,0.0,-0.16562715789427487,4.288124998814037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.351201660826,0.0,
0.0343,4.3497739815990055,4.309342340075465,4.205399404476834,0.0,0.0,-0.1656328689778628,4.288171908717102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1414.8516566688452,0.0,
0.0514,4.349855557946985,4.3094189760323856,4.20547448197289,0.0,0.0,-0.16564233651783863,4.288249671984087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2120.275613687982,0.0,
0.0686,4.3499704618583035,4.309526920647045,4.205580231861131,0.0,0.0,-0.165655672342591,4.288359204788827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2829.898095135413,0.0,
0.0857,4.350117367174731,4.309664927548724,4.2057154335334515,0.0,0.0,-0.16567272290885116,4.288499242752302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3535.491947055985,0.0,
0.1029,4.3502980049644,4.309834622259581,4.205881680016861,0.0,0.0,-0.165693689614654,4.288671435746948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4245.334201940535,0.0,
0.12,4.350510290412422,4.310034045424631,4.206077052434192,0.0,0.0,-0.16571833105894876,4.288873796090415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4951.195179683689,0.0,
0.1372,4.350756725009129,4.310265545970303,4.206303852790668,0.0,0.0,-0.16574693830334478,4.289108707923367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5661.355073232669,0.0,
0.1543,4.351034464566983,4.310526450922461,4.206559463288469,0.0,0.0,-0.16577918197926603,4.289373459592638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6367.580551460039,0.0,
