energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.479820336954938,2.5164644460052994,2.4777321324036965,0.0,0.0,0.0,2.491338971787978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2094
0.0169,2.4798231712602448,2.5164680537629067,2.477734996413358,0.0,0.0,0.0,2.4913420738121697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0338,2.479831674275659,2.516478877195849,2.4777435885441923,0.0,0.0,0.0,2.4913513800052334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0507,2.4798458462996615,2.5164969167844555,2.4777579091016815,0.0,0.0,0.0,2.4913668907285995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0676,2.4798656878297667,2.5165221733293675,2.4777779585950928,0.0,0.0,0.0,2.491388606584742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0845,2.479891199562545,2.5165546479516028,2.4778037377373883,0.0,0.0,0.0,2.4914165284171785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1014,2.4799223823937724,2.516594342092767,2.4778352474454133,0.0,0.0,0.0,2.491450657310651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1182,2.479959002656564,2.516640958666899,2.4778722516168736,0.0,0.0,0.0,2.491490737646779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1351,2.4800014975938485,2.516695054705288,2.4779151920953364,0.0,0.0,0.0,2.491537248131491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.152,2.480049667503348,2.5167563764975966,2.4779638671045707,0.0,0.0,0.0,2.491589970368505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1689,2.480103514077384,2.516824926767999,2.4780182783768065,0.0,0.0,0.0,2.4916489064073963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1858,2.48016303920818,2.516900708562652,2.4780784278488412,0.0,0.0,0.0,2.491714058539891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2027,2.4802282449879796,2.516983725249962,2.478144317662257,0.0,0.0,0.0,2.4917854293000663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2196,2.480299133709256,2.5170739805211646,2.478215950163631,0.0,0.0,0.0,2.4918630214646837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2365,2.48037570786508,2.517171478390729,2.4782933279048036,0.0,0.0,0.0,2.4919468380535377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2534,2.480457970149267,2.5172762231969115,2.4783764536431887,0.0,0.0,0.0,2.492036882329789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2703,2.4805459234566927,2.5173882196023163,2.4784653303420203,0.0,0.0,0.0,2.492133157800343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2872,2.4806395708836746,2.5175074725945445,2.478559961170723,0.0,0.0,0.0,2.4922356682163143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3041,2.4807389157282085,2.51763398748684,2.4786603495052173,0.0,0.0,0.0,2.4923444175734217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.321,2.480843961490356,2.517767769918762,2.4787664989283407,0.0,0.0,0.0,2.4924594101124864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3378,2.4809540397597543,2.517907969802393,2.4788777340527446,0.0,0.0,0.0,2.492579914538297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3547,2.4810704648775124,2.5180562624465406,2.4789953830835785,0.0,0.0,0.0,2.4927073701358773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
