energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.438925195437138,2.438925195437138,2.4941966754366307,0.0,0.0,0.0,2.4573490221036356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4392000000000005
0.0161,2.4389278147859663,2.4389278147859663,2.4941996712517795,0.0,0.0,0.0,2.4573517669412372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0322,2.438935672913182,2.438935672913182,2.494208658802134,0.0,0.0,0.0,2.4573600015428325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0483,2.438948770060844,2.438948770060844,2.4942236384023957,0.0,0.0,0.0,2.4573737261746946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0644,2.4389671066324743,2.4389671066324743,2.494244610577096,0.0,0.0,0.0,2.457392941280682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0805,2.43899068319303,2.43899068319303,2.4942715760606657,0.0,0.0,0.0,2.457417647482242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0966,2.439019500469004,2.439019500469004,2.4943045357975215,0.0,0.0,0.0,2.45744784557851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1127,2.4390535593484115,2.4390535593484115,2.494343490942109,0.0,0.0,0.0,2.457483536546311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1288,2.4390928608809643,2.4390928608809643,2.494388442859094,0.0,0.0,0.0,2.457524721540341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1449,2.4391374062781255,2.4391374062781255,2.4944393931234794,0.0,0.0,0.0,2.4575714018932433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.161,2.4391871969132133,2.4391871969132133,2.4944963435207503,0.0,0.0,0.0,2.4576235791157255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1771,2.439242234321549,2.439242234321549,2.494559296047087,0.0,0.0,0.0,2.457681254896728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1932,2.439302520200587,2.439302520200587,2.4946282529095627,0.0,0.0,0.0,2.457744431103579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2093,2.439368056410057,2.439368056410057,2.494703216526387,0.0,0.0,0.0,2.457813109782167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2254,2.439438844972198,2.439438844972198,2.4947841895271456,0.0,0.0,0.0,2.4578872931571802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2415,2.4395148880718454,2.4395148880718454,2.4948711747530954,0.0,0.0,0.0,2.457966983632262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2577,2.4395967094578737,2.4395967094578737,2.494964771704063,0.0,0.0,0.0,2.4580527302066035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2738,2.439683301514032,2.439683301514032,2.495063828145229,0.0,0.0,0.0,2.458143477057764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2899,2.439775155657456,2.439775155657456,2.495168906630675,0.0,0.0,0.0,2.4582397393151956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.306,2.4398722747267874,2.4398722747267874,2.495280010852842,0.0,0.0,0.0,2.4583415201021386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3221,2.439974661724532,2.439974661724532,2.4953971447175682,0.0,0.0,0.0,2.4584488227222105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3382,2.4400823198172956,2.4400823198172956,2.495520312344479,0.0,0.0,0.0,2.45856165065969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3543,2.4401952523360495,2.4401952523360495,2.4956495180674287,0.0,0.0,0.0,2.4586800075798423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3704,2.4403134627764898,2.4403134627764898,2.4957847664349915,0.0,0.0,0.0,2.458803897329324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3865,2.440436954799341,2.440436954799341,2.4959260622108763,0.0,0.0,0.0,2.4589333239365194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4026,2.4405657322306875,2.4405657322306875,2.4960734103745237,0.0,0.0,0.0,2.4590682916119664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4187,2.4406997990623687,2.4406997990623687,2.496226816121531,0.0,0.0,0.0,2.4592088047487564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4348,2.440839159452298,2.440839159452298,2.496386284864312,0.0,0.0,0.0,2.4593548679229693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4509,2.4409838177249084,2.4409838177249084,2.4965518222325738,0.0,0.0,0.0,2.45950648589413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.467,2.441133778371497,2.441133778371497,2.496723434073971,0.0,0.0,0.0,2.459663663605655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4831,2.441289046050696,2.441289046050696,2.4969011264547243,0.0,0.0,0.0,2.459826406185372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4992,2.4414496255888727,2.4414496255888727,2.4970849056602695,0.0,0.0,0.0,2.459994718946005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5153,2.441615521980629,2.441615521980629,2.4972747781958935,0.0,0.0,0.0,2.460168607385717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5314,2.441786740389234,2.441786740389234,2.4974707507874765,0.0,0.0,0.0,2.460348077188648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5475,2.441963286147086,2.441963286147086,2.4976728303821663,0.0,0.0,0.0,2.460533134225446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5636,2.4421451647562673,2.4421451647562673,2.4978810241491685,0.0,0.0,0.0,2.460723784553901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5797,2.4423323818890625,2.4423323818890625,2.4980953394804795,0.0,0.0,0.0,2.460920034419535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5958,2.4425249433884275,2.4425249433884275,2.498315783991707,0.0,0.0,0.0,2.4611218902561873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6119,2.442722855268604,2.442722855268604,2.4985423655228463,0.0,0.0,0.0,2.461329358686685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.628,2.4429261237156723,2.4429261237156723,2.498775092139173,0.0,0.0,0.0,2.461542446523506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6441,2.4431347550881286,2.4431347550881286,2.4990139721321056,0.0,0.0,0.0,2.4617611607694543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6602,2.4433487559175076,2.4433487559175076,2.4992590140200575,0.0,0.0,0.0,2.4619855086183575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6763,2.443568132908955,2.443568132908955,2.4995102265493947,0.0,0.0,0.0,2.462215497455768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6924,2.4437928929419184,2.4437928929419184,2.499767618695371,0.0,0.0,0.0,2.462451134859736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7085,2.4440230430707652,2.4440230430707652,2.500031199663118,0.0,0.0,0.0,2.4626924286015495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7246,2.4442585905254925,2.4442585905254925,2.500300978888611,0.0,0.0,0.0,2.462939386646532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7408,2.4445010562146967,2.4445010562146967,2.5005786996652324,0.0,0.0,0.0,2.463193604031542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7569,2.4447474543579477,2.4447474543579477,2.5008609432942785,0.0,0.0,0.0,2.463451950670058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.773,2.4449992726263803,2.4449992726263803,2.5011494149482694,0.0,0.0,0.0,2.4637159867336766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7891,2.4452565189606243,2.4452565189606243,2.5014441249986623,0.0,0.0,0.0,2.463985720973304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8052,2.445519201480473,2.445519201480473,2.5017450840531423,0.0,0.0,0.0,2.4642611623380297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
