energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.9324702994840335,2.9600871542496723,2.924758126246629,0.0,0.0,0.02311447350685624,2.939105193326778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9184
0.0168,2.9324752313736733,2.9600921501493023,2.924762797931539,0.0,0.0,0.023114347236460105,2.9391100598181716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0337,2.9324901448739915,2.9601072572052223,2.924776924582673,0.0,0.0,0.0231139653949076,2.9391247755539625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0505,2.9325148641812886,2.960132297321156,2.9248003396175672,0.0,0.0,0.023113332443074886,2.9391491670400036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0673,2.932549449324095,2.960167331286515,2.924833099807532,0.0,0.0,0.023112446777077418,2.939183293472714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0841,2.9325939018983957,2.96021236069263,2.9248752065381582,0.0,0.0,0.023111308262334988,2.9392271563763948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.101,2.9326485768544464,2.960267745062357,2.9249269958628483,0.0,0.0,0.023109907684945367,2.9392811059265505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1178,2.932712829672658,2.960332831473215,2.924987857079033,0.0,0.0,0.0231082614071279,2.9393445060749688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1346,2.9327869574641685,2.9604079208442915,2.9250580713833223,0.0,0.0,0.023106361644426483,2.9394176498972606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1514,2.932870963652082,2.96049301658854,2.9251376417473534,0.0,0.0,0.023104208108009724,2.9395005406626584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1683,2.932965440571663,2.960588718659832,2.925227128912014,0.0,0.0,0.023101785377755042,2.939593762714503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1851,2.933069274513728,2.9606938988370652,2.925325477643011,0.0,0.0,0.023099121756894055,2.9396962169979344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2019,2.9331829998966654,2.960809098392716,2.9254331937566227,0.0,0.0,0.023096203261114924,2.9398084306820014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2188,2.9333073874651885,2.9609350979748044,2.92555100683773,0.0,0.0,0.023093009789188785,2.939931164092574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2356,2.9334409709246083,2.9610704121939895,2.9256775276368447,0.0,0.0,0.023089578648045596,2.940062970251814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2524,2.933584463017111,2.961215762931292,2.9258134307394723,0.0,0.0,0.023085891179289317,2.9402045522292917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2692,2.933737870385163,2.9613711568086503,2.925958721909776,0.0,0.0,0.02308194682124044,2.940355916367863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2861,2.9339022020560837,2.9615376157993767,2.9261143561975564,0.0,0.0,0.023077719189704336,2.940518058017672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3029,2.934075520883571,2.9617131775578542,2.9262784983772425,0.0,0.0,0.0230732576720118,2.940689065606223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3197,2.934258777741544,2.961898805139831,2.9264520483676804,0.0,0.0,0.023068537339175767,2.9408698770830184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3365,2.934451981131051,2.962094507019163,2.926635013543492,0.0,0.0,0.02306355747103298,2.941060500564569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3534,2.9346563791235156,2.9623015472530803,2.9268285750786514,0.0,0.0,0.023058285335139924,2.941262167151749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3702,2.9348695622920005,2.962517485114611,2.9270304505300437,0.0,0.0,0.02305278251931125,2.9414724993122188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.387,2.935092720361525,2.9627435255506795,2.92724176577239,0.0,0.0,0.02304701776217441,2.9416926705615314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4039,2.935327281385616,2.9629811148791,2.9274638721848634,0.0,0.0,0.02304095351531881,2.941924089483193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4207,2.9355704804008016,2.9632274522619024,2.9276941507458103,0.0,0.0,0.023034660618316185,2.942164027802838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4375,2.935823686941456,2.96348392473415,2.9279338973845093,0.0,0.0,0.023028103008052556,2.942413836353372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4543,2.9360869128111475,2.9637505440588985,2.9281831223327757,0.0,0.0,0.023021279680290767,2.9426735264009403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4712,2.93636182688224,2.9640290004054717,2.928443404629369,0.0,0.0,0.0230141465856984,2.9429447439723604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.488,2.936645188558343,2.9643160112119533,2.9287116751243394,0.0,0.0,0.02300678704688695,2.943224291631546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5048,2.936938607924774,2.9646132070975018,2.928989457173139,0.0,0.0,0.02299915852192674,2.9435137573984718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5216,2.9372420987076797,2.964920601738791,2.929276762667656,0.0,0.0,0.02299125983943812,2.9438131543713753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5385,2.9375575718687177,2.9652401304215816,2.9295753994045484,0.0,0.0,0.022983040339443164,2.944124367231616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5553,2.937881308769737,2.965568026458808,2.9298818460154195,0.0,0.0,0.022974596031361347,2.944443727081321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5721,2.9382151612739116,2.965906165275155,2.930197854342315,0.0,0.0,0.022965877788393287,2.944773060297127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.589,2.9385612229485045,2.9662566670292305,2.9305254046549174,0.0,0.0,0.022956829907929795,2.9451144315442175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6058,2.9389154146446748,2.9666153999643097,2.9308606346903816,0.0,0.0,0.02294755807207484,2.945463816433122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6226,2.939279770568478,2.9669844241157857,2.9312054685350932,0.0,0.0,0.022938008133200717,2.9458232210731192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6394,2.9396543078905273,2.967363756586291,2.9315599210481267,0.0,0.0,0.022928178616580613,2.9461926618416485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6563,2.9400413649508708,2.9677557653221047,2.931926203574819,0.0,0.0,0.022918006976031285,2.946574444615931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6731,2.940436379458841,2.9681558293583947,2.9322999972120734,0.0,0.0,0.022907612013920973,2.9469640686764365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6899,2.9408416300039604,2.9685662561297477,2.9326834567831233,0.0,0.0,0.02289693277146766,2.947363780972277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7067,2.941257135778292,2.9689870647476404,2.9330765988836127,0.0,0.0,0.02288596759332351,2.9477735998031815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7236,2.9416854816967586,2.9694208727392644,2.9334818674894407,0.0,0.0,0.02287464693243643,2.9481960739751543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7404,2.94212161889675,2.9698625665141076,2.9338944840860295,0.0,0.0,0.02286310300450322,2.948626223165629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7572,2.9425680721076635,2.9703147026537575,2.9343168357488443,0.0,0.0,0.02285126788624101,2.9490665368367552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.774,2.943024862588299,2.970777302321977,2.934748940845077,0.0,0.0,0.022839139735472604,2.9495170352517843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7909,2.9434948238314753,2.9712532346196046,2.935193477707837,0.0,0.0,0.02282664182863555,2.949980512052972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8077,2.9439724165872647,2.971736889529897,2.9356452049088038,0.0,0.0,0.022813920122170935,2.9504515036753216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8245,2.944460413681317,2.9722310747276666,2.9361067434621964,0.0,0.0,0.022800899556732267,2.95093274395706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8414,2.9449618365713177,2.9727388495186404,2.9365809487956946,0.0,0.0,0.022787497896937167,2.9514272116285505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8582,2.9454707752921525,2.9732542286508266,2.9370622297517697,0.0,0.0,0.02277387164627336,2.9519290778982494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.875,2.945990190241649,2.973780209612404,2.9375533840982504,0.0,0.0,0.022759940266686603,2.9524412613174342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8918,2.9465201064212936,2.974316817279618,2.9380544333992717,0.0,0.0,0.022745701571730163,2.9529637857000615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9087,2.9470637978712655,2.974867366513917,2.938568470887298,0.0,0.0,0.02273106579582584,2.9534998784241604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9255,2.9476148566061062,2.975425368036782,2.9390894358926474,0.0,0.0,0.022716203842738553,2.954043220178512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9423,2.9481764950402356,2.9759940743279385,2.9396203634969034,0.0,0.0,0.022701027692157472,2.9545969776216925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
