energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.9453690091611544,3.9453690091611544,3.722773386398752,0.0,0.0,0.0,3.871170468240354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3279
0.0163,3.945385392913692,3.945385392913692,3.722787887399763,0.0,0.0,0.0,3.871186224409049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0326,3.9454345462214104,3.9454345462214104,3.722831392435159,0.0,0.0,0.0,3.8712334949593266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.049,3.9455170790424026,3.9455170790424026,3.722904442034214,0.0,0.0,0.0,3.8713128667063397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0653,3.945631995199008,3.945631995199008,3.7230061555794416,0.0,0.0,0.0,3.8714233819924857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0816,3.9457797117811233,3.9457797117811233,3.723136903764059,0.0,0.0,0.0,3.8715654424421015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0979,3.9459602472917563,3.9459602472917563,3.723296704934297,0.0,0.0,0.0,3.8717390665059366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1142,3.9461736243564056,3.9461736243564056,3.7234855815263668,0.0,0.0,0.0,3.8719442767463925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1306,3.9464214819440024,3.9464214819440024,3.7237049872478454,0.0,0.0,0.0,3.8721826503786168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1469,3.9467008284738796,3.9467008284738796,3.723952277240379,0.0,0.0,0.0,3.872451311396046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1632,3.9470131095047503,3.9470131095047503,3.7242287348507617,0.0,0.0,0.0,3.872751651286754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1795,3.9473583642942573,3.9473583642942573,3.7245343990324753,0.0,0.0,0.0,3.8730837092069965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1958,3.947736636290086,3.947736636290086,3.7248693129054757,0.0,0.0,0.0,3.873447528495216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
