energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.1212280296124595,3.834791447885577,4.265653418526355,0.0,0.0,0.0,4.073890965341464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3569999999999993
0.0144,4.1212388391823005,3.834800024016287,4.265664441059196,0.0,0.0,0.0,4.073901101419261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0288,4.121271268600629,3.834825752918949,4.265697509355418,0.0,0.0,0.0,4.073931510291665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0432,4.121325319994082,3.8348686361252367,4.265752625508286,0.0,0.0,0.0,4.073982193875868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0576,4.121400996907589,3.83492867618838,4.265829793007134,0.0,0.0,0.0,4.074053155367701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0719,4.121497553961182,3.835005281388038,4.265928251618385,0.0,0.0,0.0,4.074143695655868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0863,4.121616347945222,3.835099527693466,4.266049384628159,0.0,0.0,0.0,4.074255086755616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1007,4.121756786543267,3.8352109446079847,4.266192587778243,0.0,0.0,0.0,4.074386772976498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1151,4.1219188789737,3.83533953877101,4.26635787014229,0.0,0.0,0.0,4.0745387626289995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1295,4.122102635879648,3.8354853178481503,4.266545242196441,0.0,0.0,0.0,4.0747110653080805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1439,4.1223080693313925,3.8356482905328244,4.266754715821396,0.0,0.0,0.0,4.074903691895204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1583,4.122535192828764,3.8358284665480387,4.266986304305043,0.0,0.0,0.0,4.075116654560615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1727,4.122784021303957,3.8360258566484378,4.267240022344959,0.0,0.0,0.0,4.075349966765785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.187,4.123052617368897,3.8362389228082647,4.26751389393153,0.0,0.0,0.0,4.075601811369563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2014,4.123344755310624,3.8364706577209176,4.267811766857131,0.0,0.0,0.0,4.075875726629557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2158,4.123658651514933,3.836719645095771,4.268131821786396,0.0,0.0,0.0,4.0761700394657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2302,4.123994326667573,3.83698589983107,4.268474079079724,0.0,0.0,0.0,4.0764847685261225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2446,4.124351802905062,3.837269437869969,4.268838560525538,0.0,0.0,0.0,4.076819933766856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.259,4.124731103819606,3.8375702762038655,4.269225289344735,0.0,0.0,0.0,4.077175556456069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2734,4.125132254463775,3.8378884328758534,4.269634290195482,0.0,0.0,0.0,4.07755165917837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2878,4.125555281355855,3.838223926984625,4.2700655891785,0.0,0.0,0.0,4.07794826583966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3021,4.125997047091081,3.838574268430402,4.270515986624113,0.0,0.0,0.0,4.078362434048532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
