energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.433751543761518,4.433751543761518,4.076750221039465,0.0,0.0,0.0,4.314751102854166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6185
0.0141,4.43376667912914,4.43376667912914,4.076760683398726,0.0,0.0,0.0,4.314764680552336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0281,4.4338116577953235,4.4338116577953235,4.076791774775539,0.0,0.0,0.0,4.314805030122062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0422,4.433887125864411,4.433887125864411,4.076843941078669,0.0,0.0,0.0,4.31487273093583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0562,4.433992018729628,4.433992018729628,4.076916445242459,0.0,0.0,0.0,4.314966827567238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0703,4.434127843146033,4.434127843146033,4.077010327113657,0.0,0.0,0.0,4.315088671135241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0843,4.434292683080528,4.434292683080528,4.077124260222238,0.0,0.0,0.0,4.3152365421277645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0984,4.4344889064161235,4.4344889064161235,4.077259878586352,0.0,0.0,0.0,4.315412563806199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1124,4.434713745099213,4.434713745099213,4.07741526603821,0.0,0.0,0.0,4.315614252078879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1265,4.434970428890961,4.434970428890961,4.077592651134397,0.0,0.0,0.0,4.315844502972106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1405,4.4352553368584395,4.4352553368584395,4.077789527585291,0.0,0.0,0.0,4.316100067100724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1546,4.4355725616649515,4.4355725616649515,4.078008718986645,0.0,0.0,0.0,4.316384614105516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1686,4.435917628374004,4.435917628374004,4.078247128372068,0.0,0.0,0.0,4.316694128373359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1827,4.436295493849728,4.436295493849728,4.078508175011328,0.0,0.0,0.0,4.317033054236927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1968,4.436703831134345,4.436703831134345,4.078790245131502,0.0,0.0,0.0,4.317399302466731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2108,4.43713945274832,4.43713945274832,4.079091130776656,0.0,0.0,0.0,4.317790012091098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2249,4.43760861644003,4.43760861644003,4.079415147275338,0.0,0.0,0.0,4.318210793385132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2389,4.438104704064884,4.438104704064884,4.079757716623584,0.0,0.0,0.0,4.318655708251117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.253,4.43863484203321,4.43863484203321,4.080123752002573,0.0,0.0,0.0,4.319131145356331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.267,4.439191552150474,4.439191552150474,4.080508081750807,0.0,0.0,0.0,4.319630395350585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2811,4.439782831761044,4.439782831761044,4.08091621801039,0.0,0.0,0.0,4.320160627177493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2951,4.440400340285035,4.440400340285035,4.081342394312502,0.0,0.0,0.0,4.3207143582941905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3092,4.441052948555148,4.441052948555148,4.081792723005196,0.0,0.0,0.0,4.321299540038498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3232,4.441731450996558,4.441731450996558,4.08226084152852,0.0,0.0,0.0,4.321907914507212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3373,4.442445594769189,4.442445594769189,4.082753463819126,0.0,0.0,0.0,4.322548217785834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3513,4.443185306417345,4.443185306417345,4.083263629807379,0.0,0.0,0.0,4.323211414214023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3654,4.443961212554582,4.443961212554582,4.083798656539533,0.0,0.0,0.0,4.323907027216232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3795,4.444768201596963,4.444768201596963,4.084355005770089,0.0,0.0,0.0,4.324630469654672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3935,4.445600284274633,4.445600284274633,4.084928536651637,0.0,0.0,0.0,4.325376368400301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4076,4.446469414457077,4.446469414457077,4.0855274751310375,0.0,0.0,0.0,4.326155434681731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4216,4.4473633329580124,4.4473633329580124,4.086143359193989,0.0,0.0,0.0,4.326956675036672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4357,4.448294882201015,4.448294882201015,4.086785022315331,0.0,0.0,0.0,4.327791595572454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4497,4.449250922792553,4.449250922792553,4.087443398927803,0.0,0.0,0.0,4.3286484148376365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4638,4.450245189868336,4.450245189868336,4.088127932048577,0.0,0.0,0.0,4.32953943726175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4778,4.451263659660147,4.451263659660147,4.088828950519705,0.0,0.0,0.0,4.330452089946666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4919,4.4523209644768915,4.4523209644768915,4.08955650905874,0.0,0.0,0.0,4.331399479337508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5059,4.453402191713771,4.453402191713771,4.090300328738385,0.0,0.0,0.0,4.332368237388642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.52,4.454522875621436,4.454522875621436,4.0910710782799775,0.0,0.0,0.0,4.333372276507617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.534,4.455667209997982,4.455667209997982,4.09185786866572,0.0,0.0,0.0,4.334397429553895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
