energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.563066347007692,4.107113577457731,4.53454844039624,0.0,0.0,0.03668347844490526,4.401576121620554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9056999999999995
0.0197,4.563087557107924,4.107129837848049,4.534568171152857,0.0,0.0,0.03668370858447489,4.401595188702943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0394,4.5631511895280354,4.107178620485497,4.534627365253668,0.0,0.0,0.03668439899823287,4.401652391755733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0592,4.56325789725802,4.107260425492777,4.534726629716104,0.0,0.0,0.036685556686356216,4.401748317488967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0789,4.563406613097961,4.107374433929806,4.534864971073912,0.0,0.0,0.03668716993006937,4.401882006033893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0986,4.563597783147598,4.107520986679223,4.535042803323547,0.0,0.0,0.03668924337322017,4.40205385771679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1183,4.563831426521812,4.107700096966424,4.535260142976545,0.0,0.0,0.036691776970765734,4.402263888821594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.138,4.564107566589635,4.107911780959703,4.535517010218621,0.0,0.0,0.03669477066739662,4.402512119255986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1578,4.564427957097096,4.108157380937554,4.535815034518083,0.0,0.0,0.03669824310239933,4.402800124184245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1775,4.564789393821526,4.108434438260971,4.536151233206313,0.0,0.0,0.036702159123966696,4.4031250217629365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1972,4.565193423140789,4.108744135634533,4.536527042314271,0.0,0.0,0.03670653501486325,4.403488200363197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2169,4.56564008554289,4.109086501064491,4.536942496808475,0.0,0.0,0.03671137067674813,4.403889694471952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2366,4.5661294258165235,4.109461565529649,4.5373976353672045,0.0,0.0,0.03671666599990663,4.404329542237792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2564,4.5666643029967915,4.109871516589712,4.537895113813827,0.0,0.0,0.036722451247483565,4.404810311133444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2761,4.567239367951532,4.110312250438803,4.538429953452994,0.0,0.0,0.03672866784860904,4.405327190614443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2958,4.567857271388775,4.110785794392967,4.539004615835985,0.0,0.0,0.03673534370956837,4.405882560539243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3155,4.568518075465015,4.111292191428253,4.539619154623317,0.0,0.0,0.036742478671646525,4.406476473838862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3352,4.5692218467156,4.111831487543206,4.540273627250607,0.0,0.0,0.03675007256287275,4.407108987169804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.355,4.569972556899318,4.112406720701076,4.54097172229582,0.0,0.0,0.03675816724376228,4.4077836666320716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3747,4.570762698767952,4.113012132776117,4.541706453613077,0.0,0.0,0.03676668074903957,4.408493761719049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3944,4.571596034307142,4.113650600478326,4.542481314249599,0.0,0.0,0.036775652581978055,4.409242649678355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4141,4.572472647798055,4.114322182045182,4.543296376929262,0.0,0.0,0.03678508251242436,4.4100304022575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4338,4.573392628011567,4.115026938807577,4.54415171824053,0.0,0.0,0.03679497029425209,4.4108570950198915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4536,4.57436106982332,4.115768766287891,4.545052068457014,0.0,0.0,0.03680536934610193,4.411727301522742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4733,4.575368289249008,4.116540239142321,4.545988417882276,0.0,0.0,0.03681617434575793,4.412632315424535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.493,4.576419169448874,4.11734509028467,4.546965299569555,0.0,0.0,0.036827436354338564,4.4135765197677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5127,4.5775138174523455,4.118183393612196,4.547982805810179,0.0,0.0,0.03683915505485756,4.414560005624907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5324,4.5786523449240955,4.119055226208496,4.549041032877624,0.0,0.0,0.03685133011072108,4.415582868003405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5522,4.579840983289065,4.119965350395295,4.550145764288566,0.0,0.0,0.03686402644450451,4.416650699324308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5719,4.5810678476603695,4.120904656881922,4.551285945912286,0.0,0.0,0.036877115430367854,4.417752816818193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5916,4.582338955296557,4.121877743672334,4.552467161913955,0.0,0.0,0.036890659633394045,4.4188946202942825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6113,4.583654436776124,4.122884700834385,4.553689524799086,0.0,0.0,0.03690465862955871,4.420076220803199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.631,4.5850144274948335,4.1239256217384685,4.554953151202639,0.0,0.0,0.03691911197056428,4.421297733478647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6508,4.586426312004447,4.125006146897402,4.556264892122825,0.0,0.0,0.0369340960108621,4.422565783674891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6705,4.5878759746277975,4.126115462402599,4.55761162318581,0.0,0.0,0.03694945889422543,4.423867686738736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6902,4.589370582774902,4.127259042375749,4.558999993452913,0.0,0.0,0.036965274618217726,4.425209872867854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7099,4.590910291563161,4.12843699368598,4.560430136442658,0.0,0.0,0.036981542626123534,4.426592473897267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7296,4.592495261149017,4.129649426645994,4.561902189981675,0.0,0.0,0.03699826233110747,4.428015625925561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7493,4.594125656777408,4.130896455043423,4.563416296244553,0.0,0.0,0.037015433114888786,4.429479469355128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7691,4.595810273018292,4.132184791228573,4.564980609727188,0.0,0.0,0.03703314492199958,4.430991891324685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7888,4.597532269879773,4.133501543061435,4.56657948092933,0.0,0.0,0.0370512181569298,4.432537764623512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8085,4.59930022050082,4.134853253515228,4.568220858686004,0.0,0.0,0.0370697404092761,4.434124777567351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8282,4.601114311036323,4.136240050631734,4.56990490301237,0.0,0.0,0.03708871092037477,4.435753088226809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8479,4.602974733003538,4.137662066101543,4.571631778491923,0.0,0.0,0.037108128892598666,4.4374228591990015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8677,4.604891482328144,4.139126923536902,4.573410748452686,0.0,0.0,0.03712809546100675,4.439143051439244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8874,4.606845401202215,4.140619966100962,4.575224018116569,0.0,0.0,0.03714840805855432,4.440896461806582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9071,4.608846259917951,4.142148645106915,4.577080641505772,0.0,0.0,0.03716916546849953,4.442691848843546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9268,4.610894272094454,4.143713107255249,4.578980802002373,0.0,0.0,0.037190366719512646,4.444529393784026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9465,4.612989657035536,4.145313503099402,4.580924687815531,0.0,0.0,0.0372120107921244,4.446409282650156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9663,4.615143639696419,4.146958386443314,4.5829226947844255,0.0,0.0,0.03723420985245029,4.448341573641386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.986,4.617334694556293,4.14863130137921,4.584954839906768,0.0,0.0,0.03725673854066305,4.450306945280757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0057,4.619573816134434,4.150340626076822,4.587031305554627,0.0,0.0,0.03727970667611657,4.452315249255294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0254,4.621861247232211,4.152086526982313,4.589152299855443,0.0,0.0,0.03730311302507331,4.454366691356655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0451,4.624197236711473,4.153869174632314,4.591318036065054,0.0,0.0,0.03732695629450929,4.456461482469614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0649,4.6265942701385665,4.155698074584867,4.593540069514329,0.0,0.0,0.037351359481150315,4.458610804745921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0846,4.629028397408542,4.157554932745565,4.595796180093378,0.0,0.0,0.03737607466279996,4.460793170082495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
