energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,1.7457904428349666,1.7457904428349666,1.735261599261908,0.0,0.0,0.0,1.742280828310614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4595
0.0165,1.7457910426143828,1.7457910426143828,1.7352621879114727,0.0,0.0,0.0,1.7422814243800795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.033,1.745792841959576,1.745792841959576,1.7352639538669632,0.0,0.0,0.0,1.7422832125953718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0495,1.7457958408913696,1.7457958408913696,1.7352668971487817,0.0,0.0,0.0,1.7422861929771738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0659,1.7458000103853952,1.7458000103853952,1.7352709892710956,0.0,0.0,0.0,1.7422903366806288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0824,1.7458054013374498,1.7458054013374498,1.7352762801851496,0.0,0.0,0.0,1.742295694286683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0989,1.7458119920214112,1.7458119920214112,1.7352827485678906,0.0,0.0,0.0,1.742302244203571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1154,1.7458197825135442,1.7458197825135442,1.735290394494016,0.0,0.0,0.0,1.7423099865070348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1319,1.745828772903993,1.745828772903993,1.7352992180518496,0.0,0.0,0.0,1.7423189212866117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1484,1.7458389632968014,1.7458389632968014,1.7353092193433122,0.0,0.0,0.0,1.7423290486456384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
