energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.218475316812716,4.218475316812716,4.059220989074914,0.0,0.0,0.0,4.165390540900115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2582999999999998
0.0195,4.218503778125882,4.218503778125882,4.059244117733283,0.0,0.0,0.0,4.165417224661682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.039,4.218589166988917,4.218589166988917,4.059313507104795,0.0,0.0,0.0,4.165497280360876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0586,4.218732374871345,4.218732374871345,4.059429879787984,0.0,0.0,0.0,4.165631543176891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0781,4.2189319652298085,4.2189319652298085,4.059592065386641,0.0,0.0,0.0,4.165818665282086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0976,4.219188557246016,4.219188557246016,4.05980056281567,0.0,0.0,0.0,4.166059225769234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1171,4.219502195361741,4.219502195361741,4.060055402724998,0.0,0.0,0.0,4.166353264482827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1367,4.219874982424354,4.219874982424354,4.06035828692036,0.0,0.0,0.0,4.16670275058969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1562,4.220303179083005,4.220303179083005,4.060706169285959,0.0,0.0,0.0,4.167104175817323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1757,4.220788615176465,4.220788615176465,4.061100527428401,0.0,0.0,0.0,4.167559252593777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
