energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.598766799505508,3.5632686232523785,3.560247838594831,0.0,0.0,-0.015576579630141928,3.574094420450906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0153
0.02,3.598779177280914,3.5632808837060916,3.560259976883233,0.0,0.0,-0.015576752381375273,3.5741066792900793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.99502382865361,0.0,
0.0399,3.5988160644978064,3.5633174212995526,3.5602961504015695,0.0,0.0,-0.01557726720864211,3.5741432120663092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.7334133038201,0.0,
0.0599,3.5988778353122988,3.563378606669609,3.56035672606918,0.0,0.0,-0.015578129359340477,3.574204389350363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757.7535866860363,0.0,
0.0799,3.598964371995468,3.5634643232483985,3.5604415884389224,0.0,0.0,-0.015579337232846845,3.5742900945609293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.798977216092,0.0,
0.0999,3.5990756825906733,3.563574579066366,3.560550745404024,0.0,0.0,-0.015580891000949487,3.5744003356870215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263.8780117562064,0.0,
0.1198,3.5992110353013334,3.5637086493415615,3.5606834793337043,0.0,0.0,-0.01558278052388945,3.5745343879921996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1515.7333990956063,0.0,
0.1398,3.599371803054495,3.563867894092137,3.5608411366005774,0.0,0.0,-0.015585025060990519,3.5746936112490695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1768.9047546180288,0.0,
0.1598,3.5995573826127547,3.5640517159145504,3.5610231256489504,0.0,0.0,-0.01558761630224166,3.5748774080587515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.1350352634674,0.0,
0.1798,3.599767791248882,3.5642601320541716,3.561229463429366,0.0,0.0,-0.015590554616790804,3.5750857955774733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2275.432701497263,0.0,
0.1997,3.6000018104235054,3.564491935661167,3.5614589549912465,0.0,0.0,-0.015593823129308364,3.5753175670253063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2527.5391556952413,0.0,
0.2197,3.6002618139108833,3.5647494782084643,3.5617139281981176,0.0,0.0,-0.015597455155788411,3.5755750734391554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2780.9965822464796,0.0,
