energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.1483460558735152,3.1207324933031177,3.097476304935113,0.0,0.0,0.006577090377703248,3.1221849513705826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0667
0.0195,3.148352316130535,3.1207386541585818,3.0974822943723512,0.0,0.0,0.006577130083024209,3.1221910882204895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0389,3.148370968952724,3.120757010808059,3.0975001402668685,0.0,0.0,0.006577248387853538,3.122209373342551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0584,3.1484022075489904,3.1207877533932327,3.0975300274586224,0.0,0.0,0.006577446518740615,3.122239996133615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0778,3.148445713032269,3.1208305680915496,3.0975716508383373,0.0,0.0,0.0065777224550124455,3.122282643987385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0973,3.1485019360395596,3.1208858983863146,3.0976254415231264,0.0,0.0,0.006578079057496529,3.122337758649667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1168,3.148570687174796,3.1209535578908016,3.0976912182784777,0.0,0.0,0.006578515128343962,3.122405154448025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1362,3.1486515209894286,3.1210331082317424,3.097768554888994,0.0,0.0,0.006579027846262719,3.1224843947033882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1557,3.14874527477539,3.121125373409576,3.0978582523759672,0.0,0.0,0.0065796225269733576,3.122576300186978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1751,3.148850991487232,3.1212294115780947,3.0979593950483024,0.0,0.0,0.006580293105536332,3.122679932704543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1946,3.148969766161156,3.121346300390655,3.098073030503176,0.0,0.0,0.006581046534340627,3.1227963656849957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2141,3.1491010918324656,3.1214755409364656,3.0981986736427913,0.0,0.0,0.006581879604845433,3.122925102137241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
