energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.6038489587327223,2.5703956922731273,2.4318758535329996,0.0,0.0,0.054106022769146556,2.5353735015129497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9021
0.0208,2.6038521750350956,2.570398782240811,2.4318785560606013,0.0,0.0,0.054106209055195136,2.535376504445503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0415,2.6038617622694122,2.570407992893406,2.431886611815849,0.0,0.0,0.054106764345037854,2.5353854556595556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0623,2.6038778133823093,2.5704234135261346,2.4319000988784563,0.0,0.0,0.05410769403340772,2.535400441928967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.083,2.603900174559871,2.5704448963660216,2.431918887972966,0.0,0.0,0.05410898923002197,2.535421319632953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1038,2.603929062590027,2.5704726496844823,2.431943161211114,0.0,0.0,0.054110662517940285,2.5354482911618743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1245,2.603964200645944,2.5705064075269073,2.4319726859304858,0.0,0.0,0.05411269789611588,2.5354810980344458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1453,2.6040059293855107,2.5705464971683876,2.4320077482971536,0.0,0.0,0.05411511513862798,2.535520058283684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1661,2.6040540959061667,2.5705927717102117,2.4320482197498596,0.0,0.0,0.05411790543789129,2.535565029122079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1868,2.6041084238608967,2.570644965657856,2.432093867995168,0.0,0.0,0.054121052840470356,2.53561575250464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2076,2.604169439951387,2.570703585021328,2.43214513547575,0.0,0.0,0.054124587924068684,2.5356727201494884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2283,2.604236559477063,2.570768068064165,2.432201530786594,0.0,0.0,0.05412847688414744,2.5357353861092737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2491,2.6043104331529525,2.5708390399376246,2.432263600536264,0.0,0.0,0.054132757502912576,2.5358043578756138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2698,2.604390353068826,2.5709158205348936,2.4323307497794273,0.0,0.0,0.054137388846714846,2.535878974461049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2906,2.6044770940390896,2.5709991542310124,2.4324036293575055,0.0,0.0,0.054142415910364255,2.5359599592092024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3114,2.6045702883440343,2.571088687746177,2.432481930131722,0.0,0.0,0.05414781748799699,2.5360469687406444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3321,2.604669444522206,2.5711839489196766,2.4325652389995467,0.0,0.0,0.05415356520011307,2.5361395441471433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3529,2.6047755238843022,2.571285861295496,2.4326543634310083,0.0,0.0,0.05415971488771745,2.536238582870269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3736,2.60488750990739,2.571393448276308,2.4327484491624034,0.0,0.0,0.05416620774472986,2.5363431357820336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3944,2.6050064882890265,2.57150775290564,2.432848408120213,0.0,0.0,0.054173106851817886,2.5364542164382935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4152,2.6051319375100794,2.571628274144775,2.4329538019007524,0.0,0.0,0.05418038211468669,2.536571337851869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4359,2.605263211975172,2.5717543917532035,2.4330640878760357,0.0,0.0,0.05418799623409186,2.53669389720147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4567,2.605401584387348,2.5718873284319335,2.4331803349972847,0.0,0.0,0.05419602318486364,2.536823082605522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4774,2.6055457287793677,2.5720258102955054,2.4333014290345054,0.0,0.0,0.054204386210826815,2.5369576560364595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4982,2.6056970426323054,2.5721711799197493,2.4334285436995984,0.0,0.0,0.05421316656334277,2.5370989220838847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5189,2.605854075971032,2.5723220442833066,2.43356046060043,0.0,0.0,0.05422228028256752,2.53724552695159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5397,2.606018351240266,2.572479866014918,2.4336984583539354,0.0,0.0,0.05423181591390704,2.5373988918697066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5605,2.6061891308921767,2.572643936532984,2.4338419170340355,0.0,0.0,0.05424173085228485,2.5375583281530654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5812,2.606365552661588,2.57281342743923,2.4339901119912826,0.0,0.0,0.05425197522758402,2.5377230306973666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.602,2.6065493269745947,2.572989981956085,2.4341444796261547,0.0,0.0,0.05426264857144434,2.5378945961856116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6227,2.6067386928182135,2.5731719082456506,2.434303540339165,0.0,0.0,0.05427364882486706,2.538071380467676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6435,2.6069354861202183,2.5733609700994573,2.4344688358541027,0.0,0.0,0.05428508286435797,2.538255097357926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6642,2.607137821121598,2.5735553558357074,2.4346387818345567,0.0,0.0,0.05429684135812671,2.538443986263954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.685,2.6073476594966283,2.573756950049935,2.434815025517934,0.0,0.0,0.054309038550700545,2.5386398783548327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7058,2.6075640464916905,2.5739648354888924,2.4349967645382344,0.0,0.0,0.05432161921663596,2.5388418821729393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7265,2.607785901790445,2.5741779742716635,2.4351830911482715,0.0,0.0,0.054334520786001185,2.5390489890701264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7473,2.60801537633557,2.574398432822349,2.4353758113693234,0.0,0.0,0.0543478686113023,2.539263206842414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.768,2.60825027122878,2.5746240986269,2.435573078021677,0.0,0.0,0.05436153506453816,2.5394824826257856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7888,2.608492863846747,2.5748571595730705,2.4357768031744236,0.0,0.0,0.05437565293136217,2.5397089421980805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8095,2.6087408296021053,2.5750953823982874,2.43598503417698,0.0,0.0,0.05439008722242509,2.5399404153924574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8303,2.6089965726107325,2.5753410767468257,2.436199789383336,0.0,0.0,0.05440497818548788,2.5401791462469645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8511,2.6092589193831945,2.5755931152263214,2.436420082795495,0.0,0.0,0.054420257831906516,2.540424039135004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8718,2.6095265698135237,2.5758502488058284,2.4366448222147117,0.0,0.0,0.054435850729207834,2.540673880278021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8926,2.6098021188905047,2.5761149704977617,2.4368761860251515,0.0,0.0,0.0544519083853898,2.5409310918044725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9133,2.6100829262681446,2.5763847436946086,2.4371119566950137,0.0,0.0,0.054468277268508655,2.541193208885922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9341,2.6103717145147285,2.5766621839716457,2.4373544195458434,0.0,0.0,0.054485116428557245,2.541462772677406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9548,2.610665716442732,2.576944632867238,2.437601250678606,0.0,0.0,0.054502264863644866,2.541737199996192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9756,2.6109677825670143,2.5772348288718376,2.43785484263719,0.0,0.0,0.05451988920072561,2.5420191513586805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9964,2.611276518772072,2.5775314326409493,2.4381140243197534,0.0,0.0,0.05453790851092139,2.5423073252442587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0171,2.61159040305864,2.5778329819756007,2.4383775174388767,0.0,0.0,0.05455623430160443,2.5426003008243723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0379,2.611912478744249,2.578142400586338,2.438647876066507,0.0,0.0,0.05457504464380883,2.542900918465698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0586,2.6122396597329853,2.5784567236446807,2.4389225089734783,0.0,0.0,0.05459415969565087,2.5432062974503817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0794,2.6125751182862302,2.5787789987334326,2.4392040782278346,0.0,0.0,0.05461376520033642,2.543519398415832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1002,2.6129173013150924,2.5791077337867003,2.4394912794329544,0.0,0.0,0.05463377085672347,2.543838771511582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1209,2.6132645268075594,2.5794413128867992,2.439782700199416,0.0,0.0,0.05465407870119429,2.544162846631258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1417,2.6136201614106502,2.5797829703559367,2.440081165351187,0.0,0.0,0.05467488607242296,2.5444947657059247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
