energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.348566043957065,2.348566043957065,2.4802692052030184,0.0,0.0,0.0,2.392467097705716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.700099999999999
0.0191,2.348568882434477,2.348568882434477,2.4802725595528674,0.0,0.0,0.0,2.392470108140607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0383,2.348577457496173,2.348577457496173,2.4802826930704738,0.0,0.0,0.0,2.3924792026876065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0574,2.348591680137896,2.348591680137896,2.4802995005799087,0.0,0.0,0.0,2.3924942869519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0766,2.348611699823988,2.348611699823988,2.480323158716664,0.0,0.0,0.0,2.39251551945488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0957,2.348637308761646,2.348637308761646,2.48035342193269,0.0,0.0,0.0,2.3925426798186606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1149,2.3486687760728193,2.3486687760728193,2.480390608273991,0.0,0.0,0.0,2.39257605347321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.134,2.348705775145273,2.348705775145273,2.480434331783487,0.0,0.0,0.0,2.3926152940246777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1532,2.348748694799267,2.348748694799267,2.4804850519662667,0.0,0.0,0.0,2.3926608138549335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1723,2.3487970895545067,2.3487970895545067,2.480542242398121,0.0,0.0,0.0,2.392712140502378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1915,2.348851467988333,2.348851467988333,2.480606504113413,0.0,0.0,0.0,2.3927698133633597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2106,2.3489112656861515,2.3489112656861515,2.4806771701415737,0.0,0.0,0.0,2.3928332338379588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2298,2.348977111059259,2.348977111059259,2.48075498313806,0.0,0.0,0.0,2.3929030684188595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2489,2.3490483206747292,2.3490483206747292,2.4808391354855113,0.0,0.0,0.0,2.392978592278323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2681,2.349125642872921,2.349125642872921,2.4809305115740092,0.0,0.0,0.0,2.393060599106617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2872,2.3492082751007777,2.3492082751007777,2.4810281630177324,0.0,0.0,0.0,2.3931482377397626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3063,2.34929660825601,2.34929660825601,2.481132551802341,0.0,0.0,0.0,2.3932419227714536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3255,2.349391153000819,2.349391153000819,2.481244281453537,0.0,0.0,0.0,2.393342195818392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3446,2.349490928027958,2.349490928027958,2.4813621923422198,0.0,0.0,0.0,2.393448016132712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3638,2.349596981878962,2.349596981878962,2.48148752364893,0.0,0.0,0.0,2.393560495802285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3829,2.349708213794095,2.349708213794095,2.48161897457884,0.0,0.0,0.0,2.39367846738901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4021,2.3498257927203277,2.3498257927203277,2.481757926615885,0.0,0.0,0.0,2.3938031706855134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4212,2.349948498281013,2.349948498281013,2.4819029376029844,0.0,0.0,0.0,2.3939333113883365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4404,2.350077620006063,2.350077620006063,2.4820555315394266,0.0,0.0,0.0,2.394070257183851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4595,2.3502118177194755,2.3502118177194755,2.4822141246877987,0.0,0.0,0.0,2.3942125867089166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4787,2.3503525017301676,2.3503525017301676,2.4823803837967624,0.0,0.0,0.0,2.3943617957523657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4978,2.35049821186215,2.35049821186215,2.482552583308876,0.0,0.0,0.0,2.3945163356777255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.517,2.3506504794180283,2.3506504794180283,2.4827325329784014,0.0,0.0,0.0,2.3946778306048193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5361,2.3508077240029657,2.3508077240029657,2.4829183651663325,0.0,0.0,0.0,2.3948446043907547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5552,2.3509707295438806,2.3509707295438806,2.483111006387597,0.0,0.0,0.0,2.3950174884917863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5744,2.351140400998391,2.351140400998391,2.483311526208936,0.0,0.0,0.0,2.3951974427352396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5935,2.3513149773503685,2.3513149773503685,2.4835178435169505,0.0,0.0,0.0,2.3953825994058957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6127,2.351496293290396,2.351496293290396,2.4837321266602297,0.0,0.0,0.0,2.395574904413674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6318,2.3516824669561185,2.3516824669561185,2.4839521516943046,0.0,0.0,0.0,2.3957723618688473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.651,2.351875454931279,2.351875454931279,2.4841802310467136,0.0,0.0,0.0,2.395977046969757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6701,2.352073254223744,2.352073254223744,2.484413997603227,0.0,0.0,0.0,2.3961868353502385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6893,2.3522779436104,2.3522779436104,2.4846559082282043,0.0,0.0,0.0,2.396403931816335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7084,2.3524873986669252,2.3524873986669252,2.4849034522765,0.0,0.0,0.0,2.3966260832034503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7276,2.3527038206827178,2.3527038206827178,2.4851592314301953,0.0,0.0,0.0,2.39685562426521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7467,2.3529249634799125,2.3529249634799125,2.485420591129524,0.0,0.0,0.0,2.3970901726964495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7659,2.3531531511992716,2.3531531511992716,2.48569027827846,0.0,0.0,0.0,2.397332193559001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.785,2.353386015568982,2.353386015568982,2.4859654939961136,0.0,0.0,0.0,2.3975791750446924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8042,2.353626003939663,2.353626003939663,2.486249130835829,0.0,0.0,0.0,2.3978337129050518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8233,2.3538706255858637,2.3538706255858637,2.48653824516624,0.0,0.0,0.0,2.398093165445989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8424,2.3541211244513414,2.3541211244513414,2.4868343072746844,0.0,0.0,0.0,2.3983588520591224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8616,2.354378867963132,2.354378867963132,2.487138933426263,0.0,0.0,0.0,2.398632223117509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8807,2.3546411811592174,2.3546411811592174,2.487448962198279,0.0,0.0,0.0,2.398910441505571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8999,2.3549108209517335,2.3549108209517335,2.487767652101295,0.0,0.0,0.0,2.399196431334921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.919,2.3551849889408696,2.3551849889408696,2.488091695787552,0.0,0.0,0.0,2.3994872245564305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9382,2.3554665666604886,2.3554665666604886,2.4884244990999638,0.0,0.0,0.0,2.399785877473647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9573,2.3557526318444553,2.3557526318444553,2.4887626082543712,0.0,0.0,0.0,2.400089290647761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9765,2.3560461910977977,2.3560461910977977,2.4891095769615497,0.0,0.0,0.0,2.400400653052382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9956,2.356344197839329,2.356344197839329,2.489461804465681,0.0,0.0,0.0,2.4007167333814463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0148,2.35664978421549,2.35664978421549,2.489822992905551,0.0,0.0,0.0,2.4010408537788437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0339,2.356959778860965,2.356959778860965,2.490189393994253,0.0,0.0,0.0,2.401369650572061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0531,2.3572774399549212,2.3572774399549212,2.4905648588837312,0.0,0.0,0.0,2.401706579597858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0722,2.3575994708582027,2.3575994708582027,2.4909454911720355,0.0,0.0,0.0,2.4020481442961468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0914,2.3579292562953067,2.3579292562953067,2.491335291634663,0.0,0.0,0.0,2.402397934741759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1105,2.358263373842741,2.358263373842741,2.4917302151459904,0.0,0.0,0.0,2.4027523209438244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1296,2.3586035384021793,2.3586035384021793,2.492132288799943,0.0,0.0,0.0,2.4031131218681003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1488,2.35895159194106,2.35895159194106,2.492543689936606,0.0,0.0,0.0,2.403482291272909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1679,2.3593039225214416,2.3593039225214416,2.4929601493445332,0.0,0.0,0.0,2.403855998129139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1871,2.359664233448716,2.359664233448716,2.4933860444990747,0.0,0.0,0.0,2.404238170465502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2062,2.3600287856319837,2.3600287856319837,2.4938169558340815,0.0,0.0,0.0,2.4046248423660166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
