energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.2093387785034455,2.2093387785034455,2.2755391606976243,0.0,0.0,0.0,2.2314055725681716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0024
0.0197,2.209340774414673,2.209340774414673,2.275541295551777,0.0,0.0,0.0,2.231407614793708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0394,2.20934676220213,2.20934676220213,2.275547700171106,0.0,0.0,0.0,2.231413741525122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0591,2.2093567420271394,2.2093567420271394,2.275558374726261,0.0,0.0,0.0,2.2314239529268467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0789,2.209370795267878,2.209370795267878,2.2755734062572177,0.0,0.0,0.0,2.2314383322643248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0986,2.2093887803507415,2.2093887803507415,2.2755926433305182,0.0,0.0,0.0,2.2314567346773337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1183,2.209410758603286,2.209410758603286,2.2756161515371955,0.0,0.0,0.0,2.2314792229145892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.138,2.209436730617775,2.209436730617775,2.275643931503727,0.0,0.0,0.0,2.231505797579759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1577,2.209466697094166,2.209466697094166,2.275675983970517,0.0,0.0,0.0,2.231536459386283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1774,2.2095006588401915,2.2095006588401915,2.275712309791949,0.0,0.0,0.0,2.231571209157444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1971,2.2095386167713817,2.2095386167713817,2.275752909936453,0.0,0.0,0.0,2.2316100478264054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2169,2.2095807950800275,2.2095807950800275,2.275798024189609,0.0,0.0,0.0,2.231653204783221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2366,2.2096267688590903,2.2096267688590903,2.2758471980539996,0.0,0.0,0.0,2.2317002452573935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2563,2.2096767422242616,2.2096767422242616,2.2759006498387757,0.0,0.0,0.0,2.2317513780957663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.276,2.2097307165237643,2.2097307165237643,2.275958380969991,0.0,0.0,0.0,2.2318066046725065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2957,2.2097886932141244,2.2097886932141244,2.2760203929882126,0.0,0.0,0.0,2.2318659264721536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3154,2.2098506738602506,2.2098506738602506,2.2760866875486494,0.0,0.0,0.0,2.231929345089717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3351,2.2099166601355846,2.2099166601355846,2.2761572664212997,0.0,0.0,0.0,2.231996862230823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3549,2.2099870193460767,2.2099870193460767,2.27623252245405,0.0,0.0,0.0,2.232068853715401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3746,2.210061042691855,2.210061042691855,2.276311697493691,0.0,0.0,0.0,2.232144594292467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3943,2.210139077350264,2.210139077350264,2.2763951628566526,0.0,0.0,0.0,2.232224439185727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.414,2.210221125430926,2.210221125430926,2.276482920774095,0.0,0.0,0.0,2.2323083905453154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4337,2.2103071891527533,2.2103071891527533,2.2765749735927794,0.0,0.0,0.0,2.2323964506327623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4534,2.2103972708441733,2.2103972708441733,2.2766713237752074,0.0,0.0,0.0,2.232488621821185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4731,2.2104913729432862,2.2104913729432862,2.276771973899848,0.0,0.0,0.0,2.2325849065954735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4929,2.210590006361676,2.210590006361676,2.2768774703970314,0.0,0.0,0.0,2.2326858277067942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5126,2.210692177471802,2.210692177471802,2.276986750468776,0.0,0.0,0.0,2.2327903684707935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5323,2.2107983769784503,2.2107983769784503,2.2771003389311306,0.0,0.0,0.0,2.232899030962677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.552,2.210908607761129,2.210908607761129,2.2772182388291062,0.0,0.0,0.0,2.2330118181171215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5717,2.2110228728101364,2.2110228728101364,2.2773404533248423,0.0,0.0,0.0,2.233128732981705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5914,2.211141175226804,2.211141175226804,2.277466985697779,0.0,0.0,0.0,2.2332497787171293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6111,2.211263518223742,2.211263518223742,2.2775978393449674,0.0,0.0,0.0,2.2333749585974836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6309,2.2113905570046324,2.2113905570046324,2.2777337150047647,0.0,0.0,0.0,2.2335049430046765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6506,2.211521011800315,2.211521011800315,2.27787324384451,0.0,0.0,0.0,2.233638422481713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
