energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.686952326986685,3.6357288929045133,3.6455910427269416,0.0,0.0,0.008630326146177708,3.6560907542060463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.344399999999999
0.0192,3.686964137851748,3.6357405450766422,3.645602633651342,0.0,0.0,0.008630400534851375,3.656102438859911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0384,3.686999571377939,3.6357755025262497,3.6456374073425217,0.0,0.0,0.008630623708392326,3.6561374937489037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0576,3.687058630358571,3.6358337680532653,3.6456953665546474,0.0,0.0,0.008630995689363116,3.656195921655495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0768,3.6871413194498235,3.635915346324941,3.645776515878767,0.0,0.0,0.008631516515374252,3.656277727217844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0959,3.687247030145341,3.636019637110913,3.6458802581693344,0.0,0.0,0.008632182365105165,3.6563823084751963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1151,3.6873768777078997,3.6361477408257357,3.646007687960782,0.0,0.0,0.008633000278212484,3.6565107688314726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1343,3.687530380481972,3.6362991824460686,3.6461583326139237,0.0,0.0,0.008633967239130477,3.6566626318473214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1535,3.6877075505808548,3.636473974114297,3.646332204072648,0.0,0.0,0.008635083345723415,3.656837909589266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1727,3.6879084019905943,3.636672129850238,3.6465293161274523,0.0,0.0,0.008636348710993518,3.657036615989428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1919,3.6881329505731006,3.636893665554298,3.64674968441856,0.0,0.0,0.008637763463110914,3.6572587668486527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2111,3.688381214070007,3.6371385990114202,3.6469933264397247,0.0,0.0,0.008639327745447433,3.6575043798403843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2303,3.6886532121067397,3.637406949895179,3.6472602615423413,0.0,0.0,0.008641041716615045,3.6577734745147534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2495,3.688948966197137,3.6376987397726093,3.6475505109398942,0.0,0.0,0.008642905550508017,3.6580660723032135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2686,3.6892667738652873,3.6380122893451947,3.6478624039486163,0.0,0.0,0.008644908558289128,3.6583804890530325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2878,3.689609988131745,3.63835090710935,3.6481992313041625,0.0,0.0,0.008647071917536466,3.658720042181752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.307,3.6899770342297704,3.638713039835372,3.6485594476759875,0.0,0.0,0.008649385752181927,3.6590831739137095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3262,3.690367941271721,3.6390987167100124,3.6489430817710455,0.0,0.0,0.008651850297672042,3.6594699132509265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3454,3.6907827402881033,3.6395079688437737,3.649350164187941,0.0,0.0,0.008654465805007958,3.659880291106606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3646,3.691221464234779,3.639940829278339,3.6497807274242455,0.0,0.0,0.008657232540813072,3.6603143403124547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3838,3.6916841480007943,3.6403973329946107,3.650234805884205,0.0,0.0,0.008660150787404335,3.660772095626536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
