energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.0531883238426576,3.01441847262867,3.079692341049609,0.0,0.0,0.0,3.049099712506979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8418
0.0193,3.0531948326141714,3.014424898472021,3.0796989979362865,0.0,0.0,0.0,3.0491062430074933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0386,3.053214359360463,3.014444176437418,3.079718969029448,0.0,0.0,0.0,3.049125834942443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0579,3.053246905376746,3.014476307830952,3.079752255628647,0.0,0.0,0.0,3.0491584896121147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0771,3.0532922031570844,3.0145210285995887,3.079798584099358,0.0,0.0,0.0,3.049203938618677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0964,3.0533507275615417,3.0145788076180926,3.079858440047915,0.0,0.0,0.0,3.0492626584091833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1157,3.053422280284764,3.014649449189385,3.0799316205809286,0.0,0.0,0.0,3.049334450018359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.135,3.0535068660768987,3.014732958103431,3.080018130463975,0.0,0.0,0.0,3.049419318214768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1543,3.0536044905553297,3.014829340024798,3.0801179753325094,0.0,0.0,0.0,3.049517268637546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1736,3.0537151602060275,3.0149386014938764,3.080231161693181,0.0,0.0,0.0,3.049628307797695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
