energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.632800350940467,3.566461471265842,3.5942740734922025,0.0,0.0,0.0030170749654568306,3.5978452985661704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.363899999999999
0.0197,3.632810903477618,3.566471678622098,3.5942844089423223,0.0,0.0,0.003017093427411775,3.5978556636806793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0393,3.6328423478311875,3.5665020944067902,3.594315206420166,0.0,0.0,0.0030171484402893214,3.597886549552715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.059,3.6328950070800285,3.5665530311244575,3.5943667823529752,0.0,0.0,0.0030172405696675614,3.5979382735191536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0786,3.6329683502835506,3.566623975191899,3.59443861671411,0.0,0.0,0.0030173688872109886,3.5980103140631865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0983,3.633063131016668,3.566715655519402,3.5945314475634875,0.0,0.0,0.0030175347121328007,3.5981034113665196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1179,3.6331783936481274,3.5668271477174374,3.594644338914063,0.0,0.0,0.003017736373513093,3.5982166267598763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1376,3.633315322463255,3.56695959730881,3.5947784506678406,0.0,0.0,0.0030179759446080667,3.5983511234799685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1573,3.6334733926666214,3.567112496638165,3.5949332688030595,0.0,0.0,0.0030182525087374987,3.5985063860359485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1769,3.633651652218241,3.567284924779052,3.595107860840937,0.0,0.0,0.0030185644018589433,3.59868147927941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
