energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.8379723195230215,3.8379723195230215,4.144696798967374,0.0,0.0,0.0,3.9402138126711392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4816000000000003
0.0203,3.83798942566852,3.83798942566852,4.144716530794558,0.0,0.0,0.0,3.940231794043866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0405,3.838040409508906,3.838040409508906,4.144775340282445,0.0,0.0,0.0,3.9402853864334184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0608,3.838125782038372,3.838125782038372,4.144873816740374,0.0,0.0,0.0,3.9403751269390397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.081,3.838244712419009,3.838244712419009,4.145011001607649,0.0,0.0,0.0,3.9405001421485557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1013,3.8383983926568956,3.8383983926568956,4.145188269572635,0.0,0.0,0.0,3.940661684962142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1215,3.8385853271607338,3.8385853271607338,4.145403895137308,0.0,0.0,0.0,3.940858183152925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1418,3.838807389540652,3.838807389540652,4.145660039039612,0.0,0.0,0.0,3.9410916060403047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1621,3.839063765834071,3.839063765834071,4.14595576186614,0.0,0.0,0.0,3.941361097844761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1823,3.839352970924764,3.839352970924764,4.146289349989265,0.0,0.0,0.0,3.9416650972795977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2026,3.8396779035260713,3.8396779035260713,4.146664146292922,0.0,0.0,0.0,3.942006651115021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2228,3.840035401564739,3.840035401564739,4.147076502696265,0.0,0.0,0.0,3.9423824352752477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2431,3.8404290483286077,3.8404290483286077,4.147530551496093,0.0,0.0,0.0,3.9427962160511023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2633,3.8408550131405708,3.8408550131405708,4.148021873299298,0.0,0.0,0.0,3.943243966526813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
