energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.674926594845297,3.674926594845297,3.928347430853876,0.0,0.0,0.0,3.759400206848157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.985899999999999
0.0245,3.6749405761912546,3.6749405761912546,3.9283640380000495,0.0,0.0,0.0,3.759415063460853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0491,3.674982749961655,3.674982749961655,3.9284141324274326,0.0,0.0,0.0,3.7594598774502472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0736,3.6750527769613783,3.6750527769613783,3.9284973115676576,0.0,0.0,0.0,3.759534288496805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0981,3.6751507776746006,3.6751507776746006,3.928613719083048,0.0,0.0,0.0,3.7596384248107495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1226,3.6752767606632952,3.6752767606632952,3.9287633659137926,0.0,0.0,0.0,3.7597722957467945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1472,3.675431422791224,3.675431422791224,3.9289470808225153,0.0,0.0,0.0,3.759936642134988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1717,3.675613520152859,3.675613520152859,3.929163387455729,0.0,0.0,0.0,3.760130142587149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1962,3.675823640241357,3.675823640241357,3.9294129850945767,0.0,0.0,0.0,3.7603534218590973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2208,3.676062831011832,3.676062831011832,3.929697120272933,0.0,0.0,0.0,3.760607594098866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2453,3.6763291687429107,3.6763291687429107,3.9300135096825084,0.0,0.0,0.0,3.760890615722777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2698,3.67662359183559,3.67662359183559,3.9303632701431717,0.0,0.0,0.0,3.7612034846047835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2943,3.6769461260847653,3.6769461260847653,3.930746434623174,0.0,0.0,0.0,3.7615462289309014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3189,3.6772982887901775,3.6772982887901775,3.931164808266761,0.0,0.0,0.0,3.761920461949039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3434,3.677677247713787,3.677677247713787,3.9316150291257372,0.0,0.0,0.0,3.7623231748511032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
