energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.5506737172517937,2.5506737172517937,2.3170659228551145,0.0,0.0,0.0,2.4728044524529005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7703
0.0199,2.5506766471813003,2.5506766471813003,2.317068191744693,0.0,0.0,0.0,2.4728071620357643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0399,2.5506854960299936,2.5506854960299936,2.317075044142019,0.0,0.0,0.0,2.4728153454006687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0598,2.550700175587088,2.550700175587088,2.3170864117184395,0.0,0.0,0.0,2.472828920964205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0798,2.5507208338519662,2.5507208338519662,2.3171024090488044,0.0,0.0,0.0,2.4728480255842453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0997,2.550747264890386,2.550747264890386,2.3171228766158376,0.0,0.0,0.0,2.47287246879887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1197,2.5507797351803516,2.5507797351803516,2.317148020714084,0.0,0.0,0.0,2.472902497024929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1396,2.550817921038309,2.550817921038309,2.3171775906194574,0.0,0.0,0.0,2.4729378108986917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1595,2.5508619712857614,2.5508619712857614,2.317211701490243,0.0,0.0,0.0,2.472978548020589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1795,2.550912152956147,2.550912152956147,2.3172505600062943,0.0,0.0,0.0,2.473024955306196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1994,2.550967965808786,2.550967965808786,2.317293778690785,0.0,0.0,0.0,2.4730765701027857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2194,2.5510299725506993,2.5510299725506993,2.317341793149758,0.0,0.0,0.0,2.4731339127503857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2393,2.5510975550626425,2.5510975550626425,2.3173941246085965,0.0,0.0,0.0,2.4731964115779603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2593,2.551171394714655,2.551171394714655,2.317451300522608,0.0,0.0,0.0,2.4732646966506393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2792,2.5512507554312567,2.5512507554312567,2.317512750764699,0.0,0.0,0.0,2.4733380872090707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2991,2.5513359941493983,2.5513359941493983,2.317578751544061,0.0,0.0,0.0,2.4734169132809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3191,2.5514275862931797,2.5514275862931797,2.3176496707849426,0.0,0.0,0.0,2.4735016144571005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.339,2.5515246188226848,2.5515246188226848,2.317724801320844,0.0,0.0,0.0,2.473591346322071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.359,2.5516280700288085,2.5516280700288085,2.317804900404626,0.0,0.0,0.0,2.4736870134874143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3789,2.551736908656304,2.551736908656304,2.3178891693349954,0.0,0.0,0.0,2.4737876622158677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3988,2.5518516405985316,2.5518516405985316,2.3179779995683,0.0,0.0,0.0,2.473893760255121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4188,2.551972890545633,2.551972890545633,2.31807187449349,0.0,0.0,0.0,2.4740058851949187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4387,2.552099449819684,2.552099449819684,2.318169858047452,0.0,0.0,0.0,2.47412291922894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4587,2.5522325944108006,2.5522325944108006,2.318272937827288,0.0,0.0,0.0,2.4742460422162966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4786,2.5523709970732167,2.5523709970732167,2.3183800859870876,0.0,0.0,0.0,2.4743740267111733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4986,2.5525160532079476,2.5525160532079476,2.3184923824985324,0.0,0.0,0.0,2.474508162971476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5185,2.552666316833965,2.552666316833965,2.3186087076151134,0.0,0.0,0.0,2.4746471137610144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5384,2.5528225031216736,2.5528225031216736,2.3187296146591887,0.0,0.0,0.0,2.474791540300845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5584,2.5529854466316397,2.5529854466316397,2.318855749302598,0.0,0.0,0.0,2.474942214188626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5783,2.5531535230821056,2.5531535230821056,2.318985853819335,0.0,0.0,0.0,2.4750976333278487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5983,2.5533284270649137,2.5533284270649137,2.319121239572739,0.0,0.0,0.0,2.4752593645675223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
